MSOA,Gentrification,Top 1 Column Name,Top 1 Column Importance,Top 2 Column Name,Top 2 Column Importance,Top 3 Column Name,Top 3 Column Importance
E02000001,95,"Transport to Work: Motorcycle, scooter or moped",79,Passport: Antarctica and Oceania,57,"Industry: D: Electricity, gas, steam and air conditioning supply",44
E02000002,-5,Transport to Work: On foot,84,"Industry: D: Electricity, gas, steam and air conditioning supply",70,Transport to Work: Work mainly at or from home,33
E02000003,-57,Part-time: 16 to 30 hours worked,84,Passport: Antarctica and Oceania,71,"Transport to Work: Motorcycle, scooter or moped",37
E02000004,22,Position: Small employers and own account workers,88,Position: Intermediate occupations,59,Industry: N: Administrative and support service activities,38
E02000005,-25,Religion: Other religion,93,Industry: F: Construction,54,Medical and care establishment: Local Authority: Care home or other home,37
E02000007,3,"Industry: A: Agriculture, Forestry and fishing",90,Age: 85 years and over,51,Welsh: Can speak Welsh,43
E02000008,-74,Health Status: Bad health,89,Single family household: Lone parent family: All children non-dependent,52,Industry: P: Education,39
E02000009,57,"Industry: D: Electricity, gas, steam and air conditioning supply",92,UK Identity: Cornish and British only identity,68,Age: 85 years and over,25
E02000010,53,"Position: Lower managerial, administrative and professional occupations",89,Transport to Work: Taxi,52,Economic Activity: Economically inactive: Student (including full-time students),37
E02000011,25,Ethnic Group: Other ethnic group,88,Sex: Males,56,Passport: Central and South America,40
E02000012,-6,Health Status: Bad health,78,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",66,Occupation: Professional occupations,28
E02000013,1,Ownership: Lives rent free,82,Vehicles: 3 or more cars or vans in household,52,Medical and care establishment: Other: Children's home (including secure units),34
E02000014,98,Industry: F: Construction,93,"Ethnic Group: Asian, Asian British or Asian Welsh",74,Living in a couple: Cohabiting,42
E02000015,-34,Residency: Lives in a communal establishment,98,Religion: Hindu,63,Age: 30 to 44,36
E02000016,-79,Industry: B: Mining and quarrying,85,Occupation: Administrative and secretarial occupations,59,Industry: P: Education,37
E02000017,-9,Living in a couple: Married or in a civil partnership,85,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",61,Single family household: All aged 66 years and over,44
E02000018,57,Not living in a couple,91,Transport to Work: Bicycle,52,One-person household: Other,25
