,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,W02000341,2011 super output areas - middle layer,297,All categories: Age 3 and over,0
1,2011,W02000341,2011 super output areas - middle layer,297,Age 3 to 15,0
2,2011,W02000341,2011 super output areas - middle layer,297,Age 16 to 64,0
3,2011,W02000341,2011 super output areas - middle layer,297,Age 65 and over,0
4,2011,W02000341,2011 super output areas - middle layer,297,Can understand spoken Welsh only,0
5,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh,0
6,2011,W02000341,2011 super output areas - middle layer,297,"Can speak, read and write Welsh",0
7,2011,W02000341,2011 super output areas - middle layer,297,All categories: Can speak Welsh by age 3 and over,0
8,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 3 to 15,0
9,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 16 to 64,0
10,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 65 and over,0
11,2011,W02000341,2011 super output areas - middle layer,297,All categories: One or more skills in Welsh age 3 and over,0
12,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 3 to 15,0
13,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 16 to 64,0
14,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 65 and over,0
15,2011,W02000341,2011 super output areas - middle layer,297,All categories: Age 3 and over,0
16,2011,W02000341,2011 super output areas - middle layer,297,Age 3 to 15,0
17,2011,W02000341,2011 super output areas - middle layer,297,Age 16 to 64,0
18,2011,W02000341,2011 super output areas - middle layer,297,Age 65 and over,0
19,2011,W02000341,2011 super output areas - middle layer,297,Can understand spoken Welsh only,0
20,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh,0
21,2011,W02000341,2011 super output areas - middle layer,297,"Can speak, read and write Welsh",0
22,2011,W02000341,2011 super output areas - middle layer,297,All categories: Can speak Welsh by age 3 and over,0
23,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 3 to 15,0
24,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 16 to 64,0
25,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 65 and over,0
26,2011,W02000341,2011 super output areas - middle layer,297,All categories: One or more skills in Welsh age 3 and over,0
27,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 3 to 15,0
28,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 16 to 64,0
29,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 65 and over,0
30,2011,W02000341,2011 super output areas - middle layer,297,All categories: Age 3 and over,0
31,2011,W02000341,2011 super output areas - middle layer,297,Age 3 to 15,0
32,2011,W02000341,2011 super output areas - middle layer,297,Age 16 to 64,0
33,2011,W02000341,2011 super output areas - middle layer,297,Age 65 and over,0
34,2011,W02000341,2011 super output areas - middle layer,297,Can understand spoken Welsh only,0
35,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh,0
36,2011,W02000341,2011 super output areas - middle layer,297,"Can speak, read and write Welsh",0
37,2011,W02000341,2011 super output areas - middle layer,297,All categories: Can speak Welsh by age 3 and over,0
38,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 3 to 15,0
39,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 16 to 64,0
40,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 65 and over,0
41,2011,W02000341,2011 super output areas - middle layer,297,All categories: One or more skills in Welsh age 3 and over,0
42,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 3 to 15,0
43,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 16 to 64,0
44,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 65 and over,0
45,2011,W02000341,2011 super output areas - middle layer,297,All categories: Age 3 and over,0
46,2011,W02000341,2011 super output areas - middle layer,297,Age 3 to 15,0
47,2011,W02000341,2011 super output areas - middle layer,297,Age 16 to 64,0
48,2011,W02000341,2011 super output areas - middle layer,297,Age 65 and over,0
49,2011,W02000341,2011 super output areas - middle layer,297,Can understand spoken Welsh only,0
50,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh,0
51,2011,W02000341,2011 super output areas - middle layer,297,"Can speak, read and write Welsh",0
52,2011,W02000341,2011 super output areas - middle layer,297,All categories: Can speak Welsh by age 3 and over,0
53,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 3 to 15,0
54,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 16 to 64,0
55,2011,W02000341,2011 super output areas - middle layer,297,Can speak Welsh: Age 65 and over,0
56,2011,W02000341,2011 super output areas - middle layer,297,All categories: One or more skills in Welsh age 3 and over,0
57,2011,W02000341,2011 super output areas - middle layer,297,One or more skills in Welsh: Age 3 to 15,0
