,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,E02005549,2011 super output areas - middle layer,297,Shared dwelling,1
1,2011,E02005549,2011 super output areas - middle layer,297,All categories: Household spaces,2487
2,2011,E02005549,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2323
3,2011,E02005549,2011 super output areas - middle layer,297,Household spaces with no usual residents,164
4,2011,E02005549,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,1080
5,2011,E02005549,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,659
6,2011,E02005549,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),491
7,2011,E02005549,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",30
8,2011,E02005549,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",3
9,2011,E02005549,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",10
10,2011,E02005549,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,214
11,2011,E02005550,2011 super output areas - middle layer,297,All categories: Dwelling type,3081
12,2011,E02005550,2011 super output areas - middle layer,297,Unshared dwelling,3081
13,2011,E02005550,2011 super output areas - middle layer,297,Shared dwelling,0
14,2011,E02005550,2011 super output areas - middle layer,297,All categories: Household spaces,3081
15,2011,E02005550,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2962
16,2011,E02005550,2011 super output areas - middle layer,297,Household spaces with no usual residents,119
17,2011,E02005550,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,1239
18,2011,E02005550,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,1276
19,2011,E02005550,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),469
20,2011,E02005550,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",57
21,2011,E02005550,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",3
22,2011,E02005550,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",14
23,2011,E02005550,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,23
24,2011,E02005551,2011 super output areas - middle layer,297,All categories: Dwelling type,4996
25,2011,E02005551,2011 super output areas - middle layer,297,Unshared dwelling,4993
26,2011,E02005551,2011 super output areas - middle layer,297,Shared dwelling,3
27,2011,E02005551,2011 super output areas - middle layer,297,All categories: Household spaces,5001
28,2011,E02005551,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2661
29,2011,E02005551,2011 super output areas - middle layer,297,Household spaces with no usual residents,2340
30,2011,E02005551,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,1433
31,2011,E02005551,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,770
