,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
1,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
2,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
3,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
4,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
5,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
6,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
7,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
8,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
9,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
10,2011,W02000308,2011 super output areas - middle layer,297,Other establishments,0
11,2011,W02000308,2011 super output areas - middle layer,297,Establishment not stated,0
12,2011,W02000308,2011 super output areas - middle layer,297,All communal establishments,0
13,2011,W02000308,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
14,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
15,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
16,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
17,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
18,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
19,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
20,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
21,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
22,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
23,2011,W02000308,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
24,2011,W02000308,2011 super output areas - middle layer,297,Other establishments,0
25,2011,W02000308,2011 super output areas - middle layer,297,Establishment not stated,0
26,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,1
27,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,41
28,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
29,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
30,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
31,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
32,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
33,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
34,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,41
35,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
36,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
37,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
38,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
39,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
40,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
41,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
42,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
43,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
44,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
45,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
46,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
47,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
48,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
49,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
50,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
51,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
52,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
53,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
54,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
55,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
56,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
57,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
58,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
59,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
60,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
61,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
62,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
63,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
64,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
65,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
66,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
67,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
68,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
69,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
70,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
71,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
72,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
73,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
74,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
75,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
76,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
77,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
78,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
79,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
80,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
81,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
82,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
83,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
84,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
85,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
86,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
87,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
88,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
89,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
90,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
91,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
92,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
93,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
94,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
95,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
96,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
97,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
98,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
99,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
100,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
101,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
102,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
103,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
104,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
105,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
106,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
107,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
108,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
109,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
110,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
111,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
112,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
113,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
114,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
115,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
116,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
117,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
118,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
119,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
120,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
121,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
122,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
123,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
124,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
125,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
126,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
127,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
128,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
129,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
130,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
131,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Registered Social Landlord/Housing Association,0
132,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home with nursing,0
133,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Care home without nursing,0
134,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other: Children's home (including secure units),0
135,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Other,0
136,2011,W02000309,2011 super output areas - middle layer,297,Other establishments,0
137,2011,W02000309,2011 super output areas - middle layer,297,Establishment not stated,0
138,2011,W02000309,2011 super output areas - middle layer,297,All communal establishments,0
139,2011,W02000309,2011 super output areas - middle layer,297,All categories: Usual residents by communal establishment management and type,0
140,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: General hospital,0
141,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),0
142,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: NHS: Other hospital,0
143,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Children's home (including secure units),0
144,2011,W02000309,2011 super output areas - middle layer,297,Medical and care establishment: Local Authority: Care home or other home,0
