,id,mnemonic,description,geoglevel
0,NM_144_1,c2011ks101ew,"This table provides information that classifies by sex for the usual resident population of England and Wales as at census day, 27 March 2011.

The 2011 usual resident population is also classified by the number of residents living in households and those living in communal establishments.

 Additional information provided includes the area and population density for each area, and the number of students and schoolchildren who would reside in each area if they were not living away from their family home during term-time.","oa,ps"
1,NM_145_1,c2011ks102ew,"This table provides information about the age structure, mean and median ages of usual residents of England and Wales as at census day, 27 March 2011.","oa,ps"
2,NM_146_1,c2011ks403ew,"This table provides information about the rooms, bedrooms and central heating in households, for England and Wales as at census day, 27 March 2011. It includes information about the average size of households, whether they have central heating, the number of rooms and bedrooms, and the occupancy rating of the household (based on both rooms and bedrooms).","oa,ps"
3,NM_158_1,c2011ks101uk,"This table provides information that classifies by sex for the usual resident population of United Kingdom as at census day, 27 March 2011.

The 2011 usual resident population is also classified by the number of residents living in households and those living in communal establishments.

Additional information provided includes the area and population density for each area, and the number of students and schoolchildren who would reside in each area if they were not living away from their family home during term-time.

'All full-time students and schoolchildren aged 4+ years living away from home during term time' figures for Northern Ireland sourced from table QS106NI.

Area and Population Density figures for Noerthern Ireland sourced from table QS102NI.","oa,ps"
4,NM_159_1,c2011ks102uk,"This table provides information about the age structure, mean and median ages of usual residents of United Kingdom as at census day, 27 March 2011.","oa,ps"
5,NM_603_1,c2011ks103ew,"This table provides information that classified usual residents aged 16 and over by marital and civil partnership status, for England and Wales as at census day, 27 March 2011.

This classification takes account of the Civil Partnership Act which came into force on 5 December 2005, providing information about civil partnership status for the first time in census results.","oa,ps"
6,NM_604_1,c2011ks104ew,"This table provides information that classifies usual residents aged 16 and over in households by their living arrangements, for England and Wales as at census day, 27 March 2011. The living arrangements classification differs from marital and civil partnership status because cohabiting takes priority over other categories.","oa,ps"
7,NM_605_1,c2011ks105ew,"This table provides information that classifies households by the relationships between the household members (household composition), for England and Wales as at census day, 27 March 2011.","oa,ps"
8,NM_606_1,c2011ks106ew,"This table provides information that classifies households by the presence of dependent children, adults not in employment and people with a long-term health problem or disability. Information is provided for all households in England and Wales as at census day, 27 March 2011.","oa,ps"
9,NM_607_1,c2011ks107ew,"This table provides information about lone parent households with dependent children, for England and Wales as at census day, 27 March 2011. Households are classified by the sex of the lone parent and their employment status.","oa,ps"
10,NM_608_1,c2011ks201ew,"This table provides information about the ethnic group of the usual resident population of England and Wales as at census day, 27 March 2011.","oa,ps"
11,NM_609_1,c2011ks202ew,"This table provides information that classifies usual residents by their national identity, for England and Wales as at census day, 27 March 2011.","oa,ps"
12,NM_611_1,c2011ks204ew,"This table provides information that classifies usual residents by their county of birth, for England and Wales as at census day, 27 March 2011.","oa,ps"
13,NM_612_1,c2011ks205ew,"This table provides information that classifies usual residents of England and Wales by passports held as at census day, 27 March 2011.","oa,ps"
14,NM_613_1,c2011ks206ew,"This table provides information that classifies households by the combination of adults and children within a household that have English (English or Welsh in Wales) as a main language, for England and Wales as at census day, 27 March 2011. The definitions of adult (aged 16 and over) and child (aged under 16) used in this table are the non-standard versions. These are used in a small number of census results. For more information refer to 2011 Census glossary.","oa,ps"
15,NM_614_1,c2011ks207wa,"This table provides information that classifies usual residents aged three and over by their Welsh language skills, for Wales as at census day, 27 March 2011.","oa,ps"
