,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_102_NAME,OBS_VALUE
0,2021,E02003589,2021 super output areas - middle layer,152,Aged 73 years,78
1,2021,E02003589,2021 super output areas - middle layer,152,Aged 74 years,69
2,2021,E02003589,2021 super output areas - middle layer,152,Aged 75 to 84 years,428
3,2021,E02003589,2021 super output areas - middle layer,152,Aged 75 years,54
4,2021,E02003589,2021 super output areas - middle layer,152,Aged 76 years,58
5,2021,E02003589,2021 super output areas - middle layer,152,Aged 77 years,43
6,2021,E02003589,2021 super output areas - middle layer,152,Aged 78 years,58
7,2021,E02003589,2021 super output areas - middle layer,152,Aged 79 years,37
8,2021,E02003589,2021 super output areas - middle layer,152,Aged 80 years,38
9,2021,E02003589,2021 super output areas - middle layer,152,Aged 81 years,44
10,2021,E02003589,2021 super output areas - middle layer,152,Aged 82 years,34
11,2021,E02003589,2021 super output areas - middle layer,152,Aged 83 years,30
12,2021,E02003589,2021 super output areas - middle layer,152,Aged 84 years,32
13,2021,E02003589,2021 super output areas - middle layer,152,Aged 85 years and over,155
14,2021,E02003589,2021 super output areas - middle layer,152,Aged 85 years,20
15,2021,E02003589,2021 super output areas - middle layer,152,Aged 86 years,20
16,2021,E02003589,2021 super output areas - middle layer,152,Aged 87 years,32
17,2021,E02003589,2021 super output areas - middle layer,152,Aged 88 years,19
18,2021,E02003589,2021 super output areas - middle layer,152,Aged 89 years,11
19,2021,E02003589,2021 super output areas - middle layer,152,Aged 90 years,9
20,2021,E02003589,2021 super output areas - middle layer,152,Aged 91 years,7
21,2021,E02003589,2021 super output areas - middle layer,152,Aged 92 years,12
22,2021,E02003589,2021 super output areas - middle layer,152,Aged 93 years,8
23,2021,E02003589,2021 super output areas - middle layer,152,Aged 94 years,6
24,2021,E02003589,2021 super output areas - middle layer,152,Aged 95 years,2
25,2021,E02003589,2021 super output areas - middle layer,152,Aged 96 years,2
