,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_19_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total,10239
1,2021,E02002483,2021 super output areas - middle layer,152,Aged 4 years and under,567
2,2021,E02002483,2021 super output areas - middle layer,152,Aged 5 to 9 years,665
3,2021,E02002483,2021 super output areas - middle layer,152,Aged 10 to 14 years,681
4,2021,E02002483,2021 super output areas - middle layer,152,Aged 15 to 19 years,574
5,2021,E02002483,2021 super output areas - middle layer,152,Aged 20 to 24 years,559
6,2021,E02002483,2021 super output areas - middle layer,152,Aged 25 to 29 years,649
7,2021,E02002483,2021 super output areas - middle layer,152,Aged 30 to 34 years,676
8,2021,E02002483,2021 super output areas - middle layer,152,Aged 35 to 39 years,680
9,2021,E02002483,2021 super output areas - middle layer,152,Aged 40 to 44 years,661
10,2021,E02002483,2021 super output areas - middle layer,152,Aged 45 to 49 years,664
11,2021,E02002483,2021 super output areas - middle layer,152,Aged 50 to 54 years,767
12,2021,E02002483,2021 super output areas - middle layer,152,Aged 55 to 59 years,701
13,2021,E02002483,2021 super output areas - middle layer,152,Aged 60 to 64 years,590
14,2021,E02002483,2021 super output areas - middle layer,152,Aged 65 to 69 years,509
15,2021,E02002483,2021 super output areas - middle layer,152,Aged 70 to 74 years,500
16,2021,E02002483,2021 super output areas - middle layer,152,Aged 75 to 79 years,314
17,2021,E02002483,2021 super output areas - middle layer,152,Aged 80 to 84 years,276
18,2021,E02002483,2021 super output areas - middle layer,152,Aged 85 years and over,206
19,2021,E02002484,2021 super output areas - middle layer,152,Total,10277
20,2021,E02002484,2021 super output areas - middle layer,152,Aged 4 years and under,660
21,2021,E02002484,2021 super output areas - middle layer,152,Aged 5 to 9 years,666
22,2021,E02002484,2021 super output areas - middle layer,152,Aged 10 to 14 years,702
23,2021,E02002484,2021 super output areas - middle layer,152,Aged 15 to 19 years,593
24,2021,E02002484,2021 super output areas - middle layer,152,Aged 20 to 24 years,591
25,2021,E02002484,2021 super output areas - middle layer,152,Aged 25 to 29 years,637
26,2021,E02002484,2021 super output areas - middle layer,152,Aged 30 to 34 years,695
27,2021,E02002484,2021 super output areas - middle layer,152,Aged 35 to 39 years,589
28,2021,E02002484,2021 super output areas - middle layer,152,Aged 40 to 44 years,570
29,2021,E02002484,2021 super output areas - middle layer,152,Aged 45 to 49 years,561
30,2021,E02002484,2021 super output areas - middle layer,152,Aged 50 to 54 years,690
31,2021,E02002484,2021 super output areas - middle layer,152,Aged 55 to 59 years,790
