,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LIVING_11_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,8177
1,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple,5190
2,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,3809
3,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,3799
4,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,10
5,2021,E02002483,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",7
6,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,1374
7,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,1324
8,2021,E02002483,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,50
9,2021,E02002483,2021 super output areas - middle layer,152,Not living in a couple,2987
10,2021,E02002483,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),1841
11,2021,E02002483,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,45
12,2021,E02002483,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),148
13,2021,E02002483,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,464
14,2021,E02002483,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,489
15,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,7945
16,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple,3993
17,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,2689
18,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,2665
19,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,24
20,2021,E02002484,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",5
21,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,1299
22,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,1250
23,2021,E02002484,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,49
24,2021,E02002484,2021 super output areas - middle layer,152,Not living in a couple,3952
25,2021,E02002484,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),2498
26,2021,E02002484,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,50
27,2021,E02002484,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),232
28,2021,E02002484,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,661
