,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETHNIC_288_NAME,OBS_VALUE
0,2021,E02000228,2021 super output areas - middle layer,152,White: Roma,0
1,2021,E02000228,2021 super output areas - middle layer,152,White: Romanian,4
2,2021,E02000228,2021 super output areas - middle layer,152,White: Russian,4
3,2021,E02000228,2021 super output areas - middle layer,152,White: Serbian,1
4,2021,E02000228,2021 super output areas - middle layer,152,White: Slovakian,5
5,2021,E02000228,2021 super output areas - middle layer,152,White: Slovenian,0
6,2021,E02000228,2021 super output areas - middle layer,152,White: South African,15
7,2021,E02000228,2021 super output areas - middle layer,152,White: South American,7
8,2021,E02000228,2021 super output areas - middle layer,152,White: Spanish,13
9,2021,E02000228,2021 super output areas - middle layer,152,White: Swedish,3
10,2021,E02000228,2021 super output areas - middle layer,152,White: Swiss,0
11,2021,E02000228,2021 super output areas - middle layer,152,White: Turkish,4
12,2021,E02000228,2021 super output areas - middle layer,152,White: Turkish Cypriot,2
13,2021,E02000228,2021 super output areas - middle layer,152,White: Ukrainian,0
14,2021,E02000228,2021 super output areas - middle layer,152,White: White African,2
15,2021,E02000228,2021 super output areas - middle layer,152,White: White and North African or Middle Eastern,0
16,2021,E02000228,2021 super output areas - middle layer,152,White: White Caribbean,1
17,2021,E02000228,2021 super output areas - middle layer,152,White: Zimbabwean,0
18,2021,E02000228,2021 super output areas - middle layer,152,White: Any other ethnic group,4
19,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group,140
20,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Afghan,2
21,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: African unspecified,1
22,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: African Asian,0
23,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Albanian,0
24,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Algerian,0
25,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Arab,21
26,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Armenian,0
27,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Asian British,0
28,2021,E02000228,2021 super output areas - middle layer,152,"Other ethnic group: Bangladeshi, British Bangladeshi",0
29,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Black and Asian,0
30,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Brazilian,0
31,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Bulgarian,0
32,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Caribbean,0
33,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Caribbean Asian,4
34,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Chinese,0
35,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Colombian,0
36,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Cornish,0
37,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Cypriot (part not stated),0
38,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Czech,0
39,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: East Asian/ East Asian unspecified,0
40,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: English,0
41,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: English/Welsh/Scottish/Northern Irish/British,0
42,2021,E02000228,2021 super output areas - middle layer,152,"Other ethnic group: European Mixed, European unspecified, other European",3
43,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Filipino,3
44,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Greek,1
45,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Greek Cypriot,9
46,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Gypsy/Romany,0
47,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Hispanic or Latin American,5
48,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Indian or British Indian,1
49,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Iranian,10
50,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Italian,1
51,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Japanese,0
52,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Jewish,2
53,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Kashmiri,0
54,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Kurdish,1
55,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Lithuanian,0
56,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian,2
57,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Mexican,1
58,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Moroccan,0
59,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Muslim,0
60,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Nepali (includes Gurkha),0
61,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: North African,0
62,2021,E02000228,2021 super output areas - middle layer,152,"Other ethnic group: Other Asian, Asian unspecified",0
63,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Other Eastern European,0
64,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Other Middle East,1
65,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Other Mixed,2
66,2021,E02000228,2021 super output areas - middle layer,152,"Other ethnic group: Other White, White unspecified",0
67,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Pakistani or British Pakistani,0
68,2021,E02000228,2021 super output areas - middle layer,152,Other ethnic group: Polish,0
