,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_METH_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,One-person household,1183
2,2021,E02002483,2021 super output areas - middle layer,152,All household members have the same ethnic group,3058
3,2021,E02002483,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,12
4,2021,E02002483,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,60
5,2021,E02002483,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,17
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
7,2021,E02002484,2021 super output areas - middle layer,152,One-person household,1655
8,2021,E02002484,2021 super output areas - middle layer,152,All household members have the same ethnic group,2819
9,2021,E02002484,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,25
10,2021,E02002484,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,69
11,2021,E02002484,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,26
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3538
13,2021,E02002485,2021 super output areas - middle layer,152,One-person household,1202
14,2021,E02002485,2021 super output areas - middle layer,152,All household members have the same ethnic group,2257
15,2021,E02002485,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,13
16,2021,E02002485,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,48
17,2021,E02002485,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,18
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3240
19,2021,E02002489,2021 super output areas - middle layer,152,One-person household,1459
20,2021,E02002489,2021 super output areas - middle layer,152,All household members have the same ethnic group,1663
21,2021,E02002489,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,18
22,2021,E02002489,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,65
23,2021,E02002489,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,35
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
25,2021,E02002490,2021 super output areas - middle layer,152,One-person household,948
26,2021,E02002490,2021 super output areas - middle layer,152,All household members have the same ethnic group,1638
27,2021,E02002490,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,14
28,2021,E02002490,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,26
29,2021,E02002490,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,20
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
31,2021,E02002491,2021 super output areas - middle layer,152,One-person household,966
32,2021,E02002491,2021 super output areas - middle layer,152,All household members have the same ethnic group,1802
33,2021,E02002491,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,7
34,2021,E02002491,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,23
35,2021,E02002491,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,13
36,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
37,2021,E02002492,2021 super output areas - middle layer,152,One-person household,965
38,2021,E02002492,2021 super output areas - middle layer,152,All household members have the same ethnic group,1951
39,2021,E02002492,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,9
40,2021,E02002492,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,34
41,2021,E02002492,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,16
42,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
43,2021,E02002493,2021 super output areas - middle layer,152,One-person household,827
44,2021,E02002493,2021 super output areas - middle layer,152,All household members have the same ethnic group,2065
45,2021,E02002493,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,10
46,2021,E02002493,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,43
47,2021,E02002493,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,10
48,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3389
49,2021,E02002494,2021 super output areas - middle layer,152,One-person household,1127
50,2021,E02002494,2021 super output areas - middle layer,152,All household members have the same ethnic group,2188
51,2021,E02002494,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,23
52,2021,E02002494,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,37
53,2021,E02002494,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,14
54,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5512
55,2021,E02006909,2021 super output areas - middle layer,152,One-person household,1411
56,2021,E02006909,2021 super output areas - middle layer,152,All household members have the same ethnic group,3958
57,2021,E02006909,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,14
58,2021,E02006909,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,99
59,2021,E02006909,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,30
60,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4943
61,2021,E02007059,2021 super output areas - middle layer,152,One-person household,1873
62,2021,E02007059,2021 super output areas - middle layer,152,All household members have the same ethnic group,2901
63,2021,E02007059,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,31
64,2021,E02007059,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,104
65,2021,E02007059,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,34
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4460
67,2021,E02002496,2021 super output areas - middle layer,152,One-person household,1962
68,2021,E02002496,2021 super output areas - middle layer,152,All household members have the same ethnic group,2065
69,2021,E02002496,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,79
70,2021,E02002496,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,120
