,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E02005879,2021 super output areas - middle layer,152,Total: All usual residents,7324
1,2021,E02005879,2021 super output areas - middle layer,152,British only identity,4131
2,2021,E02005879,2021 super output areas - middle layer,152,English only identity,1400
3,2021,E02005879,2021 super output areas - middle layer,152,English and British only identity,1199
4,2021,E02005879,2021 super output areas - middle layer,152,Welsh only identity,9
5,2021,E02005879,2021 super output areas - middle layer,152,Welsh and British only identity,7
6,2021,E02005879,2021 super output areas - middle layer,152,Any other combination of only UK identities,59
7,2021,E02005879,2021 super output areas - middle layer,152,Scottish only identity,32
8,2021,E02005879,2021 super output areas - middle layer,152,Scottish and British only identity,6
9,2021,E02005879,2021 super output areas - middle layer,152,Northern Irish only identity,7
10,2021,E02005879,2021 super output areas - middle layer,152,Northern Irish and British only identity,4
11,2021,E02005879,2021 super output areas - middle layer,152,Cornish only identity,3
12,2021,E02005879,2021 super output areas - middle layer,152,Cornish and British only identity,0
13,2021,E02005879,2021 super output areas - middle layer,152,Any other combination of only UK identities ,7
14,2021,E02005879,2021 super output areas - middle layer,152,Irish only identity,22
15,2021,E02005879,2021 super output areas - middle layer,152,Irish and at least one UK identity,9
16,2021,E02005879,2021 super output areas - middle layer,152,Other identity only,409
17,2021,E02005879,2021 super output areas - middle layer,152,Other identity and at least one UK identity,79
18,2021,E02005879,2021 super output areas - middle layer,152,Non-UK identity only,431
19,2021,E02005879,2021 super output areas - middle layer,152,UK identity and non-UK identity,88
20,2021,E02006835,2021 super output areas - middle layer,152,Total: All usual residents,6094
21,2021,E02006835,2021 super output areas - middle layer,152,British only identity,3611
22,2021,E02006835,2021 super output areas - middle layer,152,English only identity,1217
23,2021,E02006835,2021 super output areas - middle layer,152,English and British only identity,876
24,2021,E02006835,2021 super output areas - middle layer,152,Welsh only identity,5
25,2021,E02006835,2021 super output areas - middle layer,152,Welsh and British only identity,9
26,2021,E02006835,2021 super output areas - middle layer,152,Any other combination of only UK identities,54
27,2021,E02006835,2021 super output areas - middle layer,152,Scottish only identity,27
28,2021,E02006835,2021 super output areas - middle layer,152,Scottish and British only identity,7
29,2021,E02006835,2021 super output areas - middle layer,152,Northern Irish only identity,7
30,2021,E02006835,2021 super output areas - middle layer,152,Northern Irish and British only identity,1
31,2021,E02006835,2021 super output areas - middle layer,152,Cornish only identity,1
32,2021,E02006835,2021 super output areas - middle layer,152,Cornish and British only identity,0
33,2021,E02006835,2021 super output areas - middle layer,152,Any other combination of only UK identities ,11
34,2021,E02006835,2021 super output areas - middle layer,152,Irish only identity,21
35,2021,E02006835,2021 super output areas - middle layer,152,Irish and at least one UK identity,6
36,2021,E02006835,2021 super output areas - middle layer,152,Other identity only,228
37,2021,E02006835,2021 super output areas - middle layer,152,Other identity and at least one UK identity,67
38,2021,E02006835,2021 super output areas - middle layer,152,Non-UK identity only,249
39,2021,E02006835,2021 super output areas - middle layer,152,UK identity and non-UK identity,73
40,2021,E02005880,2021 super output areas - middle layer,152,Total: All usual residents,6410
41,2021,E02005880,2021 super output areas - middle layer,152,British only identity,3454
42,2021,E02005880,2021 super output areas - middle layer,152,English only identity,1362
43,2021,E02005880,2021 super output areas - middle layer,152,English and British only identity,1299
44,2021,E02005880,2021 super output areas - middle layer,152,Welsh only identity,16
45,2021,E02005880,2021 super output areas - middle layer,152,Welsh and British only identity,5
46,2021,E02005880,2021 super output areas - middle layer,152,Any other combination of only UK identities,67
47,2021,E02005880,2021 super output areas - middle layer,152,Scottish only identity,41
48,2021,E02005880,2021 super output areas - middle layer,152,Scottish and British only identity,9
49,2021,E02005880,2021 super output areas - middle layer,152,Northern Irish only identity,5
50,2021,E02005880,2021 super output areas - middle layer,152,Northern Irish and British only identity,3
51,2021,E02005880,2021 super output areas - middle layer,152,Cornish only identity,0
52,2021,E02005880,2021 super output areas - middle layer,152,Cornish and British only identity,0
53,2021,E02005880,2021 super output areas - middle layer,152,Any other combination of only UK identities ,9
54,2021,E02005880,2021 super output areas - middle layer,152,Irish only identity,16
