,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
0,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Jamaican,0
1,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Other Caribbean,0
2,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian,0
3,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian,0
4,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Australian,0
5,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: New Zealander,0
6,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,0
7,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Other Oceanian,0
8,2021,E02001336,2021 super output areas - middle layer,152,Other identity only: Other,14
9,2021,E02001337,2021 super output areas - middle layer,152,Total: All usual residents,5850
10,2021,E02001337,2021 super output areas - middle layer,152,UK identity,5699
11,2021,E02001337,2021 super output areas - middle layer,152,UK identity: British only identity,3744
12,2021,E02001337,2021 super output areas - middle layer,152,UK identity: English only identity,845
13,2021,E02001337,2021 super output areas - middle layer,152,UK identity: English and British only identity,1048
14,2021,E02001337,2021 super output areas - middle layer,152,UK identity:  Welsh only identity,9
15,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Welsh and British only identity,0
16,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Scottish only identity,8
17,2021,E02001337,2021 super output areas - middle layer,152,UK identity:  Scottish and British only identity,6
18,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Northern Irish only identity,6
19,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Northern Irish and British only identity,0
20,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Cornish only identity,1
21,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Cornish and British only identity,0
22,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Any other combination of UK identities (UK only),7
23,2021,E02001337,2021 super output areas - middle layer,152,UK identity: Other identity and at least one UK identity ,25
24,2021,E02001337,2021 super output areas - middle layer,152,Other identity only,151
25,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Guernsey Islander,0
26,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Jersey Islander,0
27,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Isle of Man (Manx),0
28,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Channel Islander not otherwise specified,0
29,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Irish only identity,5
30,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Irish and at least one UK identity,12
31,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: European,81
32,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: European: EU countries,56
33,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: European: EU countries: French,0
34,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: European: EU countries: German,2
