,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELIGION_58_NAME,OBS_VALUE
0,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Chinese Religion,0
1,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Church of All Religion,0
2,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Confucianist,0
3,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Deist,0
4,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Druid,0
5,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Druze,0
6,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Eckankar,0
7,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Heathen,0
8,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Jain,0
9,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Mixed Religion,0
10,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Mysticism,0
11,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Native American Church,0
12,2021,E02005616,2021 super output areas - middle layer,152,Other religion: New Age,0
13,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Occult,0
14,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Other religions,14
15,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Own Belief System,0
16,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Pagan,6
17,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Pantheism,1
18,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Rastafarian,0
19,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Ravidassia,0
20,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
21,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Satanism,0
22,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Scientology,0
23,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Shamanism,0
24,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Shintoism,0
25,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Spiritual,2
26,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Spiritualist,2
27,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Taoist,0
28,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Theism,0
29,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Thelemite,0
30,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Traditional African Religion,0
31,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Unification Church,0
32,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Universalist,1
33,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Valmiki,0
34,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Vodun,0
35,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Wicca,1
36,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Witchcraft,0
37,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Yazidi ,0
38,2021,E02005616,2021 super output areas - middle layer,152,Other religion: Zoroastrian,0
39,2021,E02005616,2021 super output areas - middle layer,152,Religion not stated,371
40,2021,E02005617,2021 super output areas - middle layer,152,Total: All Usual Residents,11188
41,2021,E02005617,2021 super output areas - middle layer,152,Christian,5290
42,2021,E02005617,2021 super output areas - middle layer,152,Buddhist,16
43,2021,E02005617,2021 super output areas - middle layer,152,Hindu,43
44,2021,E02005617,2021 super output areas - middle layer,152,Jewish,6
45,2021,E02005617,2021 super output areas - middle layer,152,Muslim ,148
46,2021,E02005617,2021 super output areas - middle layer,152,Sikh,26
47,2021,E02005617,2021 super output areas - middle layer,152,No religion,4944
48,2021,E02005617,2021 super output areas - middle layer,152,No religion: Agnostic,3
49,2021,E02005617,2021 super output areas - middle layer,152,No religion: Atheist,4
50,2021,E02005617,2021 super output areas - middle layer,152,No religion: Free Thinker,0
51,2021,E02005617,2021 super output areas - middle layer,152,No religion: Humanist,0
52,2021,E02005617,2021 super output areas - middle layer,152,No religion: No religion,4937
53,2021,E02005617,2021 super output areas - middle layer,152,No religion: Realist,0
54,2021,E02005617,2021 super output areas - middle layer,152,Other religion,50
55,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Alevi,3
56,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Animism,0
57,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Baha'i,0
58,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Believe in God,0
59,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Brahma Kumari,0
60,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Chinese Religion,0
61,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Church of All Religion,0
62,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Confucianist,0
63,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Deist,1
64,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Druid,0
65,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Druze,0
66,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Eckankar,1
67,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Heathen,0
68,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Jain,5
69,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Mixed Religion,0
70,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Mysticism,0
71,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Native American Church,0
72,2021,E02005617,2021 super output areas - middle layer,152,Other religion: New Age,0
73,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Occult,0
74,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Other religions,13
75,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Own Belief System,0
76,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Pagan,10
77,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Pantheism,0
78,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Rastafarian,3
79,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Ravidassia,0
80,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
81,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Satanism,0
82,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Scientology,0
83,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Shamanism,0
84,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Shintoism,0
85,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Spiritual,3
86,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Spiritualist,10
87,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Taoist,0
88,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Theism,0
89,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Thelemite,0
90,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Traditional African Religion,0
91,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Unification Church,0
92,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Universalist,0
93,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Valmiki,0
94,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Vodun,0
95,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Wicca,1
96,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Witchcraft,0
97,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Yazidi ,0
98,2021,E02005617,2021 super output areas - middle layer,152,Other religion: Zoroastrian,0
99,2021,E02005617,2021 super output areas - middle layer,152,Religion not stated,665
100,2021,E02005629,2021 super output areas - middle layer,152,Total: All Usual Residents,6477
101,2021,E02005629,2021 super output areas - middle layer,152,Christian,3703
102,2021,E02005629,2021 super output areas - middle layer,152,Buddhist,18
103,2021,E02005629,2021 super output areas - middle layer,152,Hindu,29
104,2021,E02005629,2021 super output areas - middle layer,152,Jewish,5
105,2021,E02005629,2021 super output areas - middle layer,152,Muslim ,8
106,2021,E02005629,2021 super output areas - middle layer,152,Sikh,4
107,2021,E02005629,2021 super output areas - middle layer,152,No religion,2319
108,2021,E02005629,2021 super output areas - middle layer,152,No religion: Agnostic,0
109,2021,E02005629,2021 super output areas - middle layer,152,No religion: Atheist,1
110,2021,E02005629,2021 super output areas - middle layer,152,No religion: Free Thinker,0
111,2021,E02005629,2021 super output areas - middle layer,152,No religion: Humanist,1
112,2021,E02005629,2021 super output areas - middle layer,152,No religion: No religion,2317
113,2021,E02005629,2021 super output areas - middle layer,152,No religion: Realist,0
114,2021,E02005629,2021 super output areas - middle layer,152,Other religion,40
115,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Alevi,0
116,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Animism,0
117,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Baha'i,1
118,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Believe in God,0
119,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Brahma Kumari,0
120,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Chinese Religion,0
121,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Church of All Religion,0
122,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Confucianist,0
123,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Deist,0
124,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Druid,0
125,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Druze,0
126,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Eckankar,0
127,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Heathen,1
128,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Jain,0
129,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Mixed Religion,0
130,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Mysticism,0
131,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Native American Church,1
132,2021,E02005629,2021 super output areas - middle layer,152,Other religion: New Age,0
133,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Occult,0
134,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Other religions,13
135,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Own Belief System,0
136,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Pagan,11
137,2021,E02005629,2021 super output areas - middle layer,152,Other religion: Pantheism,1
