,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGR_3_NAME,OBS_VALUE
0,2021,W02000001,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8180
1,2021,W02000001,2021 super output areas - middle layer,152,Cannot read Welsh,3900
2,2021,W02000001,2021 super output areas - middle layer,152,Can read Welsh,4280
3,2021,W02000002,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6231
4,2021,W02000002,2021 super output areas - middle layer,152,Cannot read Welsh,3171
5,2021,W02000002,2021 super output areas - middle layer,152,Can read Welsh,3060
6,2021,W02000003,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10270
7,2021,W02000003,2021 super output areas - middle layer,152,Cannot read Welsh,6579
8,2021,W02000003,2021 super output areas - middle layer,152,Can read Welsh,3691
9,2021,W02000004,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7249
10,2021,W02000004,2021 super output areas - middle layer,152,Cannot read Welsh,4022
11,2021,W02000004,2021 super output areas - middle layer,152,Can read Welsh,3227
12,2021,W02000005,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8012
13,2021,W02000005,2021 super output areas - middle layer,152,Cannot read Welsh,4519
14,2021,W02000005,2021 super output areas - middle layer,152,Can read Welsh,3493
15,2021,W02000006,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6807
16,2021,W02000006,2021 super output areas - middle layer,152,Cannot read Welsh,2120
17,2021,W02000006,2021 super output areas - middle layer,152,Can read Welsh,4687
18,2021,W02000007,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6683
19,2021,W02000007,2021 super output areas - middle layer,152,Cannot read Welsh,3212
20,2021,W02000007,2021 super output areas - middle layer,152,Can read Welsh,3471
21,2021,W02000008,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5829
22,2021,W02000008,2021 super output areas - middle layer,152,Cannot read Welsh,2529
23,2021,W02000008,2021 super output areas - middle layer,152,Can read Welsh,3300
24,2021,W02000009,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7825
