,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_1_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Number of households,4330
1,2021,E02002484,2021 super output areas - middle layer,152,Number of households,4594
2,2021,E02002485,2021 super output areas - middle layer,152,Number of households,3539
3,2021,E02002489,2021 super output areas - middle layer,152,Number of households,3240
4,2021,E02002490,2021 super output areas - middle layer,152,Number of households,2646
5,2021,E02002491,2021 super output areas - middle layer,152,Number of households,2811
6,2021,E02002492,2021 super output areas - middle layer,152,Number of households,2975
7,2021,E02002493,2021 super output areas - middle layer,152,Number of households,2955
8,2021,E02002494,2021 super output areas - middle layer,152,Number of households,3389
9,2021,E02006909,2021 super output areas - middle layer,152,Number of households,5508
10,2021,E02007059,2021 super output areas - middle layer,152,Number of households,4943
11,2021,E02002496,2021 super output areas - middle layer,152,Number of households,4460
12,2021,E02002497,2021 super output areas - middle layer,152,Number of households,2744
13,2021,E02002498,2021 super output areas - middle layer,152,Number of households,3643
14,2021,E02002499,2021 super output areas - middle layer,152,Number of households,3067
15,2021,E02002500,2021 super output areas - middle layer,152,Number of households,2334
16,2021,E02002501,2021 super output areas - middle layer,152,Number of households,2608
17,2021,E02002502,2021 super output areas - middle layer,152,Number of households,4354
18,2021,E02002503,2021 super output areas - middle layer,152,Number of households,2740
19,2021,E02002504,2021 super output areas - middle layer,152,Number of households,3777
20,2021,E02002505,2021 super output areas - middle layer,152,Number of households,2645
21,2021,E02002506,2021 super output areas - middle layer,152,Number of households,2331
22,2021,E02002507,2021 super output areas - middle layer,152,Number of households,2557
23,2021,E02002508,2021 super output areas - middle layer,152,Number of households,2279
24,2021,E02002509,2021 super output areas - middle layer,152,Number of households,2253
25,2021,E02002510,2021 super output areas - middle layer,152,Number of households,3116
26,2021,E02002512,2021 super output areas - middle layer,152,Number of households,2306
27,2021,E02002513,2021 super output areas - middle layer,152,Number of households,4530
28,2021,E02002514,2021 super output areas - middle layer,152,Number of households,3789
29,2021,E02006811,2021 super output areas - middle layer,152,Number of households,4730
30,2021,E02002515,2021 super output areas - middle layer,152,Number of households,3134
31,2021,E02002516,2021 super output areas - middle layer,152,Number of households,2564
32,2021,E02002517,2021 super output areas - middle layer,152,Number of households,2386
33,2021,E02002518,2021 super output areas - middle layer,152,Number of households,4766
34,2021,E02002519,2021 super output areas - middle layer,152,Number of households,3395
35,2021,E02002520,2021 super output areas - middle layer,152,Number of households,5954
36,2021,E02002521,2021 super output areas - middle layer,152,Number of households,2867
37,2021,E02002523,2021 super output areas - middle layer,152,Number of households,2673
38,2021,E02002524,2021 super output areas - middle layer,152,Number of households,2380
39,2021,E02002525,2021 super output areas - middle layer,152,Number of households,3797
40,2021,E02002526,2021 super output areas - middle layer,152,Number of households,3385
41,2021,E02002527,2021 super output areas - middle layer,152,Number of households,2224
42,2021,E02002529,2021 super output areas - middle layer,152,Number of households,2614
43,2021,E02002530,2021 super output areas - middle layer,152,Number of households,2886
44,2021,E02002532,2021 super output areas - middle layer,152,Number of households,3232
45,2021,E02002533,2021 super output areas - middle layer,152,Number of households,2850
