,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARS_5_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,No cars or vans in household,1421
2,2021,E02000959,2021 super output areas - middle layer,152,1 car or van in household,1361
3,2021,E02000959,2021 super output areas - middle layer,152,2 cars or vans in household,276
4,2021,E02000959,2021 super output areas - middle layer,152,3 or more cars or vans in household,46
5,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4105
6,2021,E02007083,2021 super output areas - middle layer,152,No cars or vans in household,2906
7,2021,E02007083,2021 super output areas - middle layer,152,1 car or van in household,1101
8,2021,E02007083,2021 super output areas - middle layer,152,2 cars or vans in household,84
9,2021,E02007083,2021 super output areas - middle layer,152,3 or more cars or vans in household,14
10,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4137
11,2021,E02007084,2021 super output areas - middle layer,152,No cars or vans in household,2670
12,2021,E02007084,2021 super output areas - middle layer,152,1 car or van in household,1258
13,2021,E02007084,2021 super output areas - middle layer,152,2 cars or vans in household,181
14,2021,E02007084,2021 super output areas - middle layer,152,3 or more cars or vans in household,28
15,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2780
16,2021,E02000960,2021 super output areas - middle layer,152,No cars or vans in household,1528
17,2021,E02000960,2021 super output areas - middle layer,152,1 car or van in household,984
18,2021,E02000960,2021 super output areas - middle layer,152,2 cars or vans in household,218
19,2021,E02000960,2021 super output areas - middle layer,152,3 or more cars or vans in household,50
20,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
21,2021,E02000961,2021 super output areas - middle layer,152,No cars or vans in household,2254
22,2021,E02000961,2021 super output areas - middle layer,152,1 car or van in household,1435
23,2021,E02000961,2021 super output areas - middle layer,152,2 cars or vans in household,304
24,2021,E02000961,2021 super output areas - middle layer,152,3 or more cars or vans in household,75
25,2021,E02000962,2021 super output areas - middle layer,152,Total: All households,3858
26,2021,E02000962,2021 super output areas - middle layer,152,No cars or vans in household,2542
27,2021,E02000962,2021 super output areas - middle layer,152,1 car or van in household,1070
28,2021,E02000962,2021 super output areas - middle layer,152,2 cars or vans in household,214
29,2021,E02000962,2021 super output areas - middle layer,152,3 or more cars or vans in household,32
30,2021,E02000963,2021 super output areas - middle layer,152,Total: All households,4132
31,2021,E02000963,2021 super output areas - middle layer,152,No cars or vans in household,2338
32,2021,E02000963,2021 super output areas - middle layer,152,1 car or van in household,1532
33,2021,E02000963,2021 super output areas - middle layer,152,2 cars or vans in household,235
34,2021,E02000963,2021 super output areas - middle layer,152,3 or more cars or vans in household,27
35,2021,E02000964,2021 super output areas - middle layer,152,Total: All households,5358
36,2021,E02000964,2021 super output areas - middle layer,152,No cars or vans in household,3475
37,2021,E02000964,2021 super output areas - middle layer,152,1 car or van in household,1602
38,2021,E02000964,2021 super output areas - middle layer,152,2 cars or vans in household,252
39,2021,E02000964,2021 super output areas - middle layer,152,3 or more cars or vans in household,29
40,2021,E02000965,2021 super output areas - middle layer,152,Total: All households,3624
41,2021,E02000965,2021 super output areas - middle layer,152,No cars or vans in household,2224
42,2021,E02000965,2021 super output areas - middle layer,152,1 car or van in household,1202
43,2021,E02000965,2021 super output areas - middle layer,152,2 cars or vans in household,170
44,2021,E02000965,2021 super output areas - middle layer,152,3 or more cars or vans in household,28
45,2021,E02000966,2021 super output areas - middle layer,152,Total: All households,4110
46,2021,E02000966,2021 super output areas - middle layer,152,No cars or vans in household,2359
47,2021,E02000966,2021 super output areas - middle layer,152,1 car or van in household,1382
48,2021,E02000966,2021 super output areas - middle layer,152,2 cars or vans in household,282
49,2021,E02000966,2021 super output areas - middle layer,152,3 or more cars or vans in household,87
50,2021,E02000967,2021 super output areas - middle layer,152,Total: All households,3014
51,2021,E02000967,2021 super output areas - middle layer,152,No cars or vans in household,2090
52,2021,E02000967,2021 super output areas - middle layer,152,1 car or van in household,741
53,2021,E02000967,2021 super output areas - middle layer,152,2 cars or vans in household,143
54,2021,E02000967,2021 super output areas - middle layer,152,3 or more cars or vans in household,40
55,2021,E02000968,2021 super output areas - middle layer,152,Total: All households,5617
56,2021,E02000968,2021 super output areas - middle layer,152,No cars or vans in household,3918
57,2021,E02000968,2021 super output areas - middle layer,152,1 car or van in household,1461
58,2021,E02000968,2021 super output areas - middle layer,152,2 cars or vans in household,201
59,2021,E02000968,2021 super output areas - middle layer,152,3 or more cars or vans in household,37
60,2021,E02000969,2021 super output areas - middle layer,152,Total: All households,3718
61,2021,E02000969,2021 super output areas - middle layer,152,No cars or vans in household,2415
62,2021,E02000969,2021 super output areas - middle layer,152,1 car or van in household,1142
63,2021,E02000969,2021 super output areas - middle layer,152,2 cars or vans in household,146
64,2021,E02000969,2021 super output areas - middle layer,152,3 or more cars or vans in household,15
65,2021,E02000970,2021 super output areas - middle layer,152,Total: All households,3555
66,2021,E02000970,2021 super output areas - middle layer,152,No cars or vans in household,2323
67,2021,E02000970,2021 super output areas - middle layer,152,1 car or van in household,909
68,2021,E02000970,2021 super output areas - middle layer,152,2 cars or vans in household,262
69,2021,E02000970,2021 super output areas - middle layer,152,3 or more cars or vans in household,61
70,2021,E02000971,2021 super output areas - middle layer,152,Total: All households,3723
71,2021,E02000971,2021 super output areas - middle layer,152,No cars or vans in household,2711
72,2021,E02000971,2021 super output areas - middle layer,152,1 car or van in household,839
73,2021,E02000971,2021 super output areas - middle layer,152,2 cars or vans in household,135
74,2021,E02000971,2021 super output areas - middle layer,152,3 or more cars or vans in household,38
75,2021,E02000972,2021 super output areas - middle layer,152,Total: All households,4255
76,2021,E02000972,2021 super output areas - middle layer,152,No cars or vans in household,3319
77,2021,E02000972,2021 super output areas - middle layer,152,1 car or van in household,785
78,2021,E02000972,2021 super output areas - middle layer,152,2 cars or vans in household,125
