,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,0
1,2021,E02002483,2021 super output areas - middle layer,152,Resident,0
2,2021,E02002483,2021 super output areas - middle layer,152,Resident:Male,0
3,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
4,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
5,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
6,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
7,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
8,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
9,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
10,2021,E02002483,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
11,2021,E02002483,2021 super output areas - middle layer,152,Resident:Female,0
12,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
13,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
14,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
15,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
16,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
17,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
18,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
19,2021,E02002483,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
20,2021,E02002483,2021 super output areas - middle layer,152,Staff or owner,0
21,2021,E02002483,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
22,2021,E02002483,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
23,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,179
24,2021,E02002484,2021 super output areas - middle layer,152,Resident,176
25,2021,E02002484,2021 super output areas - middle layer,152,Resident:Male,84
26,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
27,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
28,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,4
29,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,7
30,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,13
31,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,11
32,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,26
33,2021,E02002484,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,23
34,2021,E02002484,2021 super output areas - middle layer,152,Resident:Female,92
35,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
36,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
37,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
38,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,1
39,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,2
40,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,5
41,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,31
42,2021,E02002484,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,53
43,2021,E02002484,2021 super output areas - middle layer,152,Staff or owner,0
44,2021,E02002484,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
45,2021,E02002484,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),3
46,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,47
47,2021,E02002485,2021 super output areas - middle layer,152,Resident,47
48,2021,E02002485,2021 super output areas - middle layer,152,Resident:Male,16
49,2021,E02002485,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,1
50,2021,E02002485,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
51,2021,E02002485,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
52,2021,E02002485,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
53,2021,E02002485,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,6
