,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COMEST_26_NAME,OBS_VALUE
0,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment:Local Authority,0
1,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Children's home (including secure units),0
2,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Care home with nursing,0
3,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Care home without nursing,0
4,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Other home,0
5,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment:Registered Social Landlord or Housing Association,0
6,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel,0
7,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment:Other,23
8,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Other: Care home with nursing,0
9,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Other: Care home without nursing,23
10,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Other: Children's home (including secure units),0
11,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Other: Mental health hospital or unit (including secure units),0
12,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Other: Other hospital,0
13,2021,E02006080,2021 super output areas - middle layer,152,Medical and care establishment: Other: Other establishment,0
14,2021,E02006080,2021 super output areas - middle layer,152,Other establishment,962
15,2021,E02006080,2021 super output areas - middle layer,152,Other establishment: Defence,833
16,2021,E02006080,2021 super output areas - middle layer,152,Other establishment: Prison service,0
17,2021,E02006080,2021 super output areas - middle layer,152,Other establishment: Approved premises (probation or bail hostel),0
18,2021,E02006080,2021 super output areas - middle layer,152,Other establishment: Detention centres and other detention,0
19,2021,E02006080,2021 super output areas - middle layer,152,Other establishment: Education,129
