,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_ROOMS_6_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,244
1,2021,E02000141,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,40
2,2021,E02000142,2021 super output areas - middle layer,152,Total: All households,3452
3,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1834
4,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,765
5,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,664
6,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,163
7,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,26
8,2021,E02000144,2021 super output areas - middle layer,152,Total: All households,4313
9,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1712
10,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1085
11,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1217
12,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,272
13,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,27
14,2021,E02000145,2021 super output areas - middle layer,152,Total: All households,3514
15,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1007
16,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1049
17,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1067
18,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,336
19,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,55
20,2021,E02000146,2021 super output areas - middle layer,152,Total: All households,4040
21,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1698
22,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1111
23,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,960
24,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,252
25,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,19
26,2021,E02000147,2021 super output areas - middle layer,152,Total: All households,3167
27,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,2012
28,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,572
29,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,478
30,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,93
31,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,12
32,2021,E02000148,2021 super output areas - middle layer,152,Total: All households,2699
33,2021,E02000148,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1833
34,2021,E02000148,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,500
35,2021,E02000148,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,274
36,2021,E02000148,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,80
37,2021,E02000148,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,12
38,2021,E02000149,2021 super output areas - middle layer,152,Total: All households,3284
39,2021,E02000149,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1269
40,2021,E02000149,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,949
41,2021,E02000149,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,826
42,2021,E02000149,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,208
43,2021,E02000149,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,32
44,2021,E02000150,2021 super output areas - middle layer,152,Total: All households,3119
45,2021,E02000150,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1946
46,2021,E02000150,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,646
47,2021,E02000150,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,437
48,2021,E02000150,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,81
49,2021,E02000150,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,9
50,2021,E02000151,2021 super output areas - middle layer,152,Total: All households,2970
51,2021,E02000151,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,2128
52,2021,E02000151,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,580
53,2021,E02000151,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,223
54,2021,E02000151,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,32
55,2021,E02000151,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,7
56,2021,E02000152,2021 super output areas - middle layer,152,Total: All households,3096
57,2021,E02000152,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1301
58,2021,E02000152,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,833
59,2021,E02000152,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,751
60,2021,E02000152,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,180
