,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
0,2021,E02005335,2021 super output areas - middle layer,152,60km and over,36
1,2021,E02005335,2021 super output areas - middle layer,152,Works mainly from home,1348
2,2021,E02005335,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",436
3,2021,E02005336,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3849
4,2021,E02005336,2021 super output areas - middle layer,152,Less than 2km,318
5,2021,E02005336,2021 super output areas - middle layer,152,2km to less than 5km,746
6,2021,E02005336,2021 super output areas - middle layer,152,5km to less than 10km,541
7,2021,E02005336,2021 super output areas - middle layer,152,10km to less than 20km,318
8,2021,E02005336,2021 super output areas - middle layer,152,20km to less than 30km,137
9,2021,E02005336,2021 super output areas - middle layer,152,30km to less than 40km,53
10,2021,E02005336,2021 super output areas - middle layer,152,40km to less than 60km,64
11,2021,E02005336,2021 super output areas - middle layer,152,60km and over,44
12,2021,E02005336,2021 super output areas - middle layer,152,Works mainly from home,1017
13,2021,E02005336,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",611
14,2021,E02005337,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4864
15,2021,E02005337,2021 super output areas - middle layer,152,Less than 2km,539
16,2021,E02005337,2021 super output areas - middle layer,152,2km to less than 5km,1060
17,2021,E02005337,2021 super output areas - middle layer,152,5km to less than 10km,666
18,2021,E02005337,2021 super output areas - middle layer,152,10km to less than 20km,370
19,2021,E02005337,2021 super output areas - middle layer,152,20km to less than 30km,157
20,2021,E02005337,2021 super output areas - middle layer,152,30km to less than 40km,78
21,2021,E02005337,2021 super output areas - middle layer,152,40km to less than 60km,63
22,2021,E02005337,2021 super output areas - middle layer,152,60km and over,54
23,2021,E02005337,2021 super output areas - middle layer,152,Works mainly from home,1107
24,2021,E02005337,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",770
25,2021,E02005338,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,5830
26,2021,E02005338,2021 super output areas - middle layer,152,Less than 2km,496
27,2021,E02005338,2021 super output areas - middle layer,152,2km to less than 5km,742
28,2021,E02005338,2021 super output areas - middle layer,152,5km to less than 10km,1014
29,2021,E02005338,2021 super output areas - middle layer,152,10km to less than 20km,505
30,2021,E02005338,2021 super output areas - middle layer,152,20km to less than 30km,182
31,2021,E02005338,2021 super output areas - middle layer,152,30km to less than 40km,77
32,2021,E02005338,2021 super output areas - middle layer,152,40km to less than 60km,85
33,2021,E02005338,2021 super output areas - middle layer,152,60km and over,59
34,2021,E02005338,2021 super output areas - middle layer,152,Works mainly from home,1778
35,2021,E02005338,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",892
36,2021,E02005339,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4520
37,2021,E02005339,2021 super output areas - middle layer,152,Less than 2km,305
38,2021,E02005339,2021 super output areas - middle layer,152,2km to less than 5km,469
39,2021,E02005339,2021 super output areas - middle layer,152,5km to less than 10km,724
40,2021,E02005339,2021 super output areas - middle layer,152,10km to less than 20km,459
41,2021,E02005339,2021 super output areas - middle layer,152,20km to less than 30km,156
