,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHCOMP_15_NAME,OBS_VALUE
0,2021,E02005335,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,87
1,2021,E02005335,2021 super output areas - middle layer,152,Single family household: Other single family household,10
2,2021,E02005335,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,10
3,2021,E02005335,2021 super output areas - middle layer,152,Other household types,136
4,2021,E02005335,2021 super output areas - middle layer,152,Other household types: With dependent children,72
5,2021,E02005335,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",64
6,2021,E02005336,2021 super output areas - middle layer,152,Total: All households,2863
7,2021,E02005336,2021 super output areas - middle layer,152,One-person household,711
8,2021,E02005336,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,252
9,2021,E02005336,2021 super output areas - middle layer,152,One-person household: Other,459
10,2021,E02005336,2021 super output areas - middle layer,152,Single family household,1899
11,2021,E02005336,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,153
12,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,973
13,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,302
14,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,502
15,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,169
16,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,440
17,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,210
18,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,199
19,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,31
20,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Lone parent family,311
21,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,197
22,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,114
23,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Other single family household,22
24,2021,E02005336,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,22
25,2021,E02005336,2021 super output areas - middle layer,152,Other household types,253
26,2021,E02005336,2021 super output areas - middle layer,152,Other household types: With dependent children,126
27,2021,E02005336,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",127
28,2021,E02005337,2021 super output areas - middle layer,152,Total: All households,3942
29,2021,E02005337,2021 super output areas - middle layer,152,One-person household,1078
30,2021,E02005337,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,587
31,2021,E02005337,2021 super output areas - middle layer,152,One-person household: Other,491
32,2021,E02005337,2021 super output areas - middle layer,152,Single family household,2516
33,2021,E02005337,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,363
34,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,1316
35,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,399
36,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,586
37,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,331
38,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,401
39,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,182
40,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,189
41,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,30
42,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Lone parent family,400
43,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,223
44,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,177
45,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Other single family household,36
46,2021,E02005337,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,36
47,2021,E02005337,2021 super output areas - middle layer,152,Other household types,348
48,2021,E02005337,2021 super output areas - middle layer,152,Other household types: With dependent children,184
49,2021,E02005337,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",164
50,2021,E02005338,2021 super output areas - middle layer,152,Total: All households,4794
51,2021,E02005338,2021 super output areas - middle layer,152,One-person household,1349
52,2021,E02005338,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,621
53,2021,E02005338,2021 super output areas - middle layer,152,One-person household: Other,728
54,2021,E02005338,2021 super output areas - middle layer,152,Single family household,3225
55,2021,E02005338,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,432
56,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,1580
57,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,560
58,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,726
59,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,294
60,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,719
61,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,350
62,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,311
63,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,58
64,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Lone parent family,476
65,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,306
66,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,170
67,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Other single family household,18
68,2021,E02005338,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,18
69,2021,E02005338,2021 super output areas - middle layer,152,Other household types,220
70,2021,E02005338,2021 super output areas - middle layer,152,Other household types: With dependent children,89
71,2021,E02005338,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",131
72,2021,E02005339,2021 super output areas - middle layer,152,Total: All households,3691
73,2021,E02005339,2021 super output areas - middle layer,152,One-person household,1017
74,2021,E02005339,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,497
75,2021,E02005339,2021 super output areas - middle layer,152,One-person household: Other,520
76,2021,E02005339,2021 super output areas - middle layer,152,Single family household,2544
77,2021,E02005339,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,416
78,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,1265
79,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,423
80,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,601
81,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,241
82,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,499
83,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,274
84,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,202
85,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,23
86,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Lone parent family,353
87,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,201
88,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,152
89,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Other single family household,11
90,2021,E02005339,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,11
91,2021,E02005339,2021 super output areas - middle layer,152,Other household types,130
92,2021,E02005339,2021 super output areas - middle layer,152,Other household types: With dependent children,64
93,2021,E02005339,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",66
94,2021,E02005340,2021 super output areas - middle layer,152,Total: All households,3916
95,2021,E02005340,2021 super output areas - middle layer,152,One-person household,1162
96,2021,E02005340,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,610
97,2021,E02005340,2021 super output areas - middle layer,152,One-person household: Other,552
