,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_102_NAME,OBS_VALUE
0,2021,E02000390,2021 super output areas - middle layer,152,Aged 77 years,25
1,2021,E02000390,2021 super output areas - middle layer,152,Aged 78 years,22
2,2021,E02000390,2021 super output areas - middle layer,152,Aged 79 years,23
3,2021,E02000390,2021 super output areas - middle layer,152,Aged 80 years,19
4,2021,E02000390,2021 super output areas - middle layer,152,Aged 81 years,20
5,2021,E02000390,2021 super output areas - middle layer,152,Aged 82 years,14
6,2021,E02000390,2021 super output areas - middle layer,152,Aged 83 years,19
7,2021,E02000390,2021 super output areas - middle layer,152,Aged 84 years,14
8,2021,E02000390,2021 super output areas - middle layer,152,Aged 85 years and over,55
9,2021,E02000390,2021 super output areas - middle layer,152,Aged 85 years,9
10,2021,E02000390,2021 super output areas - middle layer,152,Aged 86 years,7
11,2021,E02000390,2021 super output areas - middle layer,152,Aged 87 years,5
12,2021,E02000390,2021 super output areas - middle layer,152,Aged 88 years,8
13,2021,E02000390,2021 super output areas - middle layer,152,Aged 89 years,1
14,2021,E02000390,2021 super output areas - middle layer,152,Aged 90 years,8
15,2021,E02000390,2021 super output areas - middle layer,152,Aged 91 years,1
16,2021,E02000390,2021 super output areas - middle layer,152,Aged 92 years,4
17,2021,E02000390,2021 super output areas - middle layer,152,Aged 93 years,5
18,2021,E02000390,2021 super output areas - middle layer,152,Aged 94 years,2
19,2021,E02000390,2021 super output areas - middle layer,152,Aged 95 years,1
20,2021,E02000390,2021 super output areas - middle layer,152,Aged 96 years,1
21,2021,E02000390,2021 super output areas - middle layer,152,Aged 97 years,2
22,2021,E02000390,2021 super output areas - middle layer,152,Aged 98 years,0
23,2021,E02000390,2021 super output areas - middle layer,152,Aged 99 years,1
24,2021,E02000390,2021 super output areas - middle layer,152,Aged 100 years and over,0
25,2021,E02000391,2021 super output areas - middle layer,152,Total: All usual residents,7594
26,2021,E02000391,2021 super output areas - middle layer,152,Aged 4 years and under,410
