,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_19_NAME,OBS_VALUE
0,2021,E02004882,2021 super output areas - middle layer,152,Aged 30 to 34 years,529
1,2021,E02004882,2021 super output areas - middle layer,152,Aged 35 to 39 years,563
2,2021,E02004882,2021 super output areas - middle layer,152,Aged 40 to 44 years,603
3,2021,E02004882,2021 super output areas - middle layer,152,Aged 45 to 49 years,684
4,2021,E02004882,2021 super output areas - middle layer,152,Aged 50 to 54 years,609
5,2021,E02004882,2021 super output areas - middle layer,152,Aged 55 to 59 years,569
6,2021,E02004882,2021 super output areas - middle layer,152,Aged 60 to 64 years,430
7,2021,E02004882,2021 super output areas - middle layer,152,Aged 65 to 69 years,291
8,2021,E02004882,2021 super output areas - middle layer,152,Aged 70 to 74 years,368
9,2021,E02004882,2021 super output areas - middle layer,152,Aged 75 to 79 years,233
10,2021,E02004882,2021 super output areas - middle layer,152,Aged 80 to 84 years,196
11,2021,E02004882,2021 super output areas - middle layer,152,Aged 85 years and over,187
12,2021,E02004883,2021 super output areas - middle layer,152,Total,6245
13,2021,E02004883,2021 super output areas - middle layer,152,Aged 4 years and under,328
14,2021,E02004883,2021 super output areas - middle layer,152,Aged 5 to 9 years,371
15,2021,E02004883,2021 super output areas - middle layer,152,Aged 10 to 14 years,422
16,2021,E02004883,2021 super output areas - middle layer,152,Aged 15 to 19 years,354
17,2021,E02004883,2021 super output areas - middle layer,152,Aged 20 to 24 years,292
18,2021,E02004883,2021 super output areas - middle layer,152,Aged 25 to 29 years,313
19,2021,E02004883,2021 super output areas - middle layer,152,Aged 30 to 34 years,406
20,2021,E02004883,2021 super output areas - middle layer,152,Aged 35 to 39 years,331
21,2021,E02004883,2021 super output areas - middle layer,152,Aged 40 to 44 years,385
22,2021,E02004883,2021 super output areas - middle layer,152,Aged 45 to 49 years,418
23,2021,E02004883,2021 super output areas - middle layer,152,Aged 50 to 54 years,510
24,2021,E02004883,2021 super output areas - middle layer,152,Aged 55 to 59 years,471
25,2021,E02004883,2021 super output areas - middle layer,152,Aged 60 to 64 years,426
26,2021,E02004883,2021 super output areas - middle layer,152,Aged 65 to 69 years,309
27,2021,E02004883,2021 super output areas - middle layer,152,Aged 70 to 74 years,359
28,2021,E02004883,2021 super output areas - middle layer,152,Aged 75 to 79 years,267
29,2021,E02004883,2021 super output areas - middle layer,152,Aged 80 to 84 years,138
30,2021,E02004883,2021 super output areas - middle layer,152,Aged 85 years and over,145
31,2021,E02004884,2021 super output areas - middle layer,152,Total,10376
32,2021,E02004884,2021 super output areas - middle layer,152,Aged 4 years and under,558
33,2021,E02004884,2021 super output areas - middle layer,152,Aged 5 to 9 years,582
34,2021,E02004884,2021 super output areas - middle layer,152,Aged 10 to 14 years,619
35,2021,E02004884,2021 super output areas - middle layer,152,Aged 15 to 19 years,501
36,2021,E02004884,2021 super output areas - middle layer,152,Aged 20 to 24 years,619
37,2021,E02004884,2021 super output areas - middle layer,152,Aged 25 to 29 years,831
38,2021,E02004884,2021 super output areas - middle layer,152,Aged 30 to 34 years,846
39,2021,E02004884,2021 super output areas - middle layer,152,Aged 35 to 39 years,784
40,2021,E02004884,2021 super output areas - middle layer,152,Aged 40 to 44 years,709
41,2021,E02004884,2021 super output areas - middle layer,152,Aged 45 to 49 years,744
42,2021,E02004884,2021 super output areas - middle layer,152,Aged 50 to 54 years,756
43,2021,E02004884,2021 super output areas - middle layer,152,Aged 55 to 59 years,726
44,2021,E02004884,2021 super output areas - middle layer,152,Aged 60 to 64 years,570
45,2021,E02004884,2021 super output areas - middle layer,152,Aged 65 to 69 years,446
46,2021,E02004884,2021 super output areas - middle layer,152,Aged 70 to 74 years,383
47,2021,E02004884,2021 super output areas - middle layer,152,Aged 75 to 79 years,250
48,2021,E02004884,2021 super output areas - middle layer,152,Aged 80 to 84 years,204
49,2021,E02004884,2021 super output areas - middle layer,152,Aged 85 years and over,248
50,2021,E02004885,2021 super output areas - middle layer,152,Total,8582
51,2021,E02004885,2021 super output areas - middle layer,152,Aged 4 years and under,403
52,2021,E02004885,2021 super output areas - middle layer,152,Aged 5 to 9 years,557
53,2021,E02004885,2021 super output areas - middle layer,152,Aged 10 to 14 years,657
54,2021,E02004885,2021 super output areas - middle layer,152,Aged 15 to 19 years,545
55,2021,E02004885,2021 super output areas - middle layer,152,Aged 20 to 24 years,418
56,2021,E02004885,2021 super output areas - middle layer,152,Aged 25 to 29 years,418
57,2021,E02004885,2021 super output areas - middle layer,152,Aged 30 to 34 years,428
58,2021,E02004885,2021 super output areas - middle layer,152,Aged 35 to 39 years,501
59,2021,E02004885,2021 super output areas - middle layer,152,Aged 40 to 44 years,592
60,2021,E02004885,2021 super output areas - middle layer,152,Aged 45 to 49 years,723
61,2021,E02004885,2021 super output areas - middle layer,152,Aged 50 to 54 years,741
62,2021,E02004885,2021 super output areas - middle layer,152,Aged 55 to 59 years,701
63,2021,E02004885,2021 super output areas - middle layer,152,Aged 60 to 64 years,566
64,2021,E02004885,2021 super output areas - middle layer,152,Aged 65 to 69 years,385
65,2021,E02004885,2021 super output areas - middle layer,152,Aged 70 to 74 years,361
66,2021,E02004885,2021 super output areas - middle layer,152,Aged 75 to 79 years,254
67,2021,E02004885,2021 super output areas - middle layer,152,Aged 80 to 84 years,166
68,2021,E02004885,2021 super output areas - middle layer,152,Aged 85 years and over,166
69,2021,E02004886,2021 super output areas - middle layer,152,Total,6665
70,2021,E02004886,2021 super output areas - middle layer,152,Aged 4 years and under,377
71,2021,E02004886,2021 super output areas - middle layer,152,Aged 5 to 9 years,402
72,2021,E02004886,2021 super output areas - middle layer,152,Aged 10 to 14 years,420
73,2021,E02004886,2021 super output areas - middle layer,152,Aged 15 to 19 years,333
74,2021,E02004886,2021 super output areas - middle layer,152,Aged 20 to 24 years,286
75,2021,E02004886,2021 super output areas - middle layer,152,Aged 25 to 29 years,328
76,2021,E02004886,2021 super output areas - middle layer,152,Aged 30 to 34 years,368
77,2021,E02004886,2021 super output areas - middle layer,152,Aged 35 to 39 years,429
78,2021,E02004886,2021 super output areas - middle layer,152,Aged 40 to 44 years,470
79,2021,E02004886,2021 super output areas - middle layer,152,Aged 45 to 49 years,433
80,2021,E02004886,2021 super output areas - middle layer,152,Aged 50 to 54 years,518
81,2021,E02004886,2021 super output areas - middle layer,152,Aged 55 to 59 years,523
82,2021,E02004886,2021 super output areas - middle layer,152,Aged 60 to 64 years,430
83,2021,E02004886,2021 super output areas - middle layer,152,Aged 65 to 69 years,355
