,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DEP_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,Household is not deprived in any dimension,2250
2,2021,E02002483,2021 super output areas - middle layer,152,Household is deprived in one dimension,1337
3,2021,E02002483,2021 super output areas - middle layer,152,Household is deprived in two dimensions,624
4,2021,E02002483,2021 super output areas - middle layer,152,Household is deprived in three dimensions,117
5,2021,E02002483,2021 super output areas - middle layer,152,Household is deprived in four dimensions,2
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
7,2021,E02002484,2021 super output areas - middle layer,152,Household is not deprived in any dimension,1531
8,2021,E02002484,2021 super output areas - middle layer,152,Household is deprived in one dimension,1565
9,2021,E02002484,2021 super output areas - middle layer,152,Household is deprived in two dimensions,1074
10,2021,E02002484,2021 super output areas - middle layer,152,Household is deprived in three dimensions,403
11,2021,E02002484,2021 super output areas - middle layer,152,Household is deprived in four dimensions,21
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
13,2021,E02002485,2021 super output areas - middle layer,152,Household is not deprived in any dimension,1247
14,2021,E02002485,2021 super output areas - middle layer,152,Household is deprived in one dimension,1221
15,2021,E02002485,2021 super output areas - middle layer,152,Household is deprived in two dimensions,813
16,2021,E02002485,2021 super output areas - middle layer,152,Household is deprived in three dimensions,247
17,2021,E02002485,2021 super output areas - middle layer,152,Household is deprived in four dimensions,11
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3239
19,2021,E02002489,2021 super output areas - middle layer,152,Household is not deprived in any dimension,1117
20,2021,E02002489,2021 super output areas - middle layer,152,Household is deprived in one dimension,1101
21,2021,E02002489,2021 super output areas - middle layer,152,Household is deprived in two dimensions,733
22,2021,E02002489,2021 super output areas - middle layer,152,Household is deprived in three dimensions,274
23,2021,E02002489,2021 super output areas - middle layer,152,Household is deprived in four dimensions,14
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
25,2021,E02002490,2021 super output areas - middle layer,152,Household is not deprived in any dimension,987
26,2021,E02002490,2021 super output areas - middle layer,152,Household is deprived in one dimension,888
27,2021,E02002490,2021 super output areas - middle layer,152,Household is deprived in two dimensions,570
28,2021,E02002490,2021 super output areas - middle layer,152,Household is deprived in three dimensions,195
29,2021,E02002490,2021 super output areas - middle layer,152,Household is deprived in four dimensions,6
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
31,2021,E02002491,2021 super output areas - middle layer,152,Household is not deprived in any dimension,969
32,2021,E02002491,2021 super output areas - middle layer,152,Household is deprived in one dimension,984
