,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PASS_52_NAME,OBS_VALUE
0,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,56
1,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,57
2,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,138
3,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,107
4,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,188
5,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,38
6,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,15
7,2021,E02000678,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,23
8,2021,E02000678,2021 super output areas - middle layer,152,Africa,241
9,2021,E02000678,2021 super output areas - middle layer,152,Africa: North Africa,13
10,2021,E02000678,2021 super output areas - middle layer,152,Africa: Central and Western Africa,212
11,2021,E02000678,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,20
12,2021,E02000678,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,169
13,2021,E02000678,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,23
14,2021,E02000678,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,16
15,2021,E02000678,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,5
16,2021,E02000678,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
17,2021,E02000678,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,2
18,2021,E02000678,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,4
19,2021,E02000678,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,5
20,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia,86
21,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,2
22,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,2
23,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
24,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,0
25,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,12
26,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,10
27,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),0
28,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,2
29,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,0
30,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,61
31,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,7
32,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,2
33,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,15
34,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,4
35,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,33
36,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,0
37,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,11
38,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,2
39,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,3
40,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,0
41,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,6
42,2021,E02000678,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
43,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean,147
44,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,17
45,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,4
46,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,13
47,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
48,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,31
49,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,99
50,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,88
51,2021,E02000678,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,11
52,2021,E02000678,2021 super output areas - middle layer,152,Antarctica and Oceania,4
53,2021,E02000678,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,4
54,2021,E02000678,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,4
55,2021,E02000678,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,0
56,2021,E02000678,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
57,2021,E02000678,2021 super output areas - middle layer,152,British Overseas Territories,0
58,2021,E02000678,2021 super output areas - middle layer,152,No passport held,710
59,2021,E02000679,2021 super output areas - middle layer,152,Total: All usual residents,8132
60,2021,E02000679,2021 super output areas - middle layer,152,Europe,7106
61,2021,E02000679,2021 super output areas - middle layer,152,Europe: United Kingdom,6177
62,2021,E02000679,2021 super output areas - middle layer,152,Europe: Ireland,110
63,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe,819
64,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,766
65,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,80
66,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,38
67,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,117
68,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,72
69,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,106
70,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,19
71,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,77
72,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,105
73,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,152
74,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,53
75,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,13
76,2021,E02000679,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,40
77,2021,E02000679,2021 super output areas - middle layer,152,Africa,154
78,2021,E02000679,2021 super output areas - middle layer,152,Africa: North Africa,11
79,2021,E02000679,2021 super output areas - middle layer,152,Africa: Central and Western Africa,123
80,2021,E02000679,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,24
81,2021,E02000679,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,77
82,2021,E02000679,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,22
83,2021,E02000679,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,20
84,2021,E02000679,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,1
85,2021,E02000679,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,1
86,2021,E02000679,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,6
87,2021,E02000679,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,3
88,2021,E02000679,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,9
89,2021,E02000679,2021 super output areas - middle layer,152,Middle East and Asia,116
90,2021,E02000679,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,8
91,2021,E02000679,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,2
92,2021,E02000679,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
