,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10239
1,2021,E02002483,2021 super output areas - middle layer,152,Born in the UK,10023
2,2021,E02002483,2021 super output areas - middle layer,152,Arrived before 1951,3
3,2021,E02002483,2021 super output areas - middle layer,152,Arrived 1951 to 1960,7
4,2021,E02002483,2021 super output areas - middle layer,152,Arrived 1961 to 1970,14
5,2021,E02002483,2021 super output areas - middle layer,152,Arrived 1971 to 1980,13
6,2021,E02002483,2021 super output areas - middle layer,152,Arrived 1981 to 1990,16
7,2021,E02002483,2021 super output areas - middle layer,152,Arrived 1991 to 2000,31
8,2021,E02002483,2021 super output areas - middle layer,152,Arrived 2001 to 2010,57
9,2021,E02002483,2021 super output areas - middle layer,152,Arrived 2011 to 2013,24
10,2021,E02002483,2021 super output areas - middle layer,152,Arrived 2014 to 2016,25
11,2021,E02002483,2021 super output areas - middle layer,152,Arrived 2017 to 2019,21
12,2021,E02002483,2021 super output areas - middle layer,152,Arrived 2020 to 2021,5
13,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10279
14,2021,E02002484,2021 super output areas - middle layer,152,Born in the UK,9895
15,2021,E02002484,2021 super output areas - middle layer,152,Arrived before 1951,6
16,2021,E02002484,2021 super output areas - middle layer,152,Arrived 1951 to 1960,12
17,2021,E02002484,2021 super output areas - middle layer,152,Arrived 1961 to 1970,22
18,2021,E02002484,2021 super output areas - middle layer,152,Arrived 1971 to 1980,27
19,2021,E02002484,2021 super output areas - middle layer,152,Arrived 1981 to 1990,14
20,2021,E02002484,2021 super output areas - middle layer,152,Arrived 1991 to 2000,43
21,2021,E02002484,2021 super output areas - middle layer,152,Arrived 2001 to 2010,128
22,2021,E02002484,2021 super output areas - middle layer,152,Arrived 2011 to 2013,27
23,2021,E02002484,2021 super output areas - middle layer,152,Arrived 2014 to 2016,43
24,2021,E02002484,2021 super output areas - middle layer,152,Arrived 2017 to 2019,54
25,2021,E02002484,2021 super output areas - middle layer,152,Arrived 2020 to 2021,8
26,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,8001
27,2021,E02002485,2021 super output areas - middle layer,152,Born in the UK,7654
28,2021,E02002485,2021 super output areas - middle layer,152,Arrived before 1951,3
29,2021,E02002485,2021 super output areas - middle layer,152,Arrived 1951 to 1960,3
30,2021,E02002485,2021 super output areas - middle layer,152,Arrived 1961 to 1970,13
31,2021,E02002485,2021 super output areas - middle layer,152,Arrived 1971 to 1980,14
32,2021,E02002485,2021 super output areas - middle layer,152,Arrived 1981 to 1990,18
33,2021,E02002485,2021 super output areas - middle layer,152,Arrived 1991 to 2000,35
34,2021,E02002485,2021 super output areas - middle layer,152,Arrived 2001 to 2010,112
35,2021,E02002485,2021 super output areas - middle layer,152,Arrived 2011 to 2013,44
36,2021,E02002485,2021 super output areas - middle layer,152,Arrived 2014 to 2016,22
37,2021,E02002485,2021 super output areas - middle layer,152,Arrived 2017 to 2019,60
38,2021,E02002485,2021 super output areas - middle layer,152,Arrived 2020 to 2021,23
39,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7123
40,2021,E02002489,2021 super output areas - middle layer,152,Born in the UK,6662
41,2021,E02002489,2021 super output areas - middle layer,152,Arrived before 1951,5
42,2021,E02002489,2021 super output areas - middle layer,152,Arrived 1951 to 1960,12
