,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHSIZE_10_NAME,OBS_VALUE
0,2021,E02005879,2021 super output areas - middle layer,152,Total: All households,3495
1,2021,E02005879,2021 super output areas - middle layer,152,0 people in household,0
2,2021,E02005879,2021 super output areas - middle layer,152,1 person in household,1272
3,2021,E02005879,2021 super output areas - middle layer,152,2 people in household,1199
4,2021,E02005879,2021 super output areas - middle layer,152,3 people in household,587
5,2021,E02005879,2021 super output areas - middle layer,152,4 people in household,332
6,2021,E02005879,2021 super output areas - middle layer,152,5 people in household,76
7,2021,E02005879,2021 super output areas - middle layer,152,6 people in household,23
8,2021,E02005879,2021 super output areas - middle layer,152,7 people in household,5
9,2021,E02005879,2021 super output areas - middle layer,152,8 or more people in household,1
10,2021,E02006835,2021 super output areas - middle layer,152,Total: All households,2620
11,2021,E02006835,2021 super output areas - middle layer,152,0 people in household,0
12,2021,E02006835,2021 super output areas - middle layer,152,1 person in household,720
13,2021,E02006835,2021 super output areas - middle layer,152,2 people in household,998
14,2021,E02006835,2021 super output areas - middle layer,152,3 people in household,463
15,2021,E02006835,2021 super output areas - middle layer,152,4 people in household,315
16,2021,E02006835,2021 super output areas - middle layer,152,5 people in household,84
17,2021,E02006835,2021 super output areas - middle layer,152,6 people in household,30
18,2021,E02006835,2021 super output areas - middle layer,152,7 people in household,7
19,2021,E02006835,2021 super output areas - middle layer,152,8 or more people in household,3
20,2021,E02005880,2021 super output areas - middle layer,152,Total: All households,2641
21,2021,E02005880,2021 super output areas - middle layer,152,0 people in household,0
22,2021,E02005880,2021 super output areas - middle layer,152,1 person in household,715
23,2021,E02005880,2021 super output areas - middle layer,152,2 people in household,934
24,2021,E02005880,2021 super output areas - middle layer,152,3 people in household,459
25,2021,E02005880,2021 super output areas - middle layer,152,4 people in household,320
26,2021,E02005880,2021 super output areas - middle layer,152,5 people in household,141
27,2021,E02005880,2021 super output areas - middle layer,152,6 people in household,46
28,2021,E02005880,2021 super output areas - middle layer,152,7 people in household,19
29,2021,E02005880,2021 super output areas - middle layer,152,8 or more people in household,7
30,2021,E02005881,2021 super output areas - middle layer,152,Total: All households,2665
31,2021,E02005881,2021 super output areas - middle layer,152,0 people in household,0
32,2021,E02005881,2021 super output areas - middle layer,152,1 person in household,745
33,2021,E02005881,2021 super output areas - middle layer,152,2 people in household,1013
34,2021,E02005881,2021 super output areas - middle layer,152,3 people in household,429
35,2021,E02005881,2021 super output areas - middle layer,152,4 people in household,329
36,2021,E02005881,2021 super output areas - middle layer,152,5 people in household,118
37,2021,E02005881,2021 super output areas - middle layer,152,6 people in household,25
