,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
0,2021,W02000168,2021 super output areas - middle layer,152,Total: All usual residents,6514
1,2021,W02000168,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",46
2,2021,W02000168,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",1
3,2021,W02000168,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",19
4,2021,W02000168,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",9
5,2021,W02000168,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",4
6,2021,W02000168,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",13
7,2021,W02000168,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",29
8,2021,W02000168,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",19
9,2021,W02000168,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5
10,2021,W02000168,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
11,2021,W02000168,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,64
12,2021,W02000168,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,16
13,2021,W02000168,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,14
14,2021,W02000168,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,11
15,2021,W02000168,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,23
16,2021,W02000168,2021 super output areas - middle layer,152,White,6360
17,2021,W02000168,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",6279
18,2021,W02000168,2021 super output areas - middle layer,152,White: Irish,23
19,2021,W02000168,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,0
20,2021,W02000168,2021 super output areas - middle layer,152,White: Roma,2
21,2021,W02000168,2021 super output areas - middle layer,152,White: Other White,56
22,2021,W02000168,2021 super output areas - middle layer,152,Other ethnic group,15
23,2021,W02000168,2021 super output areas - middle layer,152,Other ethnic group: Arab,5
24,2021,W02000168,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,10
25,2021,W02000169,2021 super output areas - middle layer,152,Total: All usual residents,9133
26,2021,W02000169,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",123
27,2021,W02000169,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",4
28,2021,W02000169,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",23
29,2021,W02000169,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",49
30,2021,W02000169,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",14
31,2021,W02000169,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",33
32,2021,W02000169,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",21
33,2021,W02000169,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",10
34,2021,W02000169,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8
35,2021,W02000169,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3
36,2021,W02000169,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,112
37,2021,W02000169,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,45
38,2021,W02000169,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,16
39,2021,W02000169,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,19
40,2021,W02000169,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,32
41,2021,W02000169,2021 super output areas - middle layer,152,White,8837
42,2021,W02000169,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",8631
43,2021,W02000169,2021 super output areas - middle layer,152,White: Irish,40
44,2021,W02000169,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,9
45,2021,W02000169,2021 super output areas - middle layer,152,White: Roma,0
46,2021,W02000169,2021 super output areas - middle layer,152,White: Other White,157
47,2021,W02000169,2021 super output areas - middle layer,152,Other ethnic group,40
48,2021,W02000169,2021 super output areas - middle layer,152,Other ethnic group: Arab,10
49,2021,W02000169,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,30
50,2021,W02000170,2021 super output areas - middle layer,152,Total: All usual residents,8683
51,2021,W02000170,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",553
52,2021,W02000170,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",30
53,2021,W02000170,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",24
54,2021,W02000170,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",213
55,2021,W02000170,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",31
56,2021,W02000170,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",255
57,2021,W02000170,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",57
58,2021,W02000170,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",47
59,2021,W02000170,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4
60,2021,W02000170,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6
61,2021,W02000170,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,132
62,2021,W02000170,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,56
63,2021,W02000170,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,20
64,2021,W02000170,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,26
65,2021,W02000170,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,30
66,2021,W02000170,2021 super output areas - middle layer,152,White,7872
67,2021,W02000170,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",7665
68,2021,W02000170,2021 super output areas - middle layer,152,White: Irish,30
69,2021,W02000170,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,4
70,2021,W02000170,2021 super output areas - middle layer,152,White: Roma,2
71,2021,W02000170,2021 super output areas - middle layer,152,White: Other White,171
72,2021,W02000170,2021 super output areas - middle layer,152,Other ethnic group,69
73,2021,W02000170,2021 super output areas - middle layer,152,Other ethnic group: Arab,40
74,2021,W02000170,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,29
75,2021,W02000171,2021 super output areas - middle layer,152,Total: All usual residents,8447
76,2021,W02000171,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",214
77,2021,W02000171,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",9
78,2021,W02000171,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",49
79,2021,W02000171,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",99
80,2021,W02000171,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",20
81,2021,W02000171,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",37
82,2021,W02000171,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",43
83,2021,W02000171,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",39
84,2021,W02000171,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4
85,2021,W02000171,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
86,2021,W02000171,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,89
87,2021,W02000171,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,33
88,2021,W02000171,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,8
89,2021,W02000171,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,20
90,2021,W02000171,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,28
91,2021,W02000171,2021 super output areas - middle layer,152,White,8058
