,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All usual residents,6130
1,2021,E02003086,2021 super output areas - middle layer,152,British only identity,3333
2,2021,E02003086,2021 super output areas - middle layer,152,English only identity,1045
3,2021,E02003086,2021 super output areas - middle layer,152,English and British only identity,962
4,2021,E02003086,2021 super output areas - middle layer,152,Welsh only identity,81
5,2021,E02003086,2021 super output areas - middle layer,152,Welsh and British only identity,27
6,2021,E02003086,2021 super output areas - middle layer,152,Any other combination of only UK identities,91
7,2021,E02003086,2021 super output areas - middle layer,152,Scottish only identity,38
8,2021,E02003086,2021 super output areas - middle layer,152,Scottish and British only identity,20
9,2021,E02003086,2021 super output areas - middle layer,152,Northern Irish only identity,8
10,2021,E02003086,2021 super output areas - middle layer,152,Northern Irish and British only identity,2
11,2021,E02003086,2021 super output areas - middle layer,152,Cornish only identity,6
12,2021,E02003086,2021 super output areas - middle layer,152,Cornish and British only identity,0
13,2021,E02003086,2021 super output areas - middle layer,152,Any other combination of only UK identities ,17
14,2021,E02003086,2021 super output areas - middle layer,152,Irish only identity,19
15,2021,E02003086,2021 super output areas - middle layer,152,Irish and at least one UK identity,8
16,2021,E02003086,2021 super output areas - middle layer,152,Other identity only,476
17,2021,E02003086,2021 super output areas - middle layer,152,Other identity and at least one UK identity,88
18,2021,E02003086,2021 super output areas - middle layer,152,Non-UK identity only,495
19,2021,E02003086,2021 super output areas - middle layer,152,UK identity and non-UK identity,96
20,2021,E02003087,2021 super output areas - middle layer,152,Total: All usual residents,10809
21,2021,E02003087,2021 super output areas - middle layer,152,British only identity,6266
22,2021,E02003087,2021 super output areas - middle layer,152,English only identity,2053
23,2021,E02003087,2021 super output areas - middle layer,152,English and British only identity,1769
24,2021,E02003087,2021 super output areas - middle layer,152,Welsh only identity,118
25,2021,E02003087,2021 super output areas - middle layer,152,Welsh and British only identity,52
26,2021,E02003087,2021 super output areas - middle layer,152,Any other combination of only UK identities,119
27,2021,E02003087,2021 super output areas - middle layer,152,Scottish only identity,37
28,2021,E02003087,2021 super output areas - middle layer,152,Scottish and British only identity,31
29,2021,E02003087,2021 super output areas - middle layer,152,Northern Irish only identity,8
30,2021,E02003087,2021 super output areas - middle layer,152,Northern Irish and British only identity,1
31,2021,E02003087,2021 super output areas - middle layer,152,Cornish only identity,5
32,2021,E02003087,2021 super output areas - middle layer,152,Cornish and British only identity,0
33,2021,E02003087,2021 super output areas - middle layer,152,Any other combination of only UK identities ,37
34,2021,E02003087,2021 super output areas - middle layer,152,Irish only identity,27
35,2021,E02003087,2021 super output areas - middle layer,152,Irish and at least one UK identity,10
36,2021,E02003087,2021 super output areas - middle layer,152,Other identity only,300
37,2021,E02003087,2021 super output areas - middle layer,152,Other identity and at least one UK identity,95
38,2021,E02003087,2021 super output areas - middle layer,152,Non-UK identity only,327
39,2021,E02003087,2021 super output areas - middle layer,152,UK identity and non-UK identity,105
40,2021,E02003088,2021 super output areas - middle layer,152,Total: All usual residents,9046
41,2021,E02003088,2021 super output areas - middle layer,152,British only identity,5266
42,2021,E02003088,2021 super output areas - middle layer,152,English only identity,1631
43,2021,E02003088,2021 super output areas - middle layer,152,English and British only identity,1469
44,2021,E02003088,2021 super output areas - middle layer,152,Welsh only identity,104
45,2021,E02003088,2021 super output areas - middle layer,152,Welsh and British only identity,50
46,2021,E02003088,2021 super output areas - middle layer,152,Any other combination of only UK identities,117
47,2021,E02003088,2021 super output areas - middle layer,152,Scottish only identity,36
48,2021,E02003088,2021 super output areas - middle layer,152,Scottish and British only identity,20
49,2021,E02003088,2021 super output areas - middle layer,152,Northern Irish only identity,9
50,2021,E02003088,2021 super output areas - middle layer,152,Northern Irish and British only identity,13
51,2021,E02003088,2021 super output areas - middle layer,152,Cornish only identity,5
52,2021,E02003088,2021 super output areas - middle layer,152,Cornish and British only identity,3
53,2021,E02003088,2021 super output areas - middle layer,152,Any other combination of only UK identities ,31
54,2021,E02003088,2021 super output areas - middle layer,152,Irish only identity,19
55,2021,E02003088,2021 super output areas - middle layer,152,Irish and at least one UK identity,7
56,2021,E02003088,2021 super output areas - middle layer,152,Other identity only,258
57,2021,E02003088,2021 super output areas - middle layer,152,Other identity and at least one UK identity,125
58,2021,E02003088,2021 super output areas - middle layer,152,Non-UK identity only,277
59,2021,E02003088,2021 super output areas - middle layer,152,UK identity and non-UK identity,132
60,2021,E02003089,2021 super output areas - middle layer,152,Total: All usual residents,5957
61,2021,E02003089,2021 super output areas - middle layer,152,British only identity,3246
62,2021,E02003089,2021 super output areas - middle layer,152,English only identity,1111
63,2021,E02003089,2021 super output areas - middle layer,152,English and British only identity,1050
64,2021,E02003089,2021 super output areas - middle layer,152,Welsh only identity,53
65,2021,E02003089,2021 super output areas - middle layer,152,Welsh and British only identity,26
66,2021,E02003089,2021 super output areas - middle layer,152,Any other combination of only UK identities,58
67,2021,E02003089,2021 super output areas - middle layer,152,Scottish only identity,20
68,2021,E02003089,2021 super output areas - middle layer,152,Scottish and British only identity,18
69,2021,E02003089,2021 super output areas - middle layer,152,Northern Irish only identity,4
70,2021,E02003089,2021 super output areas - middle layer,152,Northern Irish and British only identity,2
71,2021,E02003089,2021 super output areas - middle layer,152,Cornish only identity,1
72,2021,E02003089,2021 super output areas - middle layer,152,Cornish and British only identity,1
73,2021,E02003089,2021 super output areas - middle layer,152,Any other combination of only UK identities ,12
74,2021,E02003089,2021 super output areas - middle layer,152,Irish only identity,22
75,2021,E02003089,2021 super output areas - middle layer,152,Irish and at least one UK identity,4
76,2021,E02003089,2021 super output areas - middle layer,152,Other identity only,298
77,2021,E02003089,2021 super output areas - middle layer,152,Other identity and at least one UK identity,89
78,2021,E02003089,2021 super output areas - middle layer,152,Non-UK identity only,320
79,2021,E02003089,2021 super output areas - middle layer,152,UK identity and non-UK identity,93
80,2021,E02006845,2021 super output areas - middle layer,152,Total: All usual residents,9637
81,2021,E02006845,2021 super output areas - middle layer,152,British only identity,5550
82,2021,E02006845,2021 super output areas - middle layer,152,English only identity,1523
83,2021,E02006845,2021 super output areas - middle layer,152,English and British only identity,1798
84,2021,E02006845,2021 super output areas - middle layer,152,Welsh only identity,83
85,2021,E02006845,2021 super output areas - middle layer,152,Welsh and British only identity,33
86,2021,E02006845,2021 super output areas - middle layer,152,Any other combination of only UK identities,85
87,2021,E02006845,2021 super output areas - middle layer,152,Scottish only identity,25
88,2021,E02006845,2021 super output areas - middle layer,152,Scottish and British only identity,24
89,2021,E02006845,2021 super output areas - middle layer,152,Northern Irish only identity,9
90,2021,E02006845,2021 super output areas - middle layer,152,Northern Irish and British only identity,3
91,2021,E02006845,2021 super output areas - middle layer,152,Cornish only identity,3
92,2021,E02006845,2021 super output areas - middle layer,152,Cornish and British only identity,0
93,2021,E02006845,2021 super output areas - middle layer,152,Any other combination of only UK identities ,21
94,2021,E02006845,2021 super output areas - middle layer,152,Irish only identity,27
95,2021,E02006845,2021 super output areas - middle layer,152,Irish and at least one UK identity,8
96,2021,E02006845,2021 super output areas - middle layer,152,Other identity only,427
97,2021,E02006845,2021 super output areas - middle layer,152,Other identity and at least one UK identity,103
98,2021,E02006845,2021 super output areas - middle layer,152,Non-UK identity only,454
99,2021,E02006845,2021 super output areas - middle layer,152,UK identity and non-UK identity,111
100,2021,E02006846,2021 super output areas - middle layer,152,Total: All usual residents,9711
101,2021,E02006846,2021 super output areas - middle layer,152,British only identity,5232
102,2021,E02006846,2021 super output areas - middle layer,152,English only identity,1356
103,2021,E02006846,2021 super output areas - middle layer,152,English and British only identity,1759
104,2021,E02006846,2021 super output areas - middle layer,152,Welsh only identity,82
105,2021,E02006846,2021 super output areas - middle layer,152,Welsh and British only identity,29
106,2021,E02006846,2021 super output areas - middle layer,152,Any other combination of only UK identities,93
107,2021,E02006846,2021 super output areas - middle layer,152,Scottish only identity,36
108,2021,E02006846,2021 super output areas - middle layer,152,Scottish and British only identity,20
109,2021,E02006846,2021 super output areas - middle layer,152,Northern Irish only identity,4
110,2021,E02006846,2021 super output areas - middle layer,152,Northern Irish and British only identity,4
111,2021,E02006846,2021 super output areas - middle layer,152,Cornish only identity,1
112,2021,E02006846,2021 super output areas - middle layer,152,Cornish and British only identity,0
113,2021,E02006846,2021 super output areas - middle layer,152,Any other combination of only UK identities ,28
114,2021,E02006846,2021 super output areas - middle layer,152,Irish only identity,17
115,2021,E02006846,2021 super output areas - middle layer,152,Irish and at least one UK identity,8
116,2021,E02006846,2021 super output areas - middle layer,152,Other identity only,991
117,2021,E02006846,2021 super output areas - middle layer,152,Other identity and at least one UK identity,144
118,2021,E02006846,2021 super output areas - middle layer,152,Non-UK identity only,1008
119,2021,E02006846,2021 super output areas - middle layer,152,UK identity and non-UK identity,152
120,2021,E02003090,2021 super output areas - middle layer,152,Total: All usual residents,9439
121,2021,E02003090,2021 super output areas - middle layer,152,British only identity,5349
122,2021,E02003090,2021 super output areas - middle layer,152,English only identity,1440
123,2021,E02003090,2021 super output areas - middle layer,152,English and British only identity,1708
124,2021,E02003090,2021 super output areas - middle layer,152,Welsh only identity,167
125,2021,E02003090,2021 super output areas - middle layer,152,Welsh and British only identity,84
126,2021,E02003090,2021 super output areas - middle layer,152,Any other combination of only UK identities,149
127,2021,E02003090,2021 super output areas - middle layer,152,Scottish only identity,54
128,2021,E02003090,2021 super output areas - middle layer,152,Scottish and British only identity,32
129,2021,E02003090,2021 super output areas - middle layer,152,Northern Irish only identity,8
130,2021,E02003090,2021 super output areas - middle layer,152,Northern Irish and British only identity,4
131,2021,E02003090,2021 super output areas - middle layer,152,Cornish only identity,10
132,2021,E02003090,2021 super output areas - middle layer,152,Cornish and British only identity,0
133,2021,E02003090,2021 super output areas - middle layer,152,Any other combination of only UK identities ,41
134,2021,E02003090,2021 super output areas - middle layer,152,Irish only identity,32
135,2021,E02003090,2021 super output areas - middle layer,152,Irish and at least one UK identity,10
136,2021,E02003090,2021 super output areas - middle layer,152,Other identity only,387
137,2021,E02003090,2021 super output areas - middle layer,152,Other identity and at least one UK identity,113
138,2021,E02003090,2021 super output areas - middle layer,152,Non-UK identity only,419
139,2021,E02003090,2021 super output areas - middle layer,152,UK identity and non-UK identity,123
140,2021,E02003091,2021 super output areas - middle layer,152,Total: All usual residents,6724
141,2021,E02003091,2021 super output areas - middle layer,152,British only identity,3801
142,2021,E02003091,2021 super output areas - middle layer,152,English only identity,1168
143,2021,E02003091,2021 super output areas - middle layer,152,English and British only identity,1183
144,2021,E02003091,2021 super output areas - middle layer,152,Welsh only identity,93
