,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
0,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African,25
1,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: North African,5
2,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African,2
3,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Ghanaian,1
4,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Nigerian,1
5,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Other Central and Western African,0
6,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African,18
7,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Kenyan,1
8,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Somali,0
9,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: South African,7
10,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Zimbabwean,9
11,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Other South and Eastern African,1
12,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian,94
13,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern,10
14,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish,0
15,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian,0
16,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi,2
17,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern,8
18,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian,7
19,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Chinese,7
20,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Hong Kong Chinese,0
21,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Japanese,0
22,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Other Eastern Asian,0
23,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian,38
24,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Afghan,0
25,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi,9
26,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Indian,17
27,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani,9
28,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan,2
29,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian,1
30,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian,38
31,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Filipino,12
32,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian,5
33,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean,0
34,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,21
35,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Central Asian,0
36,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,1
37,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean,13
38,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American,8
39,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Canadian,1
40,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: US Citizen,7
41,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Other North American,0
42,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Central American,2
43,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: South American,3
44,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean,0
45,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Jamaican,0
46,2021,E02004284,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Other Caribbean,0
