,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
0,2021,W02000001,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8180
1,2021,W02000001,2021 super output areas - middle layer,152,Cannot write Welsh,4153
2,2021,W02000001,2021 super output areas - middle layer,152,Can write Welsh,4027
3,2021,W02000002,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6231
4,2021,W02000002,2021 super output areas - middle layer,152,Cannot write Welsh,3354
5,2021,W02000002,2021 super output areas - middle layer,152,Can write Welsh,2877
6,2021,W02000003,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10270
7,2021,W02000003,2021 super output areas - middle layer,152,Cannot write Welsh,7147
8,2021,W02000003,2021 super output areas - middle layer,152,Can write Welsh,3123
9,2021,W02000004,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7249
10,2021,W02000004,2021 super output areas - middle layer,152,Cannot write Welsh,4320
11,2021,W02000004,2021 super output areas - middle layer,152,Can write Welsh,2929
12,2021,W02000005,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8012
13,2021,W02000005,2021 super output areas - middle layer,152,Cannot write Welsh,4860
14,2021,W02000005,2021 super output areas - middle layer,152,Can write Welsh,3152
15,2021,W02000006,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6807
16,2021,W02000006,2021 super output areas - middle layer,152,Cannot write Welsh,2316
17,2021,W02000006,2021 super output areas - middle layer,152,Can write Welsh,4491
18,2021,W02000007,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6683
19,2021,W02000007,2021 super output areas - middle layer,152,Cannot write Welsh,3409
20,2021,W02000007,2021 super output areas - middle layer,152,Can write Welsh,3274
21,2021,W02000008,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5830
22,2021,W02000008,2021 super output areas - middle layer,152,Cannot write Welsh,2763
23,2021,W02000008,2021 super output areas - middle layer,152,Can write Welsh,3067
24,2021,W02000009,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7825
25,2021,W02000009,2021 super output areas - middle layer,152,Cannot write Welsh,3286
26,2021,W02000009,2021 super output areas - middle layer,152,Can write Welsh,4539
27,2021,W02000010,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8466
28,2021,W02000010,2021 super output areas - middle layer,152,Cannot write Welsh,6435
29,2021,W02000010,2021 super output areas - middle layer,152,Can write Welsh,2031
30,2021,W02000011,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8090
31,2021,W02000011,2021 super output areas - middle layer,152,Cannot write Welsh,4668
32,2021,W02000011,2021 super output areas - middle layer,152,Can write Welsh,3422
33,2021,W02000012,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7961
34,2021,W02000012,2021 super output areas - middle layer,152,Cannot write Welsh,3006
35,2021,W02000012,2021 super output areas - middle layer,152,Can write Welsh,4955
36,2021,W02000013,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6240
37,2021,W02000013,2021 super output areas - middle layer,152,Cannot write Welsh,1913
38,2021,W02000013,2021 super output areas - middle layer,152,Can write Welsh,4327
39,2021,W02000014,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6561
40,2021,W02000014,2021 super output areas - middle layer,152,Cannot write Welsh,2583
41,2021,W02000014,2021 super output areas - middle layer,152,Can write Welsh,3978
42,2021,W02000015,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8178
43,2021,W02000015,2021 super output areas - middle layer,152,Cannot write Welsh,2146
44,2021,W02000015,2021 super output areas - middle layer,152,Can write Welsh,6032
45,2021,W02000016,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6181
46,2021,W02000016,2021 super output areas - middle layer,152,Cannot write Welsh,1819
47,2021,W02000016,2021 super output areas - middle layer,152,Can write Welsh,4362
48,2021,W02000017,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7355
49,2021,W02000017,2021 super output areas - middle layer,152,Cannot write Welsh,2313
50,2021,W02000017,2021 super output areas - middle layer,152,Can write Welsh,5042
51,2021,W02000018,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5884
52,2021,W02000018,2021 super output areas - middle layer,152,Cannot write Welsh,1878
53,2021,W02000018,2021 super output areas - middle layer,152,Can write Welsh,4006
54,2021,W02000019,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6506
55,2021,W02000019,2021 super output areas - middle layer,152,Cannot write Welsh,2602
56,2021,W02000019,2021 super output areas - middle layer,152,Can write Welsh,3904
57,2021,W02000020,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6316
58,2021,W02000020,2021 super output areas - middle layer,152,Cannot write Welsh,2248
59,2021,W02000020,2021 super output areas - middle layer,152,Can write Welsh,4068
60,2021,W02000021,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7559
61,2021,W02000021,2021 super output areas - middle layer,152,Cannot write Welsh,2396
62,2021,W02000021,2021 super output areas - middle layer,152,Can write Welsh,5163
63,2021,W02000022,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5437
64,2021,W02000022,2021 super output areas - middle layer,152,Cannot write Welsh,2736
65,2021,W02000022,2021 super output areas - middle layer,152,Can write Welsh,2701
66,2021,W02000023,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5165
67,2021,W02000023,2021 super output areas - middle layer,152,Cannot write Welsh,1939
68,2021,W02000023,2021 super output areas - middle layer,152,Can write Welsh,3226
69,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5557
70,2021,W02000024,2021 super output areas - middle layer,152,Cannot write Welsh,2151
71,2021,W02000024,2021 super output areas - middle layer,152,Can write Welsh,3406
72,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5996
73,2021,W02000025,2021 super output areas - middle layer,152,Cannot write Welsh,3248
74,2021,W02000025,2021 super output areas - middle layer,152,Can write Welsh,2748
75,2021,W02000026,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6853
