,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHDISABLED_4_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4331
1,2021,E02002483,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2836
2,2021,E02002483,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1183
3,2021,E02002483,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,312
4,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4595
5,2021,E02002484,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2522
6,2021,E02002484,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1588
7,2021,E02002484,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,485
8,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
9,2021,E02002485,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1945
10,2021,E02002485,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1231
11,2021,E02002485,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,363
12,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3240
13,2021,E02002489,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1807
14,2021,E02002489,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1139
15,2021,E02002489,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,294
16,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
17,2021,E02002490,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1542
18,2021,E02002490,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,876
19,2021,E02002490,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,228
20,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
21,2021,E02002491,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1513
22,2021,E02002491,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,995
23,2021,E02002491,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,303
24,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2976
25,2021,E02002492,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1778
26,2021,E02002492,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,899
27,2021,E02002492,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,299
28,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
29,2021,E02002493,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1984
30,2021,E02002493,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,757
31,2021,E02002493,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,214
32,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3389
33,2021,E02002494,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1825
34,2021,E02002494,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1218
35,2021,E02002494,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,346
36,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5506
37,2021,E02006909,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,3833
38,2021,E02006909,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1326
