,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4329
1,2021,E02002483,2021 super output areas - middle layer,152,No central heating,26
2,2021,E02002483,2021 super output areas - middle layer,152,Mains gas only,3648
3,2021,E02002483,2021 super output areas - middle layer,152,Tank or bottled gas only,19
4,2021,E02002483,2021 super output areas - middle layer,152,Electric only,178
5,2021,E02002483,2021 super output areas - middle layer,152,Oil only,3
6,2021,E02002483,2021 super output areas - middle layer,152,Wood only,0
7,2021,E02002483,2021 super output areas - middle layer,152,Solid fuel only,2
8,2021,E02002483,2021 super output areas - middle layer,152,Renewable energy only,6
9,2021,E02002483,2021 super output areas - middle layer,152,District or communal heat networks only,44
10,2021,E02002483,2021 super output areas - middle layer,152,Other central heating only,40
11,2021,E02002483,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),347
12,2021,E02002483,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),16
13,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4596
14,2021,E02002484,2021 super output areas - middle layer,152,No central heating,42
15,2021,E02002484,2021 super output areas - middle layer,152,Mains gas only,3713
16,2021,E02002484,2021 super output areas - middle layer,152,Tank or bottled gas only,17
17,2021,E02002484,2021 super output areas - middle layer,152,Electric only,221
18,2021,E02002484,2021 super output areas - middle layer,152,Oil only,2
19,2021,E02002484,2021 super output areas - middle layer,152,Wood only,2
20,2021,E02002484,2021 super output areas - middle layer,152,Solid fuel only,1
21,2021,E02002484,2021 super output areas - middle layer,152,Renewable energy only,5
22,2021,E02002484,2021 super output areas - middle layer,152,District or communal heat networks only,36
23,2021,E02002484,2021 super output areas - middle layer,152,Other central heating only,79
24,2021,E02002484,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),457
25,2021,E02002484,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),21
26,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3536
27,2021,E02002485,2021 super output areas - middle layer,152,No central heating,29
28,2021,E02002485,2021 super output areas - middle layer,152,Mains gas only,2883
29,2021,E02002485,2021 super output areas - middle layer,152,Tank or bottled gas only,28
30,2021,E02002485,2021 super output areas - middle layer,152,Electric only,124
31,2021,E02002485,2021 super output areas - middle layer,152,Oil only,1
32,2021,E02002485,2021 super output areas - middle layer,152,Wood only,2
33,2021,E02002485,2021 super output areas - middle layer,152,Solid fuel only,0
34,2021,E02002485,2021 super output areas - middle layer,152,Renewable energy only,3
35,2021,E02002485,2021 super output areas - middle layer,152,District or communal heat networks only,14
36,2021,E02002485,2021 super output areas - middle layer,152,Other central heating only,62
37,2021,E02002485,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),369
38,2021,E02002485,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),21
39,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3241
