,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,1 bedroom,732
2,2021,E02000959,2021 super output areas - middle layer,152,2 bedrooms,985
3,2021,E02000959,2021 super output areas - middle layer,152,3 bedrooms,855
4,2021,E02000959,2021 super output areas - middle layer,152,4 or more bedrooms,532
5,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4107
6,2021,E02007083,2021 super output areas - middle layer,152,1 bedroom,1536
7,2021,E02007083,2021 super output areas - middle layer,152,2 bedrooms,2093
8,2021,E02007083,2021 super output areas - middle layer,152,3 bedrooms,404
9,2021,E02007083,2021 super output areas - middle layer,152,4 or more bedrooms,74
10,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4135
11,2021,E02007084,2021 super output areas - middle layer,152,1 bedroom,1245
12,2021,E02007084,2021 super output areas - middle layer,152,2 bedrooms,1516
13,2021,E02007084,2021 super output areas - middle layer,152,3 bedrooms,1022
14,2021,E02007084,2021 super output areas - middle layer,152,4 or more bedrooms,352
15,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2782
16,2021,E02000960,2021 super output areas - middle layer,152,1 bedroom,705
17,2021,E02000960,2021 super output areas - middle layer,152,2 bedrooms,940
18,2021,E02000960,2021 super output areas - middle layer,152,3 bedrooms,654
19,2021,E02000960,2021 super output areas - middle layer,152,4 or more bedrooms,483
20,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
21,2021,E02000961,2021 super output areas - middle layer,152,1 bedroom,991
22,2021,E02000961,2021 super output areas - middle layer,152,2 bedrooms,1648
23,2021,E02000961,2021 super output areas - middle layer,152,3 bedrooms,754
24,2021,E02000961,2021 super output areas - middle layer,152,4 or more bedrooms,675
25,2021,E02000962,2021 super output areas - middle layer,152,Total: All households,3858
26,2021,E02000962,2021 super output areas - middle layer,152,1 bedroom,1530
27,2021,E02000962,2021 super output areas - middle layer,152,2 bedrooms,1288
28,2021,E02000962,2021 super output areas - middle layer,152,3 bedrooms,680
29,2021,E02000962,2021 super output areas - middle layer,152,4 or more bedrooms,360
30,2021,E02000963,2021 super output areas - middle layer,152,Total: All households,4136
31,2021,E02000963,2021 super output areas - middle layer,152,1 bedroom,1119
32,2021,E02000963,2021 super output areas - middle layer,152,2 bedrooms,1729
33,2021,E02000963,2021 super output areas - middle layer,152,3 bedrooms,1043
34,2021,E02000963,2021 super output areas - middle layer,152,4 or more bedrooms,245
35,2021,E02000964,2021 super output areas - middle layer,152,Total: All households,5358
36,2021,E02000964,2021 super output areas - middle layer,152,1 bedroom,1967
37,2021,E02000964,2021 super output areas - middle layer,152,2 bedrooms,2148
38,2021,E02000964,2021 super output areas - middle layer,152,3 bedrooms,905
39,2021,E02000964,2021 super output areas - middle layer,152,4 or more bedrooms,338
40,2021,E02000965,2021 super output areas - middle layer,152,Total: All households,3623
41,2021,E02000965,2021 super output areas - middle layer,152,1 bedroom,968
42,2021,E02000965,2021 super output areas - middle layer,152,2 bedrooms,1535
43,2021,E02000965,2021 super output areas - middle layer,152,3 bedrooms,876
44,2021,E02000965,2021 super output areas - middle layer,152,4 or more bedrooms,244
45,2021,E02000966,2021 super output areas - middle layer,152,Total: All households,4110
46,2021,E02000966,2021 super output areas - middle layer,152,1 bedroom,1256
47,2021,E02000966,2021 super output areas - middle layer,152,2 bedrooms,1420
48,2021,E02000966,2021 super output areas - middle layer,152,3 bedrooms,945
49,2021,E02000966,2021 super output areas - middle layer,152,4 or more bedrooms,489
50,2021,E02000967,2021 super output areas - middle layer,152,Total: All households,3015
51,2021,E02000967,2021 super output areas - middle layer,152,1 bedroom,904
52,2021,E02000967,2021 super output areas - middle layer,152,2 bedrooms,1158
53,2021,E02000967,2021 super output areas - middle layer,152,3 bedrooms,684
54,2021,E02000967,2021 super output areas - middle layer,152,4 or more bedrooms,269
55,2021,E02000968,2021 super output areas - middle layer,152,Total: All households,5617
56,2021,E02000968,2021 super output areas - middle layer,152,1 bedroom,1937
57,2021,E02000968,2021 super output areas - middle layer,152,2 bedrooms,1897
58,2021,E02000968,2021 super output areas - middle layer,152,3 bedrooms,1286
59,2021,E02000968,2021 super output areas - middle layer,152,4 or more bedrooms,497
60,2021,E02000969,2021 super output areas - middle layer,152,Total: All households,3719
61,2021,E02000969,2021 super output areas - middle layer,152,1 bedroom,1232
62,2021,E02000969,2021 super output areas - middle layer,152,2 bedrooms,1463
63,2021,E02000969,2021 super output areas - middle layer,152,3 bedrooms,813
64,2021,E02000969,2021 super output areas - middle layer,152,4 or more bedrooms,211
65,2021,E02000970,2021 super output areas - middle layer,152,Total: All households,3555
66,2021,E02000970,2021 super output areas - middle layer,152,1 bedroom,1146
67,2021,E02000970,2021 super output areas - middle layer,152,2 bedrooms,1309
