,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4327
1,2021,E02002483,2021 super output areas - middle layer,152,1 room,2
2,2021,E02002483,2021 super output areas - middle layer,152,2 rooms,124
3,2021,E02002483,2021 super output areas - middle layer,152,3 rooms,881
4,2021,E02002483,2021 super output areas - middle layer,152,4 rooms,1525
5,2021,E02002483,2021 super output areas - middle layer,152,5 rooms,1050
6,2021,E02002483,2021 super output areas - middle layer,152,6 rooms,462
7,2021,E02002483,2021 super output areas - middle layer,152,7 rooms,183
8,2021,E02002483,2021 super output areas - middle layer,152,8 rooms,50
9,2021,E02002483,2021 super output areas - middle layer,152,9 or more rooms,50
10,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4596
11,2021,E02002484,2021 super output areas - middle layer,152,1 room,67
12,2021,E02002484,2021 super output areas - middle layer,152,2 rooms,479
13,2021,E02002484,2021 super output areas - middle layer,152,3 rooms,1300
14,2021,E02002484,2021 super output areas - middle layer,152,4 rooms,1379
15,2021,E02002484,2021 super output areas - middle layer,152,5 rooms,1102
16,2021,E02002484,2021 super output areas - middle layer,152,6 rooms,166
17,2021,E02002484,2021 super output areas - middle layer,152,7 rooms,58
18,2021,E02002484,2021 super output areas - middle layer,152,8 rooms,23
19,2021,E02002484,2021 super output areas - middle layer,152,9 or more rooms,22
20,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
21,2021,E02002485,2021 super output areas - middle layer,152,1 room,3
22,2021,E02002485,2021 super output areas - middle layer,152,2 rooms,338
23,2021,E02002485,2021 super output areas - middle layer,152,3 rooms,749
24,2021,E02002485,2021 super output areas - middle layer,152,4 rooms,1270
25,2021,E02002485,2021 super output areas - middle layer,152,5 rooms,998
26,2021,E02002485,2021 super output areas - middle layer,152,6 rooms,143
27,2021,E02002485,2021 super output areas - middle layer,152,7 rooms,20
28,2021,E02002485,2021 super output areas - middle layer,152,8 rooms,11
29,2021,E02002485,2021 super output areas - middle layer,152,9 or more rooms,7
30,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3240
31,2021,E02002489,2021 super output areas - middle layer,152,1 room,68
32,2021,E02002489,2021 super output areas - middle layer,152,2 rooms,472
33,2021,E02002489,2021 super output areas - middle layer,152,3 rooms,691
34,2021,E02002489,2021 super output areas - middle layer,152,4 rooms,787
35,2021,E02002489,2021 super output areas - middle layer,152,5 rooms,732
36,2021,E02002489,2021 super output areas - middle layer,152,6 rooms,274
37,2021,E02002489,2021 super output areas - middle layer,152,7 rooms,112
38,2021,E02002489,2021 super output areas - middle layer,152,8 rooms,61
39,2021,E02002489,2021 super output areas - middle layer,152,9 or more rooms,43
40,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2647
41,2021,E02002490,2021 super output areas - middle layer,152,1 room,2
42,2021,E02002490,2021 super output areas - middle layer,152,2 rooms,144
43,2021,E02002490,2021 super output areas - middle layer,152,3 rooms,595
44,2021,E02002490,2021 super output areas - middle layer,152,4 rooms,1097
45,2021,E02002490,2021 super output areas - middle layer,152,5 rooms,623
46,2021,E02002490,2021 super output areas - middle layer,152,6 rooms,121
47,2021,E02002490,2021 super output areas - middle layer,152,7 rooms,43
48,2021,E02002490,2021 super output areas - middle layer,152,8 rooms,17
49,2021,E02002490,2021 super output areas - middle layer,152,9 or more rooms,5
50,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2814
51,2021,E02002491,2021 super output areas - middle layer,152,1 room,1
52,2021,E02002491,2021 super output areas - middle layer,152,2 rooms,234
53,2021,E02002491,2021 super output areas - middle layer,152,3 rooms,580
54,2021,E02002491,2021 super output areas - middle layer,152,4 rooms,944
55,2021,E02002491,2021 super output areas - middle layer,152,5 rooms,961
56,2021,E02002491,2021 super output areas - middle layer,152,6 rooms,71
57,2021,E02002491,2021 super output areas - middle layer,152,7 rooms,16
58,2021,E02002491,2021 super output areas - middle layer,152,8 rooms,3
59,2021,E02002491,2021 super output areas - middle layer,152,9 or more rooms,4
60,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2974
61,2021,E02002492,2021 super output areas - middle layer,152,1 room,12
62,2021,E02002492,2021 super output areas - middle layer,152,2 rooms,187
63,2021,E02002492,2021 super output areas - middle layer,152,3 rooms,767
64,2021,E02002492,2021 super output areas - middle layer,152,4 rooms,965
65,2021,E02002492,2021 super output areas - middle layer,152,5 rooms,860
66,2021,E02002492,2021 super output areas - middle layer,152,6 rooms,128
67,2021,E02002492,2021 super output areas - middle layer,152,7 rooms,34
68,2021,E02002492,2021 super output areas - middle layer,152,8 rooms,11
69,2021,E02002492,2021 super output areas - middle layer,152,9 or more rooms,10
