,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TENURE_9_NAME,OBS_VALUE
0,2021,E02003289,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,10
1,2021,E02003289,2021 super output areas - middle layer,152,Social rented,83
2,2021,E02003289,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,42
3,2021,E02003289,2021 super output areas - middle layer,152,Social rented: Other social rented,41
4,2021,E02003289,2021 super output areas - middle layer,152,Private rented,1488
5,2021,E02003289,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1341
6,2021,E02003289,2021 super output areas - middle layer,152,Private rented: Other private rented,147
7,2021,E02003289,2021 super output areas - middle layer,152,Lives rent free,0
8,2021,E02003289,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,1686
9,2021,E02003289,2021 super output areas - middle layer,152,Private rented or lives rent free,1488
10,2021,E02003290,2021 super output areas - middle layer,152,Total: All households,4472
11,2021,E02003290,2021 super output areas - middle layer,152,Owned,2621
12,2021,E02003290,2021 super output areas - middle layer,152,Owned: Owns outright,1341
13,2021,E02003290,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,1280
14,2021,E02003290,2021 super output areas - middle layer,152,Shared ownership,25
15,2021,E02003290,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,25
16,2021,E02003290,2021 super output areas - middle layer,152,Social rented,216
17,2021,E02003290,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,90
18,2021,E02003290,2021 super output areas - middle layer,152,Social rented: Other social rented,126
19,2021,E02003290,2021 super output areas - middle layer,152,Private rented,1608
20,2021,E02003290,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1515
21,2021,E02003290,2021 super output areas - middle layer,152,Private rented: Other private rented,93
22,2021,E02003290,2021 super output areas - middle layer,152,Lives rent free,2
23,2021,E02003290,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,1305
24,2021,E02003290,2021 super output areas - middle layer,152,Private rented or lives rent free,1610
25,2021,E02003291,2021 super output areas - middle layer,152,Total: All households,5141
26,2021,E02003291,2021 super output areas - middle layer,152,Owned,2919
27,2021,E02003291,2021 super output areas - middle layer,152,Owned: Owns outright,1482
28,2021,E02003291,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,1437
29,2021,E02003291,2021 super output areas - middle layer,152,Shared ownership,59
30,2021,E02003291,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,59
31,2021,E02003291,2021 super output areas - middle layer,152,Social rented,1143
32,2021,E02003291,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,465
33,2021,E02003291,2021 super output areas - middle layer,152,Social rented: Other social rented,678
34,2021,E02003291,2021 super output areas - middle layer,152,Private rented,1018
35,2021,E02003291,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,924
36,2021,E02003291,2021 super output areas - middle layer,152,Private rented: Other private rented,94
37,2021,E02003291,2021 super output areas - middle layer,152,Lives rent free,2
38,2021,E02003291,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,1496
39,2021,E02003291,2021 super output areas - middle layer,152,Private rented or lives rent free,1020
40,2021,E02003292,2021 super output areas - middle layer,152,Total: All households,5557
41,2021,E02003292,2021 super output areas - middle layer,152,Owned,1846
42,2021,E02003292,2021 super output areas - middle layer,152,Owned: Owns outright,786
43,2021,E02003292,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,1060
44,2021,E02003292,2021 super output areas - middle layer,152,Shared ownership,54
45,2021,E02003292,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,54
46,2021,E02003292,2021 super output areas - middle layer,152,Social rented,1338
47,2021,E02003292,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,322
48,2021,E02003292,2021 super output areas - middle layer,152,Social rented: Other social rented,1016
49,2021,E02003292,2021 super output areas - middle layer,152,Private rented,2317
50,2021,E02003292,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,2207
51,2021,E02003292,2021 super output areas - middle layer,152,Private rented: Other private rented,110
52,2021,E02003292,2021 super output areas - middle layer,152,Lives rent free,2
53,2021,E02003292,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,1114
