,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,389
1,2021,E02002483,2021 super output areas - middle layer,152,Armed forces base address,18
2,2021,E02002483,2021 super output areas - middle layer,152,Another address when working away from home,73
3,2021,E02002483,2021 super output areas - middle layer,152,Holiday home,45
4,2021,E02002483,2021 super output areas - middle layer,152,Student's term-time address,1
5,2021,E02002483,2021 super output areas - middle layer,152,Student's home address,5
6,2021,E02002483,2021 super output areas - middle layer,152,Another parent or guardian's address,190
7,2021,E02002483,2021 super output areas - middle layer,152,Partner's address,25
8,2021,E02002483,2021 super output areas - middle layer,152,Other,32
9,2021,E02002483,2021 super output areas - middle layer,152,Second address type not specified,0
10,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,287
11,2021,E02002484,2021 super output areas - middle layer,152,Armed forces base address,8
12,2021,E02002484,2021 super output areas - middle layer,152,Another address when working away from home,23
13,2021,E02002484,2021 super output areas - middle layer,152,Holiday home,34
14,2021,E02002484,2021 super output areas - middle layer,152,Student's term-time address,2
15,2021,E02002484,2021 super output areas - middle layer,152,Student's home address,11
16,2021,E02002484,2021 super output areas - middle layer,152,Another parent or guardian's address,144
17,2021,E02002484,2021 super output areas - middle layer,152,Partner's address,24
18,2021,E02002484,2021 super output areas - middle layer,152,Other,41
19,2021,E02002484,2021 super output areas - middle layer,152,Second address type not specified,0
20,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,252
21,2021,E02002485,2021 super output areas - middle layer,152,Armed forces base address,9
22,2021,E02002485,2021 super output areas - middle layer,152,Another address when working away from home,24
23,2021,E02002485,2021 super output areas - middle layer,152,Holiday home,30
24,2021,E02002485,2021 super output areas - middle layer,152,Student's term-time address,2
25,2021,E02002485,2021 super output areas - middle layer,152,Student's home address,6
26,2021,E02002485,2021 super output areas - middle layer,152,Another parent or guardian's address,136
27,2021,E02002485,2021 super output areas - middle layer,152,Partner's address,17
28,2021,E02002485,2021 super output areas - middle layer,152,Other,28
29,2021,E02002485,2021 super output areas - middle layer,152,Second address type not specified,0
30,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,357
31,2021,E02002489,2021 super output areas - middle layer,152,Armed forces base address,9
32,2021,E02002489,2021 super output areas - middle layer,152,Another address when working away from home,19
33,2021,E02002489,2021 super output areas - middle layer,152,Holiday home,24
34,2021,E02002489,2021 super output areas - middle layer,152,Student's term-time address,1
35,2021,E02002489,2021 super output areas - middle layer,152,Student's home address,98
36,2021,E02002489,2021 super output areas - middle layer,152,Another parent or guardian's address,146
37,2021,E02002489,2021 super output areas - middle layer,152,Partner's address,30
38,2021,E02002489,2021 super output areas - middle layer,152,Other,30
39,2021,E02002489,2021 super output areas - middle layer,152,Second address type not specified,0
40,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,181
41,2021,E02002490,2021 super output areas - middle layer,152,Armed forces base address,0
42,2021,E02002490,2021 super output areas - middle layer,152,Another address when working away from home,27
43,2021,E02002490,2021 super output areas - middle layer,152,Holiday home,19
44,2021,E02002490,2021 super output areas - middle layer,152,Student's term-time address,1
