,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HIQUAL_8_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8176
1,2021,E02002483,2021 super output areas - middle layer,152,No qualifications,1404
2,2021,E02002483,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,669
3,2021,E02002483,2021 super output areas - middle layer,152,Level 2 qualifications,1191
4,2021,E02002483,2021 super output areas - middle layer,152,Apprenticeship,641
5,2021,E02002483,2021 super output areas - middle layer,152,Level 3 qualifications,1739
6,2021,E02002483,2021 super output areas - middle layer,152,Level 4 qualifications or above,2339
7,2021,E02002483,2021 super output areas - middle layer,152,Other qualifications,193
8,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8122
9,2021,E02002484,2021 super output areas - middle layer,152,No qualifications,2430
10,2021,E02002484,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,889
11,2021,E02002484,2021 super output areas - middle layer,152,Level 2 qualifications,1256
12,2021,E02002484,2021 super output areas - middle layer,152,Apprenticeship,510
13,2021,E02002484,2021 super output areas - middle layer,152,Level 3 qualifications,1319
14,2021,E02002484,2021 super output areas - middle layer,152,Level 4 qualifications or above,1525
15,2021,E02002484,2021 super output areas - middle layer,152,Other qualifications,193
16,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6230
17,2021,E02002485,2021 super output areas - middle layer,152,No qualifications,1735
18,2021,E02002485,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,678
19,2021,E02002485,2021 super output areas - middle layer,152,Level 2 qualifications,939
20,2021,E02002485,2021 super output areas - middle layer,152,Apprenticeship,429
21,2021,E02002485,2021 super output areas - middle layer,152,Level 3 qualifications,1131
22,2021,E02002485,2021 super output areas - middle layer,152,Level 4 qualifications or above,1175
23,2021,E02002485,2021 super output areas - middle layer,152,Other qualifications,143
24,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5762
25,2021,E02002489,2021 super output areas - middle layer,152,No qualifications,1492
26,2021,E02002489,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,647
27,2021,E02002489,2021 super output areas - middle layer,152,Level 2 qualifications,848
28,2021,E02002489,2021 super output areas - middle layer,152,Apprenticeship,323
29,2021,E02002489,2021 super output areas - middle layer,152,Level 3 qualifications,1040
30,2021,E02002489,2021 super output areas - middle layer,152,Level 4 qualifications or above,1290
31,2021,E02002489,2021 super output areas - middle layer,152,Other qualifications,122
32,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4614
33,2021,E02002490,2021 super output areas - middle layer,152,No qualifications,1285
34,2021,E02002490,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,475
35,2021,E02002490,2021 super output areas - middle layer,152,Level 2 qualifications,720
36,2021,E02002490,2021 super output areas - middle layer,152,Apprenticeship,334
37,2021,E02002490,2021 super output areas - middle layer,152,Level 3 qualifications,764
38,2021,E02002490,2021 super output areas - middle layer,152,Level 4 qualifications or above,920
39,2021,E02002490,2021 super output areas - middle layer,152,Other qualifications,116
40,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5124
41,2021,E02002491,2021 super output areas - middle layer,152,No qualifications,1428
42,2021,E02002491,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,527
43,2021,E02002491,2021 super output areas - middle layer,152,Level 2 qualifications,824
44,2021,E02002491,2021 super output areas - middle layer,152,Apprenticeship,344
45,2021,E02002491,2021 super output areas - middle layer,152,Level 3 qualifications,910
46,2021,E02002491,2021 super output areas - middle layer,152,Level 4 qualifications or above,954
47,2021,E02002491,2021 super output areas - middle layer,152,Other qualifications,137
48,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5476
49,2021,E02002492,2021 super output areas - middle layer,152,No qualifications,1371
50,2021,E02002492,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,584
51,2021,E02002492,2021 super output areas - middle layer,152,Level 2 qualifications,830
52,2021,E02002492,2021 super output areas - middle layer,152,Apprenticeship,381
53,2021,E02002492,2021 super output areas - middle layer,152,Level 3 qualifications,1039
54,2021,E02002492,2021 super output areas - middle layer,152,Level 4 qualifications or above,1132
55,2021,E02002492,2021 super output areas - middle layer,152,Other qualifications,139
56,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5687
57,2021,E02002493,2021 super output areas - middle layer,152,No qualifications,1024
58,2021,E02002493,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,427
59,2021,E02002493,2021 super output areas - middle layer,152,Level 2 qualifications,744
60,2021,E02002493,2021 super output areas - middle layer,152,Apprenticeship,468
61,2021,E02002493,2021 super output areas - middle layer,152,Level 3 qualifications,1168
62,2021,E02002493,2021 super output areas - middle layer,152,Level 4 qualifications or above,1680
63,2021,E02002493,2021 super output areas - middle layer,152,Other qualifications,176
64,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5837
65,2021,E02002494,2021 super output areas - middle layer,152,No qualifications,1724
66,2021,E02002494,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,663
67,2021,E02002494,2021 super output areas - middle layer,152,Level 2 qualifications,968
68,2021,E02002494,2021 super output areas - middle layer,152,Apprenticeship,353
69,2021,E02002494,2021 super output areas - middle layer,152,Level 3 qualifications,972
70,2021,E02002494,2021 super output areas - middle layer,152,Level 4 qualifications or above,1008
71,2021,E02002494,2021 super output areas - middle layer,152,Other qualifications,149
72,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,10826
73,2021,E02006909,2021 super output areas - middle layer,152,No qualifications,1674
74,2021,E02006909,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,791
75,2021,E02006909,2021 super output areas - middle layer,152,Level 2 qualifications,1425
76,2021,E02006909,2021 super output areas - middle layer,152,Apprenticeship,832
77,2021,E02006909,2021 super output areas - middle layer,152,Level 3 qualifications,2028
78,2021,E02006909,2021 super output areas - middle layer,152,Level 4 qualifications or above,3805
79,2021,E02006909,2021 super output areas - middle layer,152,Other qualifications,271
80,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8828
81,2021,E02007059,2021 super output areas - middle layer,152,No qualifications,1719
82,2021,E02007059,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,726
83,2021,E02007059,2021 super output areas - middle layer,152,Level 2 qualifications,1218
84,2021,E02007059,2021 super output areas - middle layer,152,Apprenticeship,590
85,2021,E02007059,2021 super output areas - middle layer,152,Level 3 qualifications,1666
86,2021,E02007059,2021 super output areas - middle layer,152,Level 4 qualifications or above,2698
87,2021,E02007059,2021 super output areas - middle layer,152,Other qualifications,211
88,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,9749
89,2021,E02002496,2021 super output areas - middle layer,152,No qualifications,2524
90,2021,E02002496,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,878
91,2021,E02002496,2021 super output areas - middle layer,152,Level 2 qualifications,1007
92,2021,E02002496,2021 super output areas - middle layer,152,Apprenticeship,323
93,2021,E02002496,2021 super output areas - middle layer,152,Level 3 qualifications,1787
94,2021,E02002496,2021 super output areas - middle layer,152,Level 4 qualifications or above,2919
95,2021,E02002496,2021 super output areas - middle layer,152,Other qualifications,311
96,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4641
97,2021,E02002497,2021 super output areas - middle layer,152,No qualifications,1561
98,2021,E02002497,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,470
99,2021,E02002497,2021 super output areas - middle layer,152,Level 2 qualifications,694
100,2021,E02002497,2021 super output areas - middle layer,152,Apprenticeship,283
101,2021,E02002497,2021 super output areas - middle layer,152,Level 3 qualifications,692
102,2021,E02002497,2021 super output areas - middle layer,152,Level 4 qualifications or above,824
103,2021,E02002497,2021 super output areas - middle layer,152,Other qualifications,117
104,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6675
105,2021,E02002498,2021 super output areas - middle layer,152,No qualifications,2168
106,2021,E02002498,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,703
107,2021,E02002498,2021 super output areas - middle layer,152,Level 2 qualifications,670
108,2021,E02002498,2021 super output areas - middle layer,152,Apprenticeship,326
109,2021,E02002498,2021 super output areas - middle layer,152,Level 3 qualifications,836
110,2021,E02002498,2021 super output areas - middle layer,152,Level 4 qualifications or above,1738
111,2021,E02002498,2021 super output areas - middle layer,152,Other qualifications,234
112,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5640
113,2021,E02002499,2021 super output areas - middle layer,152,No qualifications,1778
114,2021,E02002499,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,661
115,2021,E02002499,2021 super output areas - middle layer,152,Level 2 qualifications,919
116,2021,E02002499,2021 super output areas - middle layer,152,Apprenticeship,358
117,2021,E02002499,2021 super output areas - middle layer,152,Level 3 qualifications,900
118,2021,E02002499,2021 super output areas - middle layer,152,Level 4 qualifications or above,888
119,2021,E02002499,2021 super output areas - middle layer,152,Other qualifications,136
120,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4669
121,2021,E02002500,2021 super output areas - middle layer,152,No qualifications,1100
122,2021,E02002500,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,443
123,2021,E02002500,2021 super output areas - middle layer,152,Level 2 qualifications,586
124,2021,E02002500,2021 super output areas - middle layer,152,Apprenticeship,258
125,2021,E02002500,2021 super output areas - middle layer,152,Level 3 qualifications,829
126,2021,E02002500,2021 super output areas - middle layer,152,Level 4 qualifications or above,1341
