,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_HRP_VETERAN_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4333
1,2021,E02002483,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,264
2,2021,E02002483,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,42
3,2021,E02002483,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,8
4,2021,E02002483,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4019
5,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
6,2021,E02002484,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,229
7,2021,E02002484,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,49
8,2021,E02002484,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,9
9,2021,E02002484,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4307
10,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3534
11,2021,E02002485,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,168
12,2021,E02002485,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,37
13,2021,E02002485,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,13
14,2021,E02002485,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,3316
15,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3238
16,2021,E02002489,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,160
17,2021,E02002489,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,30
18,2021,E02002489,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,6
19,2021,E02002489,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,3042
20,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2648
21,2021,E02002490,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,141
22,2021,E02002490,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,32
23,2021,E02002490,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,8
24,2021,E02002490,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2467
25,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
26,2021,E02002491,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,194
27,2021,E02002491,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,38
28,2021,E02002491,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,6
29,2021,E02002491,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2573
30,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
31,2021,E02002492,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,183
32,2021,E02002492,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,32
33,2021,E02002492,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,16
34,2021,E02002492,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2744
35,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
36,2021,E02002493,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,198
37,2021,E02002493,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,44
38,2021,E02002493,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,8
39,2021,E02002493,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2705
40,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3386
41,2021,E02002494,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,188
42,2021,E02002494,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,29
43,2021,E02002494,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,9
44,2021,E02002494,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,3160
45,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5508
46,2021,E02006909,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,320
47,2021,E02006909,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,68
48,2021,E02006909,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,19
49,2021,E02006909,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,5101
50,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4943
51,2021,E02007059,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,278
52,2021,E02007059,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,55
53,2021,E02007059,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,20
54,2021,E02007059,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4590
55,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4460
56,2021,E02002496,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,103
57,2021,E02002496,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,37
58,2021,E02002496,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,12
59,2021,E02002496,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4308
60,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2743
61,2021,E02002497,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,97
62,2021,E02002497,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,14
63,2021,E02002497,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,9
64,2021,E02002497,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2623
65,2021,E02002498,2021 super output areas - middle layer,152,Total: All households,3642
66,2021,E02002498,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,101
67,2021,E02002498,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,18
68,2021,E02002498,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,4
69,2021,E02002498,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,3519
70,2021,E02002499,2021 super output areas - middle layer,152,Total: All households,3067
71,2021,E02002499,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,125
72,2021,E02002499,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,37
73,2021,E02002499,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,3
74,2021,E02002499,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2902
75,2021,E02002500,2021 super output areas - middle layer,152,Total: All households,2336
76,2021,E02002500,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,98
77,2021,E02002500,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,23
78,2021,E02002500,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,5
79,2021,E02002500,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2210
80,2021,E02002501,2021 super output areas - middle layer,152,Total: All households,2608
81,2021,E02002501,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,77
82,2021,E02002501,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,30
83,2021,E02002501,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,5
84,2021,E02002501,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2496
85,2021,E02002502,2021 super output areas - middle layer,152,Total: All households,4353
86,2021,E02002502,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,211
87,2021,E02002502,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,40
88,2021,E02002502,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,11
89,2021,E02002502,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4091
90,2021,E02002503,2021 super output areas - middle layer,152,Total: All households,2740
91,2021,E02002503,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,117
92,2021,E02002503,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,33
93,2021,E02002503,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,6
94,2021,E02002503,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2584
95,2021,E02002504,2021 super output areas - middle layer,152,Total: All households,3778
96,2021,E02002504,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,119
97,2021,E02002504,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,41
98,2021,E02002504,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,11
99,2021,E02002504,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,3607
100,2021,E02002505,2021 super output areas - middle layer,152,Total: All households,2644
101,2021,E02002505,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,94
102,2021,E02002505,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,29
103,2021,E02002505,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,5
104,2021,E02002505,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2516
105,2021,E02002506,2021 super output areas - middle layer,152,Total: All households,2331
106,2021,E02002506,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,88
107,2021,E02002506,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,28
108,2021,E02002506,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,3
109,2021,E02002506,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2212
110,2021,E02002507,2021 super output areas - middle layer,152,Total: All households,2557
111,2021,E02002507,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,132
112,2021,E02002507,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,39
113,2021,E02002507,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,9
114,2021,E02002507,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2377
115,2021,E02002508,2021 super output areas - middle layer,152,Total: All households,2280
116,2021,E02002508,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,142
117,2021,E02002508,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,36
118,2021,E02002508,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,9
119,2021,E02002508,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2093
120,2021,E02002509,2021 super output areas - middle layer,152,Total: All households,2253
121,2021,E02002509,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,113
122,2021,E02002509,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,31
123,2021,E02002509,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,5
124,2021,E02002509,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2104
125,2021,E02002510,2021 super output areas - middle layer,152,Total: All households,3115
126,2021,E02002510,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,158
127,2021,E02002510,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,39
128,2021,E02002510,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,14
