,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_SEXOR_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8176
1,2021,E02002483,2021 super output areas - middle layer,152,Straight or Heterosexual,7622
2,2021,E02002483,2021 super output areas - middle layer,152,Gay or Lesbian,106
3,2021,E02002483,2021 super output areas - middle layer,152,Bisexual,49
4,2021,E02002483,2021 super output areas - middle layer,152,All other sexual orientations,5
5,2021,E02002483,2021 super output areas - middle layer,152,Not answered,394
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8122
7,2021,E02002484,2021 super output areas - middle layer,152,Straight or Heterosexual,7311
8,2021,E02002484,2021 super output areas - middle layer,152,Gay or Lesbian,147
9,2021,E02002484,2021 super output areas - middle layer,152,Bisexual,99
10,2021,E02002484,2021 super output areas - middle layer,152,All other sexual orientations,13
11,2021,E02002484,2021 super output areas - middle layer,152,Not answered,552
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6227
13,2021,E02002485,2021 super output areas - middle layer,152,Straight or Heterosexual,5597
14,2021,E02002485,2021 super output areas - middle layer,152,Gay or Lesbian,103
15,2021,E02002485,2021 super output areas - middle layer,152,Bisexual,62
16,2021,E02002485,2021 super output areas - middle layer,152,All other sexual orientations,6
17,2021,E02002485,2021 super output areas - middle layer,152,Not answered,459
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5762
19,2021,E02002489,2021 super output areas - middle layer,152,Straight or Heterosexual,5059
20,2021,E02002489,2021 super output areas - middle layer,152,Gay or Lesbian,136
21,2021,E02002489,2021 super output areas - middle layer,152,Bisexual,134
22,2021,E02002489,2021 super output areas - middle layer,152,All other sexual orientations,25
23,2021,E02002489,2021 super output areas - middle layer,152,Not answered,408
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4614
25,2021,E02002490,2021 super output areas - middle layer,152,Straight or Heterosexual,4168
26,2021,E02002490,2021 super output areas - middle layer,152,Gay or Lesbian,66
27,2021,E02002490,2021 super output areas - middle layer,152,Bisexual,67
28,2021,E02002490,2021 super output areas - middle layer,152,All other sexual orientations,10
29,2021,E02002490,2021 super output areas - middle layer,152,Not answered,303
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5126
31,2021,E02002491,2021 super output areas - middle layer,152,Straight or Heterosexual,4709
32,2021,E02002491,2021 super output areas - middle layer,152,Gay or Lesbian,60
33,2021,E02002491,2021 super output areas - middle layer,152,Bisexual,46
34,2021,E02002491,2021 super output areas - middle layer,152,All other sexual orientations,9
35,2021,E02002491,2021 super output areas - middle layer,152,Not answered,302
36,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5475
37,2021,E02002492,2021 super output areas - middle layer,152,Straight or Heterosexual,4934
38,2021,E02002492,2021 super output areas - middle layer,152,Gay or Lesbian,83
39,2021,E02002492,2021 super output areas - middle layer,152,Bisexual,46
40,2021,E02002492,2021 super output areas - middle layer,152,All other sexual orientations,10
41,2021,E02002492,2021 super output areas - middle layer,152,Not answered,402
42,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5687
43,2021,E02002493,2021 super output areas - middle layer,152,Straight or Heterosexual,5254
44,2021,E02002493,2021 super output areas - middle layer,152,Gay or Lesbian,85
45,2021,E02002493,2021 super output areas - middle layer,152,Bisexual,23
46,2021,E02002493,2021 super output areas - middle layer,152,All other sexual orientations,7
47,2021,E02002493,2021 super output areas - middle layer,152,Not answered,318
48,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5839
49,2021,E02002494,2021 super output areas - middle layer,152,Straight or Heterosexual,5281
50,2021,E02002494,2021 super output areas - middle layer,152,Gay or Lesbian,87
51,2021,E02002494,2021 super output areas - middle layer,152,Bisexual,64
52,2021,E02002494,2021 super output areas - middle layer,152,All other sexual orientations,22
53,2021,E02002494,2021 super output areas - middle layer,152,Not answered,385
54,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,10826
55,2021,E02006909,2021 super output areas - middle layer,152,Straight or Heterosexual,10171
56,2021,E02006909,2021 super output areas - middle layer,152,Gay or Lesbian,86
57,2021,E02006909,2021 super output areas - middle layer,152,Bisexual,56
58,2021,E02006909,2021 super output areas - middle layer,152,All other sexual orientations,18
59,2021,E02006909,2021 super output areas - middle layer,152,Not answered,495
60,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8830
61,2021,E02007059,2021 super output areas - middle layer,152,Straight or Heterosexual,7962
62,2021,E02007059,2021 super output areas - middle layer,152,Gay or Lesbian,161
63,2021,E02007059,2021 super output areas - middle layer,152,Bisexual,138
64,2021,E02007059,2021 super output areas - middle layer,152,All other sexual orientations,34
65,2021,E02007059,2021 super output areas - middle layer,152,Not answered,535
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,9749
67,2021,E02002496,2021 super output areas - middle layer,152,Straight or Heterosexual,7992
68,2021,E02002496,2021 super output areas - middle layer,152,Gay or Lesbian,203
69,2021,E02002496,2021 super output areas - middle layer,152,Bisexual,352
70,2021,E02002496,2021 super output areas - middle layer,152,All other sexual orientations,122
71,2021,E02002496,2021 super output areas - middle layer,152,Not answered,1080
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4640
73,2021,E02002497,2021 super output areas - middle layer,152,Straight or Heterosexual,3952
74,2021,E02002497,2021 super output areas - middle layer,152,Gay or Lesbian,105
75,2021,E02002497,2021 super output areas - middle layer,152,Bisexual,79
76,2021,E02002497,2021 super output areas - middle layer,152,All other sexual orientations,22
77,2021,E02002497,2021 super output areas - middle layer,152,Not answered,482
78,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6674
79,2021,E02002498,2021 super output areas - middle layer,152,Straight or Heterosexual,5599
80,2021,E02002498,2021 super output areas - middle layer,152,Gay or Lesbian,117
81,2021,E02002498,2021 super output areas - middle layer,152,Bisexual,180
82,2021,E02002498,2021 super output areas - middle layer,152,All other sexual orientations,84
83,2021,E02002498,2021 super output areas - middle layer,152,Not answered,694
84,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5640
85,2021,E02002499,2021 super output areas - middle layer,152,Straight or Heterosexual,5098
86,2021,E02002499,2021 super output areas - middle layer,152,Gay or Lesbian,92
87,2021,E02002499,2021 super output areas - middle layer,152,Bisexual,51
88,2021,E02002499,2021 super output areas - middle layer,152,All other sexual orientations,20
89,2021,E02002499,2021 super output areas - middle layer,152,Not answered,379
90,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4669
91,2021,E02002500,2021 super output areas - middle layer,152,Straight or Heterosexual,4115
92,2021,E02002500,2021 super output areas - middle layer,152,Gay or Lesbian,99
93,2021,E02002500,2021 super output areas - middle layer,152,Bisexual,67
94,2021,E02002500,2021 super output areas - middle layer,152,All other sexual orientations,25
95,2021,E02002500,2021 super output areas - middle layer,152,Not answered,363
96,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4717
97,2021,E02002501,2021 super output areas - middle layer,152,Straight or Heterosexual,4201
98,2021,E02002501,2021 super output areas - middle layer,152,Gay or Lesbian,77
99,2021,E02002501,2021 super output areas - middle layer,152,Bisexual,55
100,2021,E02002501,2021 super output areas - middle layer,152,All other sexual orientations,8
101,2021,E02002501,2021 super output areas - middle layer,152,Not answered,376
102,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7520
103,2021,E02002502,2021 super output areas - middle layer,152,Straight or Heterosexual,6782
104,2021,E02002502,2021 super output areas - middle layer,152,Gay or Lesbian,133
105,2021,E02002502,2021 super output areas - middle layer,152,Bisexual,73
106,2021,E02002502,2021 super output areas - middle layer,152,All other sexual orientations,7
107,2021,E02002502,2021 super output areas - middle layer,152,Not answered,525
108,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5077
109,2021,E02002503,2021 super output areas - middle layer,152,Straight or Heterosexual,4596
110,2021,E02002503,2021 super output areas - middle layer,152,Gay or Lesbian,76
111,2021,E02002503,2021 super output areas - middle layer,152,Bisexual,49
112,2021,E02002503,2021 super output areas - middle layer,152,All other sexual orientations,10
113,2021,E02002503,2021 super output areas - middle layer,152,Not answered,346
114,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7702
115,2021,E02002504,2021 super output areas - middle layer,152,Straight or Heterosexual,6837
116,2021,E02002504,2021 super output areas - middle layer,152,Gay or Lesbian,120
117,2021,E02002504,2021 super output areas - middle layer,152,Bisexual,73
118,2021,E02002504,2021 super output areas - middle layer,152,All other sexual orientations,47
119,2021,E02002504,2021 super output areas - middle layer,152,Not answered,625
120,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4679
121,2021,E02002505,2021 super output areas - middle layer,152,Straight or Heterosexual,4253
122,2021,E02002505,2021 super output areas - middle layer,152,Gay or Lesbian,65
123,2021,E02002505,2021 super output areas - middle layer,152,Bisexual,46
124,2021,E02002505,2021 super output areas - middle layer,152,All other sexual orientations,9
125,2021,E02002505,2021 super output areas - middle layer,152,Not answered,306
126,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4404
127,2021,E02002506,2021 super output areas - middle layer,152,Straight or Heterosexual,3807
128,2021,E02002506,2021 super output areas - middle layer,152,Gay or Lesbian,90
129,2021,E02002506,2021 super output areas - middle layer,152,Bisexual,70
130,2021,E02002506,2021 super output areas - middle layer,152,All other sexual orientations,9
131,2021,E02002506,2021 super output areas - middle layer,152,Not answered,428
132,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5060
133,2021,E02002507,2021 super output areas - middle layer,152,Straight or Heterosexual,4688
134,2021,E02002507,2021 super output areas - middle layer,152,Gay or Lesbian,52
135,2021,E02002507,2021 super output areas - middle layer,152,Bisexual,32
136,2021,E02002507,2021 super output areas - middle layer,152,All other sexual orientations,7
137,2021,E02002507,2021 super output areas - middle layer,152,Not answered,281
138,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4470
139,2021,E02002508,2021 super output areas - middle layer,152,Straight or Heterosexual,4093
140,2021,E02002508,2021 super output areas - middle layer,152,Gay or Lesbian,55
141,2021,E02002508,2021 super output areas - middle layer,152,Bisexual,34
142,2021,E02002508,2021 super output areas - middle layer,152,All other sexual orientations,6
143,2021,E02002508,2021 super output areas - middle layer,152,Not answered,282
144,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4119
145,2021,E02002509,2021 super output areas - middle layer,152,Straight or Heterosexual,3748
146,2021,E02002509,2021 super output areas - middle layer,152,Gay or Lesbian,61
147,2021,E02002509,2021 super output areas - middle layer,152,Bisexual,27
148,2021,E02002509,2021 super output areas - middle layer,152,All other sexual orientations,5
149,2021,E02002509,2021 super output areas - middle layer,152,Not answered,278
150,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5856
151,2021,E02002510,2021 super output areas - middle layer,152,Straight or Heterosexual,5441
152,2021,E02002510,2021 super output areas - middle layer,152,Gay or Lesbian,84
153,2021,E02002510,2021 super output areas - middle layer,152,Bisexual,32
154,2021,E02002510,2021 super output areas - middle layer,152,All other sexual orientations,8
155,2021,E02002510,2021 super output areas - middle layer,152,Not answered,291
156,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4470
157,2021,E02002512,2021 super output areas - middle layer,152,Straight or Heterosexual,4187
158,2021,E02002512,2021 super output areas - middle layer,152,Gay or Lesbian,27
159,2021,E02002512,2021 super output areas - middle layer,152,Bisexual,12
160,2021,E02002512,2021 super output areas - middle layer,152,All other sexual orientations,6
161,2021,E02002512,2021 super output areas - middle layer,152,Not answered,238
162,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8250
163,2021,E02002513,2021 super output areas - middle layer,152,Straight or Heterosexual,7633
164,2021,E02002513,2021 super output areas - middle layer,152,Gay or Lesbian,130
165,2021,E02002513,2021 super output areas - middle layer,152,Bisexual,61
166,2021,E02002513,2021 super output areas - middle layer,152,All other sexual orientations,12
167,2021,E02002513,2021 super output areas - middle layer,152,Not answered,414
168,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6942
169,2021,E02002514,2021 super output areas - middle layer,152,Straight or Heterosexual,6342
170,2021,E02002514,2021 super output areas - middle layer,152,Gay or Lesbian,95
171,2021,E02002514,2021 super output areas - middle layer,152,Bisexual,46
172,2021,E02002514,2021 super output areas - middle layer,152,All other sexual orientations,12
173,2021,E02002514,2021 super output areas - middle layer,152,Not answered,447
174,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,9295
175,2021,E02006811,2021 super output areas - middle layer,152,Straight or Heterosexual,8663
176,2021,E02006811,2021 super output areas - middle layer,152,Gay or Lesbian,107
