,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,E02004605,2001 super output areas - middle layer,305,Median Age,37.0
1,2001,E02004606,2001 super output areas - middle layer,305,All usual residents,8832.0
2,2001,E02004606,2001 super output areas - middle layer,305,Age 0 to 4,523.0
3,2001,E02004606,2001 super output areas - middle layer,305,Age 5 to 7,295.0
4,2001,E02004606,2001 super output areas - middle layer,305,Age 8 to 9,196.0
5,2001,E02004606,2001 super output areas - middle layer,305,Age 10 to 14,543.0
6,2001,E02004606,2001 super output areas - middle layer,305,Age 15,94.0
7,2001,E02004606,2001 super output areas - middle layer,305,Age 16 to 17,194.0
8,2001,E02004606,2001 super output areas - middle layer,305,Age 18 to 19,227.0
9,2001,E02004606,2001 super output areas - middle layer,305,Age 20 to 24,862.0
10,2001,E02004606,2001 super output areas - middle layer,305,Age 25 to 29,705.0
11,2001,E02004606,2001 super output areas - middle layer,305,Age 30 to 44,2022.0
12,2001,E02004606,2001 super output areas - middle layer,305,Age 45 to 59,1466.0
13,2001,E02004606,2001 super output areas - middle layer,305,Age 60 to 64,352.0
14,2001,E02004606,2001 super output areas - middle layer,305,Age 65 to 74,639.0
15,2001,E02004606,2001 super output areas - middle layer,305,Age 75 to 84,511.0
16,2001,E02004606,2001 super output areas - middle layer,305,Age 85 to 89,134.0
17,2001,E02004606,2001 super output areas - middle layer,305,Age 90 and over,69.0
18,2001,E02004606,2001 super output areas - middle layer,305,Mean Age,37.55
19,2001,E02004606,2001 super output areas - middle layer,305,Median Age,35.0
20,2001,E02004607,2001 super output areas - middle layer,305,All usual residents,9216.0
21,2001,E02004607,2001 super output areas - middle layer,305,Age 0 to 4,458.0
22,2001,E02004607,2001 super output areas - middle layer,305,Age 5 to 7,223.0
23,2001,E02004607,2001 super output areas - middle layer,305,Age 8 to 9,142.0
24,2001,E02004607,2001 super output areas - middle layer,305,Age 10 to 14,328.0
25,2001,E02004607,2001 super output areas - middle layer,305,Age 15,70.0
26,2001,E02004607,2001 super output areas - middle layer,305,Age 16 to 17,133.0
27,2001,E02004607,2001 super output areas - middle layer,305,Age 18 to 19,216.0
28,2001,E02004607,2001 super output areas - middle layer,305,Age 20 to 24,1066.0
29,2001,E02004607,2001 super output areas - middle layer,305,Age 25 to 29,1101.0
30,2001,E02004607,2001 super output areas - middle layer,305,Age 30 to 44,2393.0
31,2001,E02004607,2001 super output areas - middle layer,305,Age 45 to 59,1397.0
32,2001,E02004607,2001 super output areas - middle layer,305,Age 60 to 64,326.0
33,2001,E02004607,2001 super output areas - middle layer,305,Age 65 to 74,609.0
34,2001,E02004607,2001 super output areas - middle layer,305,Age 75 to 84,535.0
35,2001,E02004607,2001 super output areas - middle layer,305,Age 85 to 89,138.0
36,2001,E02004607,2001 super output areas - middle layer,305,Age 90 and over,81.0
37,2001,E02004607,2001 super output areas - middle layer,305,Mean Age,37.96
38,2001,E02004607,2001 super output areas - middle layer,305,Median Age,34.0
39,2001,E02004608,2001 super output areas - middle layer,305,All usual residents,9421.0
40,2001,E02004608,2001 super output areas - middle layer,305,Age 0 to 4,350.0
41,2001,E02004608,2001 super output areas - middle layer,305,Age 5 to 7,139.0
42,2001,E02004608,2001 super output areas - middle layer,305,Age 8 to 9,87.0
43,2001,E02004608,2001 super output areas - middle layer,305,Age 10 to 14,521.0
44,2001,E02004608,2001 super output areas - middle layer,305,Age 15,174.0
45,2001,E02004608,2001 super output areas - middle layer,305,Age 16 to 17,418.0
46,2001,E02004608,2001 super output areas - middle layer,305,Age 18 to 19,348.0
47,2001,E02004608,2001 super output areas - middle layer,305,Age 20 to 24,1007.0
48,2001,E02004608,2001 super output areas - middle layer,305,Age 25 to 29,1183.0
49,2001,E02004608,2001 super output areas - middle layer,305,Age 30 to 44,1948.0
50,2001,E02004608,2001 super output areas - middle layer,305,Age 45 to 59,1287.0
51,2001,E02004608,2001 super output areas - middle layer,305,Age 60 to 64,268.0
52,2001,E02004608,2001 super output areas - middle layer,305,Age 65 to 74,637.0
53,2001,E02004608,2001 super output areas - middle layer,305,Age 75 to 84,664.0
54,2001,E02004608,2001 super output areas - middle layer,305,Age 85 to 89,228.0
55,2001,E02004608,2001 super output areas - middle layer,305,Age 90 and over,162.0
56,2001,E02004608,2001 super output areas - middle layer,305,Mean Age,38.57
57,2001,E02004608,2001 super output areas - middle layer,305,Median Age,32.0
58,2001,E02004609,2001 super output areas - middle layer,305,All usual residents,6501.0
