,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All people,6302
1,2001,E02002559,2001 super output areas - middle layer,305,England,5943
2,2001,E02002559,2001 super output areas - middle layer,305,Scotland,124
3,2001,E02002559,2001 super output areas - middle layer,305,Wales,48
4,2001,E02002559,2001 super output areas - middle layer,305,Northern Ireland,19
5,2001,E02002559,2001 super output areas - middle layer,305,Republic of Ireland,16
6,2001,E02002559,2001 super output areas - middle layer,305,Other EU countries,49
7,2001,E02002559,2001 super output areas - middle layer,305,Elsewhere,103
8,2001,E02002560,2001 super output areas - middle layer,305,All people,5894
9,2001,E02002560,2001 super output areas - middle layer,305,England,5543
10,2001,E02002560,2001 super output areas - middle layer,305,Scotland,126
11,2001,E02002560,2001 super output areas - middle layer,305,Wales,33
12,2001,E02002560,2001 super output areas - middle layer,305,Northern Ireland,26
13,2001,E02002560,2001 super output areas - middle layer,305,Republic of Ireland,13
14,2001,E02002560,2001 super output areas - middle layer,305,Other EU countries,51
15,2001,E02002560,2001 super output areas - middle layer,305,Elsewhere,102
16,2001,E02002561,2001 super output areas - middle layer,305,All people,5996
17,2001,E02002561,2001 super output areas - middle layer,305,England,5584
18,2001,E02002561,2001 super output areas - middle layer,305,Scotland,151
19,2001,E02002561,2001 super output areas - middle layer,305,Wales,38
20,2001,E02002561,2001 super output areas - middle layer,305,Northern Ireland,29
21,2001,E02002561,2001 super output areas - middle layer,305,Republic of Ireland,13
22,2001,E02002561,2001 super output areas - middle layer,305,Other EU countries,54
23,2001,E02002561,2001 super output areas - middle layer,305,Elsewhere,127
24,2001,E02002562,2001 super output areas - middle layer,305,All people,6054
25,2001,E02002562,2001 super output areas - middle layer,305,England,5689
26,2001,E02002562,2001 super output areas - middle layer,305,Scotland,123
27,2001,E02002562,2001 super output areas - middle layer,305,Wales,49
28,2001,E02002562,2001 super output areas - middle layer,305,Northern Ireland,33
29,2001,E02002562,2001 super output areas - middle layer,305,Republic of Ireland,19
30,2001,E02002562,2001 super output areas - middle layer,305,Other EU countries,48
31,2001,E02002562,2001 super output areas - middle layer,305,Elsewhere,93
32,2001,E02002563,2001 super output areas - middle layer,305,All people,5570
33,2001,E02002563,2001 super output areas - middle layer,305,England,5216
34,2001,E02002563,2001 super output areas - middle layer,305,Scotland,139
35,2001,E02002563,2001 super output areas - middle layer,305,Wales,28
36,2001,E02002563,2001 super output areas - middle layer,305,Northern Ireland,31
37,2001,E02002563,2001 super output areas - middle layer,305,Republic of Ireland,22
38,2001,E02002563,2001 super output areas - middle layer,305,Other EU countries,67
39,2001,E02002563,2001 super output areas - middle layer,305,Elsewhere,67
40,2001,E02002564,2001 super output areas - middle layer,305,All people,9261
41,2001,E02002564,2001 super output areas - middle layer,305,England,8727
42,2001,E02002564,2001 super output areas - middle layer,305,Scotland,209
43,2001,E02002564,2001 super output areas - middle layer,305,Wales,53
44,2001,E02002564,2001 super output areas - middle layer,305,Northern Ireland,52
45,2001,E02002564,2001 super output areas - middle layer,305,Republic of Ireland,13
46,2001,E02002564,2001 super output areas - middle layer,305,Other EU countries,96
47,2001,E02002564,2001 super output areas - middle layer,305,Elsewhere,111
48,2001,E02002565,2001 super output areas - middle layer,305,All people,5534
49,2001,E02002565,2001 super output areas - middle layer,305,England,5228
50,2001,E02002565,2001 super output areas - middle layer,305,Scotland,128
51,2001,E02002565,2001 super output areas - middle layer,305,Wales,24
