,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_ETHPUK11_NAME,OBS_VALUE
0,2001,E02003734,2001 super output areas - middle layer,305,White: British,8185
1,2001,E02003734,2001 super output areas - middle layer,305,White: Irish,55
2,2001,E02003734,2001 super output areas - middle layer,305,White: Other,473
3,2001,E02003734,2001 super output areas - middle layer,305,Mixed,82
4,2001,E02003734,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,13
5,2001,E02003734,2001 super output areas - middle layer,305,Mixed: White and Black African,11
6,2001,E02003734,2001 super output areas - middle layer,305,Mixed: White and Asian,23
7,2001,E02003734,2001 super output areas - middle layer,305,Mixed: Other,35
8,2001,E02003734,2001 super output areas - middle layer,305,Asian/Asian British,65
9,2001,E02003734,2001 super output areas - middle layer,305,Asian/Asian British: Indian,32
10,2001,E02003734,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,7
11,2001,E02003734,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,23
12,2001,E02003734,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
13,2001,E02003734,2001 super output areas - middle layer,305,Black/Black British,35
14,2001,E02003734,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,10
15,2001,E02003734,2001 super output areas - middle layer,305,Black/Black British: Black African,8
16,2001,E02003734,2001 super output areas - middle layer,305,Black/Black British: Other,17
17,2001,E02003734,2001 super output areas - middle layer,305,Chinese/Other,61
18,2001,E02003734,2001 super output areas - middle layer,305,Chinese/Other: Chinese,30
19,2001,E02003734,2001 super output areas - middle layer,305,Chinese/Other: Other,31
20,2001,E02003735,2001 super output areas - middle layer,305,All categories: Ethnic group,6147
21,2001,E02003735,2001 super output areas - middle layer,305,White,5820
22,2001,E02003735,2001 super output areas - middle layer,305,White: British,5383
23,2001,E02003735,2001 super output areas - middle layer,305,White: Irish,51
24,2001,E02003735,2001 super output areas - middle layer,305,White: Other,386
25,2001,E02003735,2001 super output areas - middle layer,305,Mixed,65
26,2001,E02003735,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,12
27,2001,E02003735,2001 super output areas - middle layer,305,Mixed: White and Black African,6
28,2001,E02003735,2001 super output areas - middle layer,305,Mixed: White and Asian,15
29,2001,E02003735,2001 super output areas - middle layer,305,Mixed: Other,32
30,2001,E02003735,2001 super output areas - middle layer,305,Asian/Asian British,48
31,2001,E02003735,2001 super output areas - middle layer,305,Asian/Asian British: Indian,28
32,2001,E02003735,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,10
33,2001,E02003735,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,6
34,2001,E02003735,2001 super output areas - middle layer,305,Asian/Asian British: Other,4
35,2001,E02003735,2001 super output areas - middle layer,305,Black/Black British,31
36,2001,E02003735,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,7
37,2001,E02003735,2001 super output areas - middle layer,305,Black/Black British: Black African,4
38,2001,E02003735,2001 super output areas - middle layer,305,Black/Black British: Other,20
39,2001,E02003735,2001 super output areas - middle layer,305,Chinese/Other,183
40,2001,E02003735,2001 super output areas - middle layer,305,Chinese/Other: Chinese,137
41,2001,E02003735,2001 super output areas - middle layer,305,Chinese/Other: Other,46
42,2001,E02003736,2001 super output areas - middle layer,305,All categories: Ethnic group,9341
43,2001,E02003736,2001 super output areas - middle layer,305,White,9202
44,2001,E02003736,2001 super output areas - middle layer,305,White: British,8947
45,2001,E02003736,2001 super output areas - middle layer,305,White: Irish,59
46,2001,E02003736,2001 super output areas - middle layer,305,White: Other,196
47,2001,E02003736,2001 super output areas - middle layer,305,Mixed,52
48,2001,E02003736,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,7
49,2001,E02003736,2001 super output areas - middle layer,305,Mixed: White and Black African,3
50,2001,E02003736,2001 super output areas - middle layer,305,Mixed: White and Asian,28
51,2001,E02003736,2001 super output areas - middle layer,305,Mixed: Other,14
52,2001,E02003736,2001 super output areas - middle layer,305,Asian/Asian British,38
53,2001,E02003736,2001 super output areas - middle layer,305,Asian/Asian British: Indian,23
54,2001,E02003736,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,6
55,2001,E02003736,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
56,2001,E02003736,2001 super output areas - middle layer,305,Asian/Asian British: Other,9
57,2001,E02003736,2001 super output areas - middle layer,305,Black/Black British,22
58,2001,E02003736,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,7
59,2001,E02003736,2001 super output areas - middle layer,305,Black/Black British: Black African,10
60,2001,E02003736,2001 super output areas - middle layer,305,Black/Black British: Other,5
61,2001,E02003736,2001 super output areas - middle layer,305,Chinese/Other,27
62,2001,E02003736,2001 super output areas - middle layer,305,Chinese/Other: Chinese,22
63,2001,E02003736,2001 super output areas - middle layer,305,Chinese/Other: Other,5
64,2001,E02003737,2001 super output areas - middle layer,305,All categories: Ethnic group,9938
65,2001,E02003737,2001 super output areas - middle layer,305,White,9800
66,2001,E02003737,2001 super output areas - middle layer,305,White: British,9449
67,2001,E02003737,2001 super output areas - middle layer,305,White: Irish,47
68,2001,E02003737,2001 super output areas - middle layer,305,White: Other,304
69,2001,E02003737,2001 super output areas - middle layer,305,Mixed,56
70,2001,E02003737,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,17
71,2001,E02003737,2001 super output areas - middle layer,305,Mixed: White and Black African,7
72,2001,E02003737,2001 super output areas - middle layer,305,Mixed: White and Asian,14
73,2001,E02003737,2001 super output areas - middle layer,305,Mixed: Other,18
74,2001,E02003737,2001 super output areas - middle layer,305,Asian/Asian British,24
75,2001,E02003737,2001 super output areas - middle layer,305,Asian/Asian British: Indian,17
76,2001,E02003737,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,4
77,2001,E02003737,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
78,2001,E02003737,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
79,2001,E02003737,2001 super output areas - middle layer,305,Black/Black British,24
80,2001,E02003737,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,14
81,2001,E02003737,2001 super output areas - middle layer,305,Black/Black British: Black African,3
82,2001,E02003737,2001 super output areas - middle layer,305,Black/Black British: Other,7
83,2001,E02003737,2001 super output areas - middle layer,305,Chinese/Other,34
84,2001,E02003737,2001 super output areas - middle layer,305,Chinese/Other: Chinese,23
85,2001,E02003737,2001 super output areas - middle layer,305,Chinese/Other: Other,11
86,2001,E02003738,2001 super output areas - middle layer,305,All categories: Ethnic group,6082
87,2001,E02003738,2001 super output areas - middle layer,305,White,5982
88,2001,E02003738,2001 super output areas - middle layer,305,White: British,5644
89,2001,E02003738,2001 super output areas - middle layer,305,White: Irish,40
90,2001,E02003738,2001 super output areas - middle layer,305,White: Other,298
91,2001,E02003738,2001 super output areas - middle layer,305,Mixed,34
92,2001,E02003738,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,3
93,2001,E02003738,2001 super output areas - middle layer,305,Mixed: White and Black African,4
94,2001,E02003738,2001 super output areas - middle layer,305,Mixed: White and Asian,7
95,2001,E02003738,2001 super output areas - middle layer,305,Mixed: Other,20
96,2001,E02003738,2001 super output areas - middle layer,305,Asian/Asian British,20
97,2001,E02003738,2001 super output areas - middle layer,305,Asian/Asian British: Indian,13
98,2001,E02003738,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,7
99,2001,E02003738,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
100,2001,E02003738,2001 super output areas - middle layer,305,Asian/Asian British: Other,0
101,2001,E02003738,2001 super output areas - middle layer,305,Black/Black British,24
102,2001,E02003738,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,12
103,2001,E02003738,2001 super output areas - middle layer,305,Black/Black British: Black African,5
104,2001,E02003738,2001 super output areas - middle layer,305,Black/Black British: Other,7
105,2001,E02003738,2001 super output areas - middle layer,305,Chinese/Other,22
106,2001,E02003738,2001 super output areas - middle layer,305,Chinese/Other: Chinese,7
107,2001,E02003738,2001 super output areas - middle layer,305,Chinese/Other: Other,15
108,2001,E02003739,2001 super output areas - middle layer,305,All categories: Ethnic group,5831
109,2001,E02003739,2001 super output areas - middle layer,305,White,5724
110,2001,E02003739,2001 super output areas - middle layer,305,White: British,5540
111,2001,E02003739,2001 super output areas - middle layer,305,White: Irish,43
112,2001,E02003739,2001 super output areas - middle layer,305,White: Other,141
113,2001,E02003739,2001 super output areas - middle layer,305,Mixed,37
114,2001,E02003739,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,9
115,2001,E02003739,2001 super output areas - middle layer,305,Mixed: White and Black African,0
116,2001,E02003739,2001 super output areas - middle layer,305,Mixed: White and Asian,6
117,2001,E02003739,2001 super output areas - middle layer,305,Mixed: Other,22
118,2001,E02003739,2001 super output areas - middle layer,305,Asian/Asian British,27
119,2001,E02003739,2001 super output areas - middle layer,305,Asian/Asian British: Indian,15
120,2001,E02003739,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,3
121,2001,E02003739,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
122,2001,E02003739,2001 super output areas - middle layer,305,Asian/Asian British: Other,9
123,2001,E02003739,2001 super output areas - middle layer,305,Black/Black British,15
124,2001,E02003739,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,5
125,2001,E02003739,2001 super output areas - middle layer,305,Black/Black British: Black African,5
126,2001,E02003739,2001 super output areas - middle layer,305,Black/Black British: Other,5
127,2001,E02003739,2001 super output areas - middle layer,305,Chinese/Other,28
128,2001,E02003739,2001 super output areas - middle layer,305,Chinese/Other: Chinese,19
129,2001,E02003739,2001 super output areas - middle layer,305,Chinese/Other: Other,9
130,2001,E02003740,2001 super output areas - middle layer,305,All categories: Ethnic group,5780
131,2001,E02003740,2001 super output areas - middle layer,305,White,5660
132,2001,E02003740,2001 super output areas - middle layer,305,White: British,5433
133,2001,E02003740,2001 super output areas - middle layer,305,White: Irish,52
134,2001,E02003740,2001 super output areas - middle layer,305,White: Other,175
135,2001,E02003740,2001 super output areas - middle layer,305,Mixed,32
136,2001,E02003740,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,7
137,2001,E02003740,2001 super output areas - middle layer,305,Mixed: White and Black African,3
138,2001,E02003740,2001 super output areas - middle layer,305,Mixed: White and Asian,14
139,2001,E02003740,2001 super output areas - middle layer,305,Mixed: Other,8
140,2001,E02003740,2001 super output areas - middle layer,305,Asian/Asian British,33
141,2001,E02003740,2001 super output areas - middle layer,305,Asian/Asian British: Indian,25
142,2001,E02003740,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,4
143,2001,E02003740,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
144,2001,E02003740,2001 super output areas - middle layer,305,Asian/Asian British: Other,4
145,2001,E02003740,2001 super output areas - middle layer,305,Black/Black British,28
146,2001,E02003740,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,3
147,2001,E02003740,2001 super output areas - middle layer,305,Black/Black British: Black African,22
148,2001,E02003740,2001 super output areas - middle layer,305,Black/Black British: Other,3
149,2001,E02003740,2001 super output areas - middle layer,305,Chinese/Other,27
150,2001,E02003740,2001 super output areas - middle layer,305,Chinese/Other: Chinese,12
151,2001,E02003740,2001 super output areas - middle layer,305,Chinese/Other: Other,15
152,2001,E02003741,2001 super output areas - middle layer,305,All categories: Ethnic group,6072
153,2001,E02003741,2001 super output areas - middle layer,305,White,5990
154,2001,E02003741,2001 super output areas - middle layer,305,White: British,5706
155,2001,E02003741,2001 super output areas - middle layer,305,White: Irish,92
156,2001,E02003741,2001 super output areas - middle layer,305,White: Other,192
157,2001,E02003741,2001 super output areas - middle layer,305,Mixed,46
158,2001,E02003741,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,4
159,2001,E02003741,2001 super output areas - middle layer,305,Mixed: White and Black African,3
160,2001,E02003741,2001 super output areas - middle layer,305,Mixed: White and Asian,19
161,2001,E02003741,2001 super output areas - middle layer,305,Mixed: Other,20
162,2001,E02003741,2001 super output areas - middle layer,305,Asian/Asian British,12
163,2001,E02003741,2001 super output areas - middle layer,305,Asian/Asian British: Indian,9
164,2001,E02003741,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,0
165,2001,E02003741,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
166,2001,E02003741,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
167,2001,E02003741,2001 super output areas - middle layer,305,Black/Black British,9
168,2001,E02003741,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,3
169,2001,E02003741,2001 super output areas - middle layer,305,Black/Black British: Black African,3
170,2001,E02003741,2001 super output areas - middle layer,305,Black/Black British: Other,3
171,2001,E02003741,2001 super output areas - middle layer,305,Chinese/Other,15
172,2001,E02003741,2001 super output areas - middle layer,305,Chinese/Other: Chinese,7
173,2001,E02003741,2001 super output areas - middle layer,305,Chinese/Other: Other,8
174,2001,E02003742,2001 super output areas - middle layer,305,All categories: Ethnic group,5631
175,2001,E02003742,2001 super output areas - middle layer,305,White,5568
176,2001,E02003742,2001 super output areas - middle layer,305,White: British,5492
177,2001,E02003742,2001 super output areas - middle layer,305,White: Irish,23
178,2001,E02003742,2001 super output areas - middle layer,305,White: Other,53
179,2001,E02003742,2001 super output areas - middle layer,305,Mixed,33
180,2001,E02003742,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,7
181,2001,E02003742,2001 super output areas - middle layer,305,Mixed: White and Black African,4
182,2001,E02003742,2001 super output areas - middle layer,305,Mixed: White and Asian,13
183,2001,E02003742,2001 super output areas - middle layer,305,Mixed: Other,9
184,2001,E02003742,2001 super output areas - middle layer,305,Asian/Asian British,17
185,2001,E02003742,2001 super output areas - middle layer,305,Asian/Asian British: Indian,11
186,2001,E02003742,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,3
187,2001,E02003742,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
188,2001,E02003742,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
189,2001,E02003742,2001 super output areas - middle layer,305,Black/Black British,3
190,2001,E02003742,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,0
191,2001,E02003742,2001 super output areas - middle layer,305,Black/Black British: Black African,3
192,2001,E02003742,2001 super output areas - middle layer,305,Black/Black British: Other,0
193,2001,E02003742,2001 super output areas - middle layer,305,Chinese/Other,10
194,2001,E02003742,2001 super output areas - middle layer,305,Chinese/Other: Chinese,5
195,2001,E02003742,2001 super output areas - middle layer,305,Chinese/Other: Other,5
196,2001,E02003743,2001 super output areas - middle layer,305,All categories: Ethnic group,9219
197,2001,E02003743,2001 super output areas - middle layer,305,White,9069
198,2001,E02003743,2001 super output areas - middle layer,305,White: British,8896
199,2001,E02003743,2001 super output areas - middle layer,305,White: Irish,40
200,2001,E02003743,2001 super output areas - middle layer,305,White: Other,133
201,2001,E02003743,2001 super output areas - middle layer,305,Mixed,62
