,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_CARER_NAME,OBS_VALUE
0,2001,E02003496,2001 super output areas - middle layer,305,All people,7396
1,2001,E02003496,2001 super output areas - middle layer,305,People with limiting long-term illness,1555
2,2001,E02003496,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,640
3,2001,E02003496,2001 super output areas - middle layer,305,People whose health was good,4828
4,2001,E02003496,2001 super output areas - middle layer,305,People whose health was fairly good,1855
5,2001,E02003496,2001 super output areas - middle layer,305,People whose health was not good,713
6,2001,E02003496,2001 super output areas - middle layer,305,All people who provide unpaid care,797
7,2001,E02003496,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,541
8,2001,E02003496,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,70
9,2001,E02003496,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,186
10,2001,E02003497,2001 super output areas - middle layer,305,All people,6976
11,2001,E02003497,2001 super output areas - middle layer,305,People with limiting long-term illness,1022
12,2001,E02003497,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,340
13,2001,E02003497,2001 super output areas - middle layer,305,People whose health was good,5262
14,2001,E02003497,2001 super output areas - middle layer,305,People whose health was fairly good,1222
15,2001,E02003497,2001 super output areas - middle layer,305,People whose health was not good,492
16,2001,E02003497,2001 super output areas - middle layer,305,All people who provide unpaid care,712
17,2001,E02003497,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,553
18,2001,E02003497,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,60
19,2001,E02003497,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,99
20,2001,E02003498,2001 super output areas - middle layer,305,All people,7459
21,2001,E02003498,2001 super output areas - middle layer,305,People with limiting long-term illness,1694
22,2001,E02003498,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,862
23,2001,E02003498,2001 super output areas - middle layer,305,People whose health was good,4637
24,2001,E02003498,2001 super output areas - middle layer,305,People whose health was fairly good,1966
25,2001,E02003498,2001 super output areas - middle layer,305,People whose health was not good,856
26,2001,E02003498,2001 super output areas - middle layer,305,All people who provide unpaid care,709
27,2001,E02003498,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,423
28,2001,E02003498,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,91
29,2001,E02003498,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,195
30,2001,E02003499,2001 super output areas - middle layer,305,All people,7727
31,2001,E02003499,2001 super output areas - middle layer,305,People with limiting long-term illness,1531
32,2001,E02003499,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,756
33,2001,E02003499,2001 super output areas - middle layer,305,People whose health was good,5046
34,2001,E02003499,2001 super output areas - middle layer,305,People whose health was fairly good,1913
35,2001,E02003499,2001 super output areas - middle layer,305,People whose health was not good,768
36,2001,E02003499,2001 super output areas - middle layer,305,All people who provide unpaid care,747
37,2001,E02003499,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,424
