,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,E02006488,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,22
1,2001,E02006488,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,8
2,2001,E02006488,2001 super output areas - middle layer,305,Unemployed: Never worked,4
3,2001,E02006488,2001 super output areas - middle layer,305,Long-term unemployed,13
4,2001,E02006489,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,2511
5,2001,E02006489,2001 super output areas - middle layer,305,Economically active,1939
6,2001,E02006489,2001 super output areas - middle layer,305,Economically active: In employment,1778
7,2001,E02006489,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,60
8,2001,E02006489,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1507
9,2001,E02006489,2001 super output areas - middle layer,305,Economically active: Self-employed,211
10,2001,E02006489,2001 super output areas - middle layer,305,Economically active: Unemployed,103
11,2001,E02006489,2001 super output areas - middle layer,305,Economically active: Full-time student,58
12,2001,E02006489,2001 super output areas - middle layer,305,Economically Inactive,572
13,2001,E02006489,2001 super output areas - middle layer,305,Economically inactive: Retired,216
14,2001,E02006489,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),91
15,2001,E02006489,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,21
16,2001,E02006489,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,175
17,2001,E02006489,2001 super output areas - middle layer,305,Economically inactive: Other,69
18,2001,E02006489,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,31
19,2001,E02006489,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,12
20,2001,E02006489,2001 super output areas - middle layer,305,Unemployed: Never worked,6
21,2001,E02006489,2001 super output areas - middle layer,305,Long-term unemployed,26
22,2001,E02006490,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,2237
23,2001,E02006490,2001 super output areas - middle layer,305,Economically active,1656
24,2001,E02006490,2001 super output areas - middle layer,305,Economically active: In employment,1546
25,2001,E02006490,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,51
26,2001,E02006490,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1332
27,2001,E02006490,2001 super output areas - middle layer,305,Economically active: Self-employed,163
28,2001,E02006490,2001 super output areas - middle layer,305,Economically active: Unemployed,74
29,2001,E02006490,2001 super output areas - middle layer,305,Economically active: Full-time student,36
30,2001,E02006490,2001 super output areas - middle layer,305,Economically Inactive,581
31,2001,E02006490,2001 super output areas - middle layer,305,Economically inactive: Retired,299
32,2001,E02006490,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),42
33,2001,E02006490,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,25
34,2001,E02006490,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,172
35,2001,E02006490,2001 super output areas - middle layer,305,Economically inactive: Other,43
36,2001,E02006490,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,19
37,2001,E02006490,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,12
38,2001,E02006490,2001 super output areas - middle layer,305,Unemployed: Never worked,3
39,2001,E02006490,2001 super output areas - middle layer,305,Long-term unemployed,19
40,2001,E02006491,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,2635
41,2001,E02006491,2001 super output areas - middle layer,305,Economically active,1927
42,2001,E02006491,2001 super output areas - middle layer,305,Economically active: In employment,1768
43,2001,E02006491,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,73
44,2001,E02006491,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1467
45,2001,E02006491,2001 super output areas - middle layer,305,Economically active: Self-employed,228
46,2001,E02006491,2001 super output areas - middle layer,305,Economically active: Unemployed,103
47,2001,E02006491,2001 super output areas - middle layer,305,Economically active: Full-time student,56
48,2001,E02006491,2001 super output areas - middle layer,305,Economically Inactive,708
49,2001,E02006491,2001 super output areas - middle layer,305,Economically inactive: Retired,379
50,2001,E02006491,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),49
