,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,W02000055,2001 super output areas - middle layer,305,Economically Inactive,751
1,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Retired,381
2,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),83
3,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,152
4,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,84
5,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Other,51
6,2001,W02000055,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,7
7,2001,W02000055,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,4
8,2001,W02000055,2001 super output areas - middle layer,305,Unemployed: Never worked,3
9,2001,W02000055,2001 super output areas - middle layer,305,Long-term unemployed,15
10,2001,W02000056,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,1861
11,2001,W02000056,2001 super output areas - middle layer,305,Economically active,1158
12,2001,W02000056,2001 super output areas - middle layer,305,Economically active: In employment,1080
13,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,355
14,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,533
15,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Self-employed,192
16,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Unemployed,41
17,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Full-time student,37
18,2001,W02000056,2001 super output areas - middle layer,305,Economically Inactive,703
19,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Retired,292
20,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),73
21,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,209
22,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,82
23,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Other,47
24,2001,W02000056,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,11
25,2001,W02000056,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,10
26,2001,W02000056,2001 super output areas - middle layer,305,Unemployed: Never worked,3
27,2001,W02000056,2001 super output areas - middle layer,305,Long-term unemployed,12
28,2001,W02000057,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,2156
29,2001,W02000057,2001 super output areas - middle layer,305,Economically active,1271
