,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_OCCPUK11_2_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All categories: Occupation,1815
1,2001,E02002559,2001 super output areas - middle layer,305,1. Managers and senior officials,433
2,2001,E02002559,2001 super output areas - middle layer,305,2. Professional occupations,260
3,2001,E02002559,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,251
4,2001,E02002559,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,64
5,2001,E02002559,2001 super output areas - middle layer,305,5. Skilled trades occupations,392
6,2001,E02002559,2001 super output areas - middle layer,305,6. Personal service occupations,20
7,2001,E02002559,2001 super output areas - middle layer,305,7. Sales and customer service occupations,55
8,2001,E02002559,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",197
9,2001,E02002559,2001 super output areas - middle layer,305,9. Elementary occupations,143
10,2001,E02002560,2001 super output areas - middle layer,305,All categories: Occupation,1635
11,2001,E02002560,2001 super output areas - middle layer,305,1. Managers and senior officials,201
12,2001,E02002560,2001 super output areas - middle layer,305,2. Professional occupations,109
13,2001,E02002560,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,215
14,2001,E02002560,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,99
15,2001,E02002560,2001 super output areas - middle layer,305,5. Skilled trades occupations,400
16,2001,E02002560,2001 super output areas - middle layer,305,6. Personal service occupations,32
17,2001,E02002560,2001 super output areas - middle layer,305,7. Sales and customer service occupations,68
18,2001,E02002560,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",309
19,2001,E02002560,2001 super output areas - middle layer,305,9. Elementary occupations,202
20,2001,E02002561,2001 super output areas - middle layer,305,All categories: Occupation,1662
21,2001,E02002561,2001 super output areas - middle layer,305,1. Managers and senior officials,288
22,2001,E02002561,2001 super output areas - middle layer,305,2. Professional occupations,149
23,2001,E02002561,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,265
24,2001,E02002561,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,95
25,2001,E02002561,2001 super output areas - middle layer,305,5. Skilled trades occupations,339
26,2001,E02002561,2001 super output areas - middle layer,305,6. Personal service occupations,35
27,2001,E02002561,2001 super output areas - middle layer,305,7. Sales and customer service occupations,87
28,2001,E02002561,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",236
29,2001,E02002561,2001 super output areas - middle layer,305,9. Elementary occupations,168
30,2001,E02002562,2001 super output areas - middle layer,305,All categories: Occupation,1360
31,2001,E02002562,2001 super output areas - middle layer,305,1. Managers and senior officials,179
32,2001,E02002562,2001 super output areas - middle layer,305,2. Professional occupations,88
33,2001,E02002562,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,165
34,2001,E02002562,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,69
35,2001,E02002562,2001 super output areas - middle layer,305,5. Skilled trades occupations,305
36,2001,E02002562,2001 super output areas - middle layer,305,6. Personal service occupations,29
37,2001,E02002562,2001 super output areas - middle layer,305,7. Sales and customer service occupations,78
38,2001,E02002562,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",239
39,2001,E02002562,2001 super output areas - middle layer,305,9. Elementary occupations,208
40,2001,E02002563,2001 super output areas - middle layer,305,All categories: Occupation,1219
41,2001,E02002563,2001 super output areas - middle layer,305,1. Managers and senior officials,165
42,2001,E02002563,2001 super output areas - middle layer,305,2. Professional occupations,81
43,2001,E02002563,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,150
44,2001,E02002563,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,57
45,2001,E02002563,2001 super output areas - middle layer,305,5. Skilled trades occupations,282
46,2001,E02002563,2001 super output areas - middle layer,305,6. Personal service occupations,21
47,2001,E02002563,2001 super output areas - middle layer,305,7. Sales and customer service occupations,63
48,2001,E02002563,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",238
49,2001,E02002563,2001 super output areas - middle layer,305,9. Elementary occupations,162
