,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All people aged 16-74,4792
1,2001,E02002559,2001 super output areas - middle layer,305,No qualifications,1070
2,2001,E02002559,2001 super output areas - middle layer,305,Highest level of qualification: Level 1 qualifications,761
3,2001,E02002559,2001 super output areas - middle layer,305,Highest level of qualification: Level 2 qualifications,1032
4,2001,E02002559,2001 super output areas - middle layer,305,Highest level of qualification: Level 3 qualifications,342
5,2001,E02002559,2001 super output areas - middle layer,305,Highest level of qualification: Level 4 qualifications and above,1213
6,2001,E02002559,2001 super output areas - middle layer,305,Highest level of qualification: Other qualifications,374
7,2001,E02002559,2001 super output areas - middle layer,305,Schoolchildren and full-time students: Age 16 to 17,91
8,2001,E02002559,2001 super output areas - middle layer,305,Schoolchildren and full-time students: Age 18 to 74,104
9,2001,E02002559,2001 super output areas - middle layer,305,Full-time students: Age 18 to 74: Economically active: In employment,51
10,2001,E02002559,2001 super output areas - middle layer,305,Full-time students: Age 18 to 74: Economically active: Unemployed,4
11,2001,E02002559,2001 super output areas - middle layer,305,Full-time students: Age 18 to 74: Economically inactive,49
12,2001,E02002560,2001 super output areas - middle layer,305,All people aged 16-74,4371
13,2001,E02002560,2001 super output areas - middle layer,305,No qualifications,1356
14,2001,E02002560,2001 super output areas - middle layer,305,Highest level of qualification: Level 1 qualifications,941
15,2001,E02002560,2001 super output areas - middle layer,305,Highest level of qualification: Level 2 qualifications,851
16,2001,E02002560,2001 super output areas - middle layer,305,Highest level of qualification: Level 3 qualifications,304
17,2001,E02002560,2001 super output areas - middle layer,305,Highest level of qualification: Level 4 qualifications and above,564
18,2001,E02002560,2001 super output areas - middle layer,305,Highest level of qualification: Other qualifications,355
19,2001,E02002560,2001 super output areas - middle layer,305,Schoolchildren and full-time students: Age 16 to 17,113
20,2001,E02002560,2001 super output areas - middle layer,305,Schoolchildren and full-time students: Age 18 to 74,52
21,2001,E02002560,2001 super output areas - middle layer,305,Full-time students: Age 18 to 74: Economically active: In employment,28
22,2001,E02002560,2001 super output areas - middle layer,305,Full-time students: Age 18 to 74: Economically active: Unemployed,0
23,2001,E02002560,2001 super output areas - middle layer,305,Full-time students: Age 18 to 74: Economically inactive,23
24,2001,E02002561,2001 super output areas - middle layer,305,All people aged 16-74,4516
25,2001,E02002561,2001 super output areas - middle layer,305,No qualifications,1218
26,2001,E02002561,2001 super output areas - middle layer,305,Highest level of qualification: Level 1 qualifications,827
