,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_NSSEC_NAME,OBS_VALUE
0,2001,E02002448,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,75
1,2001,E02002448,2001 super output areas - middle layer,305,Higher professional occupations,52
2,2001,E02002448,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",511
3,2001,E02002448,2001 super output areas - middle layer,305,Intermediate occupations,316
4,2001,E02002448,2001 super output areas - middle layer,305,Small employers and own account workers,182
5,2001,E02002448,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,558
6,2001,E02002448,2001 super output areas - middle layer,305,Semi-routine occupations,988
7,2001,E02002448,2001 super output areas - middle layer,305,Routine occupations,984
8,2001,E02002448,2001 super output areas - middle layer,305,Never worked,187
9,2001,E02002448,2001 super output areas - middle layer,305,Long-term unemployed,70
10,2001,E02002448,2001 super output areas - middle layer,305,Full-time students,226
11,2001,E02002448,2001 super output areas - middle layer,305,Not classifiable for other reasons,1253
12,2001,E02002449,2001 super output areas - middle layer,305,All categories: NS-SeC,5537
13,2001,E02002449,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,161
14,2001,E02002449,2001 super output areas - middle layer,305,Higher professional occupations,160
15,2001,E02002449,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",905
16,2001,E02002449,2001 super output areas - middle layer,305,Intermediate occupations,528
17,2001,E02002449,2001 super output areas - middle layer,305,Small employers and own account workers,263
18,2001,E02002449,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,581
19,2001,E02002449,2001 super output areas - middle layer,305,Semi-routine occupations,897
20,2001,E02002449,2001 super output areas - middle layer,305,Routine occupations,748
21,2001,E02002449,2001 super output areas - middle layer,305,Never worked,91
22,2001,E02002449,2001 super output areas - middle layer,305,Long-term unemployed,41
23,2001,E02002449,2001 super output areas - middle layer,305,Full-time students,195
24,2001,E02002449,2001 super output areas - middle layer,305,Not classifiable for other reasons,967
25,2001,E02002450,2001 super output areas - middle layer,305,All categories: NS-SeC,4306
26,2001,E02002450,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,113
27,2001,E02002450,2001 super output areas - middle layer,305,Higher professional occupations,115
28,2001,E02002450,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",657
29,2001,E02002450,2001 super output areas - middle layer,305,Intermediate occupations,459
30,2001,E02002450,2001 super output areas - middle layer,305,Small employers and own account workers,233
31,2001,E02002450,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,412
32,2001,E02002450,2001 super output areas - middle layer,305,Semi-routine occupations,585
33,2001,E02002450,2001 super output areas - middle layer,305,Routine occupations,665
34,2001,E02002450,2001 super output areas - middle layer,305,Never worked,75
35,2001,E02002450,2001 super output areas - middle layer,305,Long-term unemployed,20
36,2001,E02002450,2001 super output areas - middle layer,305,Full-time students,201
37,2001,E02002450,2001 super output areas - middle layer,305,Not classifiable for other reasons,771
38,2001,E02002451,2001 super output areas - middle layer,305,All categories: NS-SeC,5581
39,2001,E02002451,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,227
40,2001,E02002451,2001 super output areas - middle layer,305,Higher professional occupations,250
41,2001,E02002451,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",1204
42,2001,E02002451,2001 super output areas - middle layer,305,Intermediate occupations,665
43,2001,E02002451,2001 super output areas - middle layer,305,Small employers and own account workers,376
44,2001,E02002451,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,408
45,2001,E02002451,2001 super output areas - middle layer,305,Semi-routine occupations,599
46,2001,E02002451,2001 super output areas - middle layer,305,Routine occupations,443
47,2001,E02002451,2001 super output areas - middle layer,305,Never worked,112
48,2001,E02002451,2001 super output areas - middle layer,305,Long-term unemployed,40
49,2001,E02002451,2001 super output areas - middle layer,305,Full-time students,292
50,2001,E02002451,2001 super output areas - middle layer,305,Not classifiable for other reasons,965
51,2001,E02002452,2001 super output areas - middle layer,305,All categories: NS-SeC,5253
52,2001,E02002452,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,111
53,2001,E02002452,2001 super output areas - middle layer,305,Higher professional occupations,134
54,2001,E02002452,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",708
55,2001,E02002452,2001 super output areas - middle layer,305,Intermediate occupations,422
56,2001,E02002452,2001 super output areas - middle layer,305,Small employers and own account workers,260
57,2001,E02002452,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,456
58,2001,E02002452,2001 super output areas - middle layer,305,Semi-routine occupations,775
59,2001,E02002452,2001 super output areas - middle layer,305,Routine occupations,778
60,2001,E02002452,2001 super output areas - middle layer,305,Never worked,190
61,2001,E02002452,2001 super output areas - middle layer,305,Long-term unemployed,66
62,2001,E02002452,2001 super output areas - middle layer,305,Full-time students,173
63,2001,E02002452,2001 super output areas - middle layer,305,Not classifiable for other reasons,1180
64,2001,E02002453,2001 super output areas - middle layer,305,All categories: NS-SeC,6251
65,2001,E02002453,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,92
66,2001,E02002453,2001 super output areas - middle layer,305,Higher professional occupations,113
67,2001,E02002453,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",749
68,2001,E02002453,2001 super output areas - middle layer,305,Intermediate occupations,522
69,2001,E02002453,2001 super output areas - middle layer,305,Small employers and own account workers,348
70,2001,E02002453,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,568
71,2001,E02002453,2001 super output areas - middle layer,305,Semi-routine occupations,817
72,2001,E02002453,2001 super output areas - middle layer,305,Routine occupations,1188
73,2001,E02002453,2001 super output areas - middle layer,305,Never worked,156
74,2001,E02002453,2001 super output areas - middle layer,305,Long-term unemployed,79
75,2001,E02002453,2001 super output areas - middle layer,305,Full-time students,261
76,2001,E02002453,2001 super output areas - middle layer,305,Not classifiable for other reasons,1358
77,2001,E02002454,2001 super output areas - middle layer,305,All categories: NS-SeC,4474
78,2001,E02002454,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,91
79,2001,E02002454,2001 super output areas - middle layer,305,Higher professional occupations,167
80,2001,E02002454,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",651
81,2001,E02002454,2001 super output areas - middle layer,305,Intermediate occupations,325
82,2001,E02002454,2001 super output areas - middle layer,305,Small employers and own account workers,273
83,2001,E02002454,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,266
84,2001,E02002454,2001 super output areas - middle layer,305,Semi-routine occupations,484
85,2001,E02002454,2001 super output areas - middle layer,305,Routine occupations,496
86,2001,E02002454,2001 super output areas - middle layer,305,Never worked,302
87,2001,E02002454,2001 super output areas - middle layer,305,Long-term unemployed,77
88,2001,E02002454,2001 super output areas - middle layer,305,Full-time students,503
89,2001,E02002454,2001 super output areas - middle layer,305,Not classifiable for other reasons,839
90,2001,E02002455,2001 super output areas - middle layer,305,All categories: NS-SeC,4060
91,2001,E02002455,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,66
92,2001,E02002455,2001 super output areas - middle layer,305,Higher professional occupations,56
93,2001,E02002455,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",381
94,2001,E02002455,2001 super output areas - middle layer,305,Intermediate occupations,253
95,2001,E02002455,2001 super output areas - middle layer,305,Small employers and own account workers,174
