,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
0,2001,E02005892,2001 super output areas - middle layer,305,All household spaces - with residents,3774
1,2001,E02005892,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,105
2,2001,E02005892,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,11
3,2001,E02005892,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,2439
4,2001,E02005892,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1080
5,2001,E02005892,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,265
6,2001,E02005892,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",69
7,2001,E02005892,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",25
8,2001,E02005892,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",12
9,2001,E02005892,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
10,2001,E02005893,2001 super output areas - middle layer,305,All household spaces - with residents,4122
11,2001,E02005893,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,109
12,2001,E02005893,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,7
13,2001,E02005893,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,798
14,2001,E02005893,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,2625
15,2001,E02005893,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,491
16,2001,E02005893,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",188
17,2001,E02005893,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",26
18,2001,E02005893,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",31
19,2001,E02005893,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,79
