,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHCHUK11_NAME,OBS_VALUE
0,2001,E02003199,2001 super output areas - middle layer,305,All households,3988.0
1,2001,E02003199,2001 super output areas - middle layer,305,Average household size,2.32
2,2001,E02003199,2001 super output areas - middle layer,305,Average number of rooms per household,4.91
3,2001,E02003199,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,178.0
4,2001,E02003199,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3526.0
5,2001,E02003199,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
6,2001,E02003199,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,453.0
7,2001,E02003199,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,7.0
8,2001,E02003199,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,3.0
9,2001,E02003199,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3822.0
10,2001,E02003199,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,164.0
11,2001,E02003199,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
12,2001,E02003200,2001 super output areas - middle layer,305,All households,4035.0
13,2001,E02003200,2001 super output areas - middle layer,305,Average household size,2.4
14,2001,E02003200,2001 super output areas - middle layer,305,Average number of rooms per household,5.0
15,2001,E02003200,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,167.0
16,2001,E02003200,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3726.0
17,2001,E02003200,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
18,2001,E02003200,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,304.0
19,2001,E02003200,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,5.0
20,2001,E02003200,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,25.0
21,2001,E02003200,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3731.0
22,2001,E02003200,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,279.0
23,2001,E02003200,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
24,2001,E02003201,2001 super output areas - middle layer,305,All households,4008.0
25,2001,E02003201,2001 super output areas - middle layer,305,Average household size,2.33
26,2001,E02003201,2001 super output areas - middle layer,305,Average number of rooms per household,5.01
27,2001,E02003201,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,192.0
28,2001,E02003201,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3682.0
29,2001,E02003201,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,7.0
30,2001,E02003201,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,314.0
31,2001,E02003201,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,5.0
32,2001,E02003201,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,43.0
33,2001,E02003201,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3516.0
34,2001,E02003201,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,449.0
35,2001,E02003201,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
36,2001,E02003202,2001 super output areas - middle layer,305,All households,2466.0
37,2001,E02003202,2001 super output areas - middle layer,305,Average household size,2.19
38,2001,E02003202,2001 super output areas - middle layer,305,Average number of rooms per household,5.2
39,2001,E02003202,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,177.0
40,2001,E02003202,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2336.0
41,2001,E02003202,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,12.0
42,2001,E02003202,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,108.0
43,2001,E02003202,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,10.0
44,2001,E02003202,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,12.0
45,2001,E02003202,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),1943.0
46,2001,E02003202,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,495.0
47,2001,E02003202,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,16.0
48,2001,E02003203,2001 super output areas - middle layer,305,All households,3004.0
49,2001,E02003203,2001 super output areas - middle layer,305,Average household size,2.34
50,2001,E02003203,2001 super output areas - middle layer,305,Average number of rooms per household,5.13
51,2001,E02003203,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,121.0
