,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,W02000308,2011 super output areas - middle layer,297,No cars or vans in household,0
1,2011,W02000308,2011 super output areas - middle layer,297,1 car or van in household,0
2,2011,W02000308,2011 super output areas - middle layer,297,2 cars or vans in household,0
3,2011,W02000308,2011 super output areas - middle layer,297,3 cars or vans in household,0
4,2011,W02000308,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
5,2011,W02000308,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
6,2011,W02000308,2011 super output areas - middle layer,297,All categories: Car or van availability,0
7,2011,W02000308,2011 super output areas - middle layer,297,No cars or vans in household,0
8,2011,W02000308,2011 super output areas - middle layer,297,1 car or van in household,0
9,2011,W02000308,2011 super output areas - middle layer,297,2 cars or vans in household,0
10,2011,W02000308,2011 super output areas - middle layer,297,3 cars or vans in household,0
11,2011,W02000308,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
12,2011,W02000308,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
13,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,2837
14,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,699
15,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,1227
16,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,666
17,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,185
18,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,60
19,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,3377
20,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
21,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,0
22,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,0
23,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,0
24,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,0
25,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
26,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
27,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
28,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,0
29,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,0
30,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,0
31,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,0
32,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
33,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
34,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
35,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,0
36,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,0
37,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,0
38,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,0
39,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
40,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
41,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
42,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,0
43,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,0
44,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,0
45,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,0
46,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
47,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
48,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
49,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,0
50,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,0
51,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,0
52,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,0
53,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
54,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
55,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
56,2011,W02000309,2011 super output areas - middle layer,297,No cars or vans in household,0
57,2011,W02000309,2011 super output areas - middle layer,297,1 car or van in household,0
58,2011,W02000309,2011 super output areas - middle layer,297,2 cars or vans in household,0
59,2011,W02000309,2011 super output areas - middle layer,297,3 cars or vans in household,0
60,2011,W02000309,2011 super output areas - middle layer,297,4 or more cars or vans in household,0
61,2011,W02000309,2011 super output areas - middle layer,297,sum of all cars or vans in the area,0
62,2011,W02000309,2011 super output areas - middle layer,297,All categories: Car or van availability,0
