,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
0,2021,E02004778,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",135
1,2021,E02004778,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",1
2,2021,E02004778,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,694
3,2021,E02004778,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,693
4,2021,E02004778,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
5,2021,E02004778,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,548
6,2021,E02004778,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,547
7,2021,E02004778,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,1
8,2021,E02006822,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7783
9,2021,E02006822,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,2402
10,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership,3920
11,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,3913
12,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,3893
13,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,20
14,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,7
15,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
16,2021,E02006822,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,5
17,2021,E02006822,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",132
18,2021,E02006822,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",129
19,2021,E02006822,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",3
20,2021,E02006822,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,742
21,2021,E02006822,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,741
22,2021,E02006822,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
23,2021,E02006822,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,587
24,2021,E02006822,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,584
25,2021,E02006822,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,3
26,2021,E02006830,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5263
27,2021,E02006830,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,1967
28,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership,2207
29,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,2203
30,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,2191
31,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,12
32,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,4
33,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
34,2021,E02006830,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,2
35,2021,E02006830,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",150
36,2021,E02006830,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",149
37,2021,E02006830,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",1
38,2021,E02006830,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,635
39,2021,E02006830,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,633
40,2021,E02006830,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,2
41,2021,E02006830,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,304
42,2021,E02006830,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,304
43,2021,E02006830,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
44,2021,E02006831,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5254
45,2021,E02006831,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,1306
46,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership,2900
47,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,2886
48,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,2883
49,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,3
50,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,14
51,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,6
52,2021,E02006831,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,8
53,2021,E02006831,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",94
54,2021,E02006831,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",94
55,2021,E02006831,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
56,2021,E02006831,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,510
57,2021,E02006831,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,510
58,2021,E02006831,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
59,2021,E02006831,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,444
60,2021,E02006831,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,444
61,2021,E02006831,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
62,2021,E02004779,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,9381
63,2021,E02004779,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,2433
64,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership,5078
65,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,5067
66,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,5046
67,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,21
68,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,11
69,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
70,2021,E02004779,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,9
71,2021,E02004779,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",161
72,2021,E02004779,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",159
73,2021,E02004779,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",2
74,2021,E02004779,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,958
75,2021,E02004779,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,958
76,2021,E02004779,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
77,2021,E02004779,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,751
78,2021,E02004779,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,749
79,2021,E02004779,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,2
80,2021,E02004780,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4828
81,2021,E02004780,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,1598
82,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership,2220
83,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,2216
84,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,2209
85,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,7
86,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,4
87,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
88,2021,E02004780,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,4
89,2021,E02004780,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",122
90,2021,E02004780,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",122
91,2021,E02004780,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
92,2021,E02004780,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,516
93,2021,E02004780,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,516
94,2021,E02004780,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
95,2021,E02004780,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,372
96,2021,E02004780,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,372
97,2021,E02004780,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
98,2021,E02004781,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6529
99,2021,E02004781,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,2124
