,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
0,2021,E02002299,2021 super output areas - middle layer,152,Middle East and Asia,1243
1,2021,E02002299,2021 super output areas - middle layer,152,The Americas and the Caribbean,219
2,2021,E02002299,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,8
3,2021,E02002299,2021 super output areas - middle layer,152,British Overseas,4
4,2021,E02002300,2021 super output areas - middle layer,152,Total: All usual residents,8593
5,2021,E02002300,2021 super output areas - middle layer,152,Europe,8030
6,2021,E02002300,2021 super output areas - middle layer,152,Europe: United Kingdom,7817
7,2021,E02002300,2021 super output areas - middle layer,152,Europe: EU countries,185
8,2021,E02002300,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,120
9,2021,E02002300,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,48
10,2021,E02002300,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,12
11,2021,E02002300,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,5
12,2021,E02002300,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,28
13,2021,E02002300,2021 super output areas - middle layer,152,Africa,73
14,2021,E02002300,2021 super output areas - middle layer,152,Middle East and Asia,438
15,2021,E02002300,2021 super output areas - middle layer,152,The Americas and the Caribbean,40
16,2021,E02002300,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,10
17,2021,E02002300,2021 super output areas - middle layer,152,British Overseas,2
18,2021,E02002301,2021 super output areas - middle layer,152,Total: All usual residents,8268
19,2021,E02002301,2021 super output areas - middle layer,152,Europe,5998
20,2021,E02002301,2021 super output areas - middle layer,152,Europe: United Kingdom,5413
21,2021,E02002301,2021 super output areas - middle layer,152,Europe: EU countries,544
22,2021,E02002301,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,186
23,2021,E02002301,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,247
24,2021,E02002301,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,103
25,2021,E02002301,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,8
26,2021,E02002301,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,41
27,2021,E02002301,2021 super output areas - middle layer,152,Africa,196
28,2021,E02002301,2021 super output areas - middle layer,152,Middle East and Asia,1926
29,2021,E02002301,2021 super output areas - middle layer,152,The Americas and the Caribbean,143
30,2021,E02002301,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,1
31,2021,E02002301,2021 super output areas - middle layer,152,British Overseas,4
32,2021,E02002302,2021 super output areas - middle layer,152,Total: All usual residents,6168
33,2021,E02002302,2021 super output areas - middle layer,152,Europe,5980
34,2021,E02002302,2021 super output areas - middle layer,152,Europe: United Kingdom,5883
35,2021,E02002302,2021 super output areas - middle layer,152,Europe: EU countries,85
36,2021,E02002302,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,43
37,2021,E02002302,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,27
38,2021,E02002302,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,13
39,2021,E02002302,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,2
40,2021,E02002302,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,12
41,2021,E02002302,2021 super output areas - middle layer,152,Africa,45
42,2021,E02002302,2021 super output areas - middle layer,152,Middle East and Asia,99
43,2021,E02002302,2021 super output areas - middle layer,152,The Americas and the Caribbean,30
44,2021,E02002302,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,14
45,2021,E02002302,2021 super output areas - middle layer,152,British Overseas,0
46,2021,E02002303,2021 super output areas - middle layer,152,Total: All usual residents,6637
47,2021,E02002303,2021 super output areas - middle layer,152,Europe,5987
48,2021,E02002303,2021 super output areas - middle layer,152,Europe: United Kingdom,5750
49,2021,E02002303,2021 super output areas - middle layer,152,Europe: EU countries,207
50,2021,E02002303,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,123
51,2021,E02002303,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,66
52,2021,E02002303,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,12
53,2021,E02002303,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,6
54,2021,E02002303,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,30
55,2021,E02002303,2021 super output areas - middle layer,152,Africa,97
56,2021,E02002303,2021 super output areas - middle layer,152,Middle East and Asia,486
57,2021,E02002303,2021 super output areas - middle layer,152,The Americas and the Caribbean,59
58,2021,E02002303,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,8
59,2021,E02002303,2021 super output areas - middle layer,152,British Overseas,0
60,2021,E02002304,2021 super output areas - middle layer,152,Total: All usual residents,6539
61,2021,E02002304,2021 super output areas - middle layer,152,Europe,5558
62,2021,E02002304,2021 super output areas - middle layer,152,Europe: United Kingdom,5126
63,2021,E02002304,2021 super output areas - middle layer,152,Europe: EU countries,394
64,2021,E02002304,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,165
