,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PASS_27_NAME,OBS_VALUE
0,2021,E02004146,2021 super output areas - middle layer,152,Middle East and Asia,9
1,2021,E02004146,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,0
2,2021,E02004146,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,3
3,2021,E02004146,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,1
4,2021,E02004146,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,5
5,2021,E02004146,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
6,2021,E02004146,2021 super output areas - middle layer,152,The Americas and the Caribbean,3
7,2021,E02004146,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America and the Caribbean,3
8,2021,E02004146,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central and South America,0
9,2021,E02004146,2021 super output areas - middle layer,152,"Antarctica and Oceania, including Australasia",5
10,2021,E02004146,2021 super output areas - middle layer,152,British Overseas Territories,0
11,2021,E02004146,2021 super output areas - middle layer,152,No passport held,1297
12,2021,E02004147,2021 super output areas - middle layer,152,Total: All usual residents,6976
13,2021,E02004147,2021 super output areas - middle layer,152,Europe,5908
14,2021,E02004147,2021 super output areas - middle layer,152,Europe: United Kingdom,5511
15,2021,E02004147,2021 super output areas - middle layer,152,Europe: Ireland,23
16,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe,374
17,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,369
18,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,5
19,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,14
20,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,16
21,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,28
22,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,15
23,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,10
24,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,68
25,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,119
26,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,94
27,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,5
28,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,1
29,2021,E02004147,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,4
30,2021,E02004147,2021 super output areas - middle layer,152,Africa,15
31,2021,E02004147,2021 super output areas - middle layer,152,Africa: North Africa,0
32,2021,E02004147,2021 super output areas - middle layer,152,Africa: Central and Western Africa,3
33,2021,E02004147,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,12
34,2021,E02004147,2021 super output areas - middle layer,152,Middle East and Asia,32
35,2021,E02004147,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,0
36,2021,E02004147,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,3
37,2021,E02004147,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,14
38,2021,E02004147,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,15
39,2021,E02004147,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
40,2021,E02004147,2021 super output areas - middle layer,152,The Americas and the Caribbean,15
41,2021,E02004147,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America and the Caribbean,14
