,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_102_NAME,OBS_VALUE
0,2021,E02002283,2021 super output areas - middle layer,152,Aged 91 years,5
1,2021,E02002283,2021 super output areas - middle layer,152,Aged 92 years,2
2,2021,E02002283,2021 super output areas - middle layer,152,Aged 93 years,1
3,2021,E02002283,2021 super output areas - middle layer,152,Aged 94 years,1
4,2021,E02002283,2021 super output areas - middle layer,152,Aged 95 years,0
5,2021,E02002283,2021 super output areas - middle layer,152,Aged 96 years,1
6,2021,E02002283,2021 super output areas - middle layer,152,Aged 97 years,2
7,2021,E02002283,2021 super output areas - middle layer,152,Aged 98 years,0
8,2021,E02002283,2021 super output areas - middle layer,152,Aged 99 years,0
9,2021,E02002283,2021 super output areas - middle layer,152,Aged 100 years and over,0
10,2021,E02002284,2021 super output areas - middle layer,152,Total: All usual residents,6252
11,2021,E02002284,2021 super output areas - middle layer,152,Aged 4 years and under,379
12,2021,E02002284,2021 super output areas - middle layer,152,Aged under 1 year,67
13,2021,E02002284,2021 super output areas - middle layer,152,Aged 1 year,74
14,2021,E02002284,2021 super output areas - middle layer,152,Aged 2 years,77
15,2021,E02002284,2021 super output areas - middle layer,152,Aged 3 years,89
16,2021,E02002284,2021 super output areas - middle layer,152,Aged 4 years,72
17,2021,E02002284,2021 super output areas - middle layer,152,Aged 5 to 9 years,363
18,2021,E02002284,2021 super output areas - middle layer,152,Aged 5 years,67
19,2021,E02002284,2021 super output areas - middle layer,152,Aged 6 years,81
20,2021,E02002284,2021 super output areas - middle layer,152,Aged 7 years,67
21,2021,E02002284,2021 super output areas - middle layer,152,Aged 8 years,74
22,2021,E02002284,2021 super output areas - middle layer,152,Aged 9 years,74
23,2021,E02002284,2021 super output areas - middle layer,152,Aged 10 to 15 years,438
24,2021,E02002284,2021 super output areas - middle layer,152,Aged 10 years,73
25,2021,E02002284,2021 super output areas - middle layer,152,Aged 11 years,70
26,2021,E02002284,2021 super output areas - middle layer,152,Aged 12 years,78
27,2021,E02002284,2021 super output areas - middle layer,152,Aged 13 years,87
28,2021,E02002284,2021 super output areas - middle layer,152,Aged 14 years,56
29,2021,E02002284,2021 super output areas - middle layer,152,Aged 15 years,74
30,2021,E02002284,2021 super output areas - middle layer,152,Aged 16 to 19 years,260
31,2021,E02002284,2021 super output areas - middle layer,152,Aged 16 years,68
32,2021,E02002284,2021 super output areas - middle layer,152,Aged 17 years,69
33,2021,E02002284,2021 super output areas - middle layer,152,Aged 18 years,70
34,2021,E02002284,2021 super output areas - middle layer,152,Aged 19 years,53
35,2021,E02002284,2021 super output areas - middle layer,152,Aged 20 to 24 years,302
36,2021,E02002284,2021 super output areas - middle layer,152,Aged 20 years,58
37,2021,E02002284,2021 super output areas - middle layer,152,Aged 21 years,60
38,2021,E02002284,2021 super output areas - middle layer,152,Aged 22 years,54
39,2021,E02002284,2021 super output areas - middle layer,152,Aged 23 years,65
40,2021,E02002284,2021 super output areas - middle layer,152,Aged 24 years,65
41,2021,E02002284,2021 super output areas - middle layer,152,Aged 25 to 34 years,847
42,2021,E02002284,2021 super output areas - middle layer,152,Aged 25 years,75
43,2021,E02002284,2021 super output areas - middle layer,152,Aged 26 years,59
44,2021,E02002284,2021 super output areas - middle layer,152,Aged 27 years,93
45,2021,E02002284,2021 super output areas - middle layer,152,Aged 28 years,76
46,2021,E02002284,2021 super output areas - middle layer,152,Aged 29 years,85
47,2021,E02002284,2021 super output areas - middle layer,152,Aged 30 years,96
48,2021,E02002284,2021 super output areas - middle layer,152,Aged 31 years,86
49,2021,E02002284,2021 super output areas - middle layer,152,Aged 32 years,88
50,2021,E02002284,2021 super output areas - middle layer,152,Aged 33 years,102
51,2021,E02002284,2021 super output areas - middle layer,152,Aged 34 years,87
52,2021,E02002284,2021 super output areas - middle layer,152,Aged 35 to 49 years,1186
53,2021,E02002284,2021 super output areas - middle layer,152,Aged 35 years,79
54,2021,E02002284,2021 super output areas - middle layer,152,Aged 36 years,82
55,2021,E02002284,2021 super output areas - middle layer,152,Aged 37 years,87
56,2021,E02002284,2021 super output areas - middle layer,152,Aged 38 years,72
57,2021,E02002284,2021 super output areas - middle layer,152,Aged 39 years,77
58,2021,E02002284,2021 super output areas - middle layer,152,Aged 40 years,92
59,2021,E02002284,2021 super output areas - middle layer,152,Aged 41 years,82
60,2021,E02002284,2021 super output areas - middle layer,152,Aged 42 years,76
61,2021,E02002284,2021 super output areas - middle layer,152,Aged 43 years,70
62,2021,E02002284,2021 super output areas - middle layer,152,Aged 44 years,73
63,2021,E02002284,2021 super output areas - middle layer,152,Aged 45 years,65
64,2021,E02002284,2021 super output areas - middle layer,152,Aged 46 years,65
65,2021,E02002284,2021 super output areas - middle layer,152,Aged 47 years,85
66,2021,E02002284,2021 super output areas - middle layer,152,Aged 48 years,87
67,2021,E02002284,2021 super output areas - middle layer,152,Aged 49 years,94
68,2021,E02002284,2021 super output areas - middle layer,152,Aged 50 to 64 years,1286
69,2021,E02002284,2021 super output areas - middle layer,152,Aged 50 years,87
70,2021,E02002284,2021 super output areas - middle layer,152,Aged 51 years,86
71,2021,E02002284,2021 super output areas - middle layer,152,Aged 52 years,116
72,2021,E02002284,2021 super output areas - middle layer,152,Aged 53 years,78
73,2021,E02002284,2021 super output areas - middle layer,152,Aged 54 years,81
74,2021,E02002284,2021 super output areas - middle layer,152,Aged 55 years,86
75,2021,E02002284,2021 super output areas - middle layer,152,Aged 56 years,98
76,2021,E02002284,2021 super output areas - middle layer,152,Aged 57 years,110
77,2021,E02002284,2021 super output areas - middle layer,152,Aged 58 years,84
78,2021,E02002284,2021 super output areas - middle layer,152,Aged 59 years,96
79,2021,E02002284,2021 super output areas - middle layer,152,Aged 60 years,71
80,2021,E02002284,2021 super output areas - middle layer,152,Aged 61 years,64
81,2021,E02002284,2021 super output areas - middle layer,152,Aged 62 years,75
82,2021,E02002284,2021 super output areas - middle layer,152,Aged 63 years,72
83,2021,E02002284,2021 super output areas - middle layer,152,Aged 64 years,82
84,2021,E02002284,2021 super output areas - middle layer,152,Aged 65 to 74 years,650
85,2021,E02002284,2021 super output areas - middle layer,152,Aged 65 years,59
86,2021,E02002284,2021 super output areas - middle layer,152,Aged 66 years,59
87,2021,E02002284,2021 super output areas - middle layer,152,Aged 67 years,67
88,2021,E02002284,2021 super output areas - middle layer,152,Aged 68 years,76
89,2021,E02002284,2021 super output areas - middle layer,152,Aged 69 years,72
90,2021,E02002284,2021 super output areas - middle layer,152,Aged 70 years,65
91,2021,E02002284,2021 super output areas - middle layer,152,Aged 71 years,43
92,2021,E02002284,2021 super output areas - middle layer,152,Aged 72 years,57
93,2021,E02002284,2021 super output areas - middle layer,152,Aged 73 years,77
94,2021,E02002284,2021 super output areas - middle layer,152,Aged 74 years,75
95,2021,E02002284,2021 super output areas - middle layer,152,Aged 75 to 84 years,402
96,2021,E02002284,2021 super output areas - middle layer,152,Aged 75 years,53
97,2021,E02002284,2021 super output areas - middle layer,152,Aged 76 years,43
98,2021,E02002284,2021 super output areas - middle layer,152,Aged 77 years,52
99,2021,E02002284,2021 super output areas - middle layer,152,Aged 78 years,44
100,2021,E02002284,2021 super output areas - middle layer,152,Aged 79 years,44
101,2021,E02002284,2021 super output areas - middle layer,152,Aged 80 years,30
102,2021,E02002284,2021 super output areas - middle layer,152,Aged 81 years,46
103,2021,E02002284,2021 super output areas - middle layer,152,Aged 82 years,38
104,2021,E02002284,2021 super output areas - middle layer,152,Aged 83 years,34
105,2021,E02002284,2021 super output areas - middle layer,152,Aged 84 years,18
106,2021,E02002284,2021 super output areas - middle layer,152,Aged 85 years and over,139
107,2021,E02002284,2021 super output areas - middle layer,152,Aged 85 years,28
108,2021,E02002284,2021 super output areas - middle layer,152,Aged 86 years,18
109,2021,E02002284,2021 super output areas - middle layer,152,Aged 87 years,10
110,2021,E02002284,2021 super output areas - middle layer,152,Aged 88 years,14
111,2021,E02002284,2021 super output areas - middle layer,152,Aged 89 years,18
112,2021,E02002284,2021 super output areas - middle layer,152,Aged 90 years,11
113,2021,E02002284,2021 super output areas - middle layer,152,Aged 91 years,11
114,2021,E02002284,2021 super output areas - middle layer,152,Aged 92 years,10
115,2021,E02002284,2021 super output areas - middle layer,152,Aged 93 years,7
116,2021,E02002284,2021 super output areas - middle layer,152,Aged 94 years,5
117,2021,E02002284,2021 super output areas - middle layer,152,Aged 95 years,4
118,2021,E02002284,2021 super output areas - middle layer,152,Aged 96 years,1
119,2021,E02002284,2021 super output areas - middle layer,152,Aged 97 years,2
120,2021,E02002284,2021 super output areas - middle layer,152,Aged 98 years,0
121,2021,E02002284,2021 super output areas - middle layer,152,Aged 99 years,0
122,2021,E02002284,2021 super output areas - middle layer,152,Aged 100 years and over,0
123,2021,E02002285,2021 super output areas - middle layer,152,Total: All usual residents,7978
124,2021,E02002285,2021 super output areas - middle layer,152,Aged 4 years and under,392
125,2021,E02002285,2021 super output areas - middle layer,152,Aged under 1 year,71
126,2021,E02002285,2021 super output areas - middle layer,152,Aged 1 year,74
127,2021,E02002285,2021 super output areas - middle layer,152,Aged 2 years,67
128,2021,E02002285,2021 super output areas - middle layer,152,Aged 3 years,91
129,2021,E02002285,2021 super output areas - middle layer,152,Aged 4 years,89
