,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",150
1,2021,E02000141,2021 super output areas - middle layer,152,Less than 2 years,116
2,2021,E02000142,2021 super output areas - middle layer,152,Total: All usual residents,8816
3,2021,E02000142,2021 super output areas - middle layer,152,Born in the UK,6932
4,2021,E02000142,2021 super output areas - middle layer,152,10 years or more,1205
5,2021,E02000142,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",289
6,2021,E02000142,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",233
7,2021,E02000142,2021 super output areas - middle layer,152,Less than 2 years,157
8,2021,E02000144,2021 super output areas - middle layer,152,Total: All usual residents,10063
9,2021,E02000144,2021 super output areas - middle layer,152,Born in the UK,6751
10,2021,E02000144,2021 super output areas - middle layer,152,10 years or more,1715
11,2021,E02000144,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",629
12,2021,E02000144,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",568
13,2021,E02000144,2021 super output areas - middle layer,152,Less than 2 years,400
14,2021,E02000145,2021 super output areas - middle layer,152,Total: All usual residents,8824
15,2021,E02000145,2021 super output areas - middle layer,152,Born in the UK,6775
16,2021,E02000145,2021 super output areas - middle layer,152,10 years or more,1410
17,2021,E02000145,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",355
18,2021,E02000145,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",182
19,2021,E02000145,2021 super output areas - middle layer,152,Less than 2 years,102
20,2021,E02000146,2021 super output areas - middle layer,152,Total: All usual residents,9702
21,2021,E02000146,2021 super output areas - middle layer,152,Born in the UK,7665
22,2021,E02000146,2021 super output areas - middle layer,152,10 years or more,1261
23,2021,E02000146,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",304
24,2021,E02000146,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",265
25,2021,E02000146,2021 super output areas - middle layer,152,Less than 2 years,207
26,2021,E02000147,2021 super output areas - middle layer,152,Total: All usual residents,8190
27,2021,E02000147,2021 super output areas - middle layer,152,Born in the UK,6731
28,2021,E02000147,2021 super output areas - middle layer,152,10 years or more,1065
29,2021,E02000147,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",167
30,2021,E02000147,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",137
31,2021,E02000147,2021 super output areas - middle layer,152,Less than 2 years,90
32,2021,E02000148,2021 super output areas - middle layer,152,Total: All usual residents,6724
33,2021,E02000148,2021 super output areas - middle layer,152,Born in the UK,5598
34,2021,E02000148,2021 super output areas - middle layer,152,10 years or more,856
35,2021,E02000148,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",123
36,2021,E02000148,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",77
37,2021,E02000148,2021 super output areas - middle layer,152,Less than 2 years,70
38,2021,E02000149,2021 super output areas - middle layer,152,Total: All usual residents,8166
39,2021,E02000149,2021 super output areas - middle layer,152,Born in the UK,6712
40,2021,E02000149,2021 super output areas - middle layer,152,10 years or more,998
41,2021,E02000149,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",258
