,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHSIZE_10_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,0 people in household,0
2,2021,E02002483,2021 super output areas - middle layer,152,1 person in household,1183
3,2021,E02002483,2021 super output areas - middle layer,152,2 people in household,1492
4,2021,E02002483,2021 super output areas - middle layer,152,3 people in household,849
5,2021,E02002483,2021 super output areas - middle layer,152,4 people in household,580
6,2021,E02002483,2021 super output areas - middle layer,152,5 people in household,170
7,2021,E02002483,2021 super output areas - middle layer,152,6 people in household,46
8,2021,E02002483,2021 super output areas - middle layer,152,7 people in household,5
9,2021,E02002483,2021 super output areas - middle layer,152,8 or more people in household,5
10,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4595
11,2021,E02002484,2021 super output areas - middle layer,152,0 people in household,0
12,2021,E02002484,2021 super output areas - middle layer,152,1 person in household,1655
13,2021,E02002484,2021 super output areas - middle layer,152,2 people in household,1476
14,2021,E02002484,2021 super output areas - middle layer,152,3 people in household,756
15,2021,E02002484,2021 super output areas - middle layer,152,4 people in household,428
16,2021,E02002484,2021 super output areas - middle layer,152,5 people in household,193
17,2021,E02002484,2021 super output areas - middle layer,152,6 people in household,65
18,2021,E02002484,2021 super output areas - middle layer,152,7 people in household,14
19,2021,E02002484,2021 super output areas - middle layer,152,8 or more people in household,8
20,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3536
21,2021,E02002485,2021 super output areas - middle layer,152,0 people in household,0
22,2021,E02002485,2021 super output areas - middle layer,152,1 person in household,1202
23,2021,E02002485,2021 super output areas - middle layer,152,2 people in household,1110
24,2021,E02002485,2021 super output areas - middle layer,152,3 people in household,658
25,2021,E02002485,2021 super output areas - middle layer,152,4 people in household,364
26,2021,E02002485,2021 super output areas - middle layer,152,5 people in household,142
27,2021,E02002485,2021 super output areas - middle layer,152,6 people in household,45
28,2021,E02002485,2021 super output areas - middle layer,152,7 people in household,11
29,2021,E02002485,2021 super output areas - middle layer,152,8 or more people in household,4
30,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3239
31,2021,E02002489,2021 super output areas - middle layer,152,0 people in household,0
32,2021,E02002489,2021 super output areas - middle layer,152,1 person in household,1459
33,2021,E02002489,2021 super output areas - middle layer,152,2 people in household,827
34,2021,E02002489,2021 super output areas - middle layer,152,3 people in household,431
35,2021,E02002489,2021 super output areas - middle layer,152,4 people in household,274
36,2021,E02002489,2021 super output areas - middle layer,152,5 people in household,135
37,2021,E02002489,2021 super output areas - middle layer,152,6 people in household,78
38,2021,E02002489,2021 super output areas - middle layer,152,7 people in household,18
39,2021,E02002489,2021 super output areas - middle layer,152,8 or more people in household,17
40,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2647
41,2021,E02002490,2021 super output areas - middle layer,152,0 people in household,0
42,2021,E02002490,2021 super output areas - middle layer,152,1 person in household,948
43,2021,E02002490,2021 super output areas - middle layer,152,2 people in household,866
44,2021,E02002490,2021 super output areas - middle layer,152,3 people in household,425
45,2021,E02002490,2021 super output areas - middle layer,152,4 people in household,276
46,2021,E02002490,2021 super output areas - middle layer,152,5 people in household,90
47,2021,E02002490,2021 super output areas - middle layer,152,6 people in household,29
48,2021,E02002490,2021 super output areas - middle layer,152,7 people in household,7
49,2021,E02002490,2021 super output areas - middle layer,152,8 or more people in household,6
50,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
51,2021,E02002491,2021 super output areas - middle layer,152,0 people in household,0
52,2021,E02002491,2021 super output areas - middle layer,152,1 person in household,966
53,2021,E02002491,2021 super output areas - middle layer,152,2 people in household,843
54,2021,E02002491,2021 super output areas - middle layer,152,3 people in household,488
55,2021,E02002491,2021 super output areas - middle layer,152,4 people in household,334
56,2021,E02002491,2021 super output areas - middle layer,152,5 people in household,133
57,2021,E02002491,2021 super output areas - middle layer,152,6 people in household,31
58,2021,E02002491,2021 super output areas - middle layer,152,7 people in household,11
59,2021,E02002491,2021 super output areas - middle layer,152,8 or more people in household,5
60,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2974
61,2021,E02002492,2021 super output areas - middle layer,152,0 people in household,0
62,2021,E02002492,2021 super output areas - middle layer,152,1 person in household,965
63,2021,E02002492,2021 super output areas - middle layer,152,2 people in household,1049
64,2021,E02002492,2021 super output areas - middle layer,152,3 people in household,445
65,2021,E02002492,2021 super output areas - middle layer,152,4 people in household,359
66,2021,E02002492,2021 super output areas - middle layer,152,5 people in household,119
67,2021,E02002492,2021 super output areas - middle layer,152,6 people in household,26
68,2021,E02002492,2021 super output areas - middle layer,152,7 people in household,7
69,2021,E02002492,2021 super output areas - middle layer,152,8 or more people in household,4
70,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2956
71,2021,E02002493,2021 super output areas - middle layer,152,0 people in household,0
72,2021,E02002493,2021 super output areas - middle layer,152,1 person in household,827
73,2021,E02002493,2021 super output areas - middle layer,152,2 people in household,1168
74,2021,E02002493,2021 super output areas - middle layer,152,3 people in household,498
75,2021,E02002493,2021 super output areas - middle layer,152,4 people in household,356
76,2021,E02002493,2021 super output areas - middle layer,152,5 people in household,87
77,2021,E02002493,2021 super output areas - middle layer,152,6 people in household,16
78,2021,E02002493,2021 super output areas - middle layer,152,7 people in household,3
79,2021,E02002493,2021 super output areas - middle layer,152,8 or more people in household,1
80,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3388
81,2021,E02002494,2021 super output areas - middle layer,152,0 people in household,0
82,2021,E02002494,2021 super output areas - middle layer,152,1 person in household,1127
83,2021,E02002494,2021 super output areas - middle layer,152,2 people in household,1095
84,2021,E02002494,2021 super output areas - middle layer,152,3 people in household,615
85,2021,E02002494,2021 super output areas - middle layer,152,4 people in household,377
86,2021,E02002494,2021 super output areas - middle layer,152,5 people in household,116
87,2021,E02002494,2021 super output areas - middle layer,152,6 people in household,43
88,2021,E02002494,2021 super output areas - middle layer,152,7 people in household,13
89,2021,E02002494,2021 super output areas - middle layer,152,8 or more people in household,2
90,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5507
91,2021,E02006909,2021 super output areas - middle layer,152,0 people in household,0
92,2021,E02006909,2021 super output areas - middle layer,152,1 person in household,1411
93,2021,E02006909,2021 super output areas - middle layer,152,2 people in household,2261
94,2021,E02006909,2021 super output areas - middle layer,152,3 people in household,921
95,2021,E02006909,2021 super output areas - middle layer,152,4 people in household,713
96,2021,E02006909,2021 super output areas - middle layer,152,5 people in household,161
97,2021,E02006909,2021 super output areas - middle layer,152,6 people in household,29
