,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MIGIND_4_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10132
1,2021,E02002483,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,9410
2,2021,E02002483,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,10
3,2021,E02002483,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,703
4,2021,E02002483,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,9
5,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10155
6,2021,E02002484,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,9201
7,2021,E02002484,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,17
8,2021,E02002484,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,923
9,2021,E02002484,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,14
10,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,7915
11,2021,E02002485,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,7283
12,2021,E02002485,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,15
13,2021,E02002485,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,591
14,2021,E02002485,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,26
15,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7053
16,2021,E02002489,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6154
17,2021,E02002489,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,57
18,2021,E02002489,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,815
19,2021,E02002489,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,27
20,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,5743
21,2021,E02002490,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5146
22,2021,E02002490,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,2
23,2021,E02002490,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,554
24,2021,E02002490,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,41
25,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,6413
26,2021,E02002491,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5876
27,2021,E02002491,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,10
28,2021,E02002491,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,525
29,2021,E02002491,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,2
30,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents,6695
31,2021,E02002492,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6217
32,2021,E02002492,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,6
33,2021,E02002492,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,466
34,2021,E02002492,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,6
35,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents,6699
36,2021,E02002493,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6196
37,2021,E02002493,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,10
38,2021,E02002493,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,473
39,2021,E02002493,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,20
40,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents,7569
41,2021,E02002494,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6984
42,2021,E02002494,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,6
43,2021,E02002494,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,573
44,2021,E02002494,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,6
45,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents,12607
46,2021,E02006909,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,11443
47,2021,E02006909,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,22
48,2021,E02006909,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,1084
49,2021,E02006909,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,58
50,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents,10442
51,2021,E02007059,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,9223
52,2021,E02007059,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,27
53,2021,E02007059,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,1127
54,2021,E02007059,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,65
55,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents,11756
56,2021,E02002496,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,8600
57,2021,E02002496,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,348
58,2021,E02002496,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,1904
59,2021,E02002496,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,904
60,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,6030
61,2021,E02002497,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5188
62,2021,E02002497,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,18
63,2021,E02002497,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,713
64,2021,E02002497,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,111
65,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents,8379
66,2021,E02002498,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6332
67,2021,E02002498,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,126
68,2021,E02002498,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,1245
69,2021,E02002498,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,676
70,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,7559
71,2021,E02002499,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6977
72,2021,E02002499,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,9
73,2021,E02002499,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,547
74,2021,E02002499,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,26
75,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,5842
76,2021,E02002500,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5296
77,2021,E02002500,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,34
78,2021,E02002500,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,444
79,2021,E02002500,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,68
80,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,6180
81,2021,E02002501,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5708
82,2021,E02002501,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,10
83,2021,E02002501,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,434
84,2021,E02002501,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,28
85,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,9670
86,2021,E02002502,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,8789
87,2021,E02002502,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,6
88,2021,E02002502,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,839
89,2021,E02002502,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,36
90,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,6744
91,2021,E02002503,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6244
92,2021,E02002503,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,7
93,2021,E02002503,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,465
94,2021,E02002503,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,28
95,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,9657
96,2021,E02002504,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,8806
97,2021,E02002504,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,29
98,2021,E02002504,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,775
99,2021,E02002504,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,47
100,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,6300
101,2021,E02002505,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5903
102,2021,E02002505,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,2
103,2021,E02002505,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,373
104,2021,E02002505,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,22
105,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,5549
106,2021,E02002506,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,4920
107,2021,E02002506,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,74
108,2021,E02002506,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,463
109,2021,E02002506,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,92
110,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,6174
111,2021,E02002507,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5692
112,2021,E02002507,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,9
113,2021,E02002507,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,449
114,2021,E02002507,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,24
115,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,5373
116,2021,E02002508,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5038
117,2021,E02002508,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,5
118,2021,E02002508,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,312
119,2021,E02002508,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,18
120,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,5085
121,2021,E02002509,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,4672
122,2021,E02002509,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,10
123,2021,E02002509,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,364
124,2021,E02002509,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,39
125,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,7011
126,2021,E02002510,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6502
127,2021,E02002510,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,4
128,2021,E02002510,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,489
129,2021,E02002510,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,16
130,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents,5287
131,2021,E02002512,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,4907
132,2021,E02002512,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,6
133,2021,E02002512,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,355
134,2021,E02002512,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,19
135,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents,10115
136,2021,E02002513,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,9155
137,2021,E02002513,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,14
138,2021,E02002513,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,929
139,2021,E02002513,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,17
140,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents,8295
141,2021,E02002514,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,7694
142,2021,E02002514,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,14
143,2021,E02002514,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,569
144,2021,E02002514,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,18
145,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents,11296
146,2021,E02006811,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,10332
147,2021,E02006811,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,30
148,2021,E02006811,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,880
149,2021,E02006811,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,54
150,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents,6424
151,2021,E02002515,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5715
152,2021,E02002515,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,10
153,2021,E02002515,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,684
154,2021,E02002515,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,15
155,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents,5807
156,2021,E02002516,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5409
157,2021,E02002516,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,2
158,2021,E02002516,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,383
159,2021,E02002516,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,13
160,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents,5249
161,2021,E02002517,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,4834
162,2021,E02002517,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,2
163,2021,E02002517,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,405
164,2021,E02002517,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,8
165,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents,10798
166,2021,E02002518,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,10027
167,2021,E02002518,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,12
168,2021,E02002518,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,728
169,2021,E02002518,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,31
170,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents,7400
171,2021,E02002519,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,6748
172,2021,E02002519,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,11
173,2021,E02002519,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,626
174,2021,E02002519,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,15
175,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents,13010
176,2021,E02002520,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,12175
177,2021,E02002520,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,15
178,2021,E02002520,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,777
179,2021,E02002520,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,43
180,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents,5853
181,2021,E02002521,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5351
182,2021,E02002521,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,15
183,2021,E02002521,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,449
184,2021,E02002521,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,38
185,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents,6298
186,2021,E02002523,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,5766
187,2021,E02002523,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,6
188,2021,E02002523,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,515
189,2021,E02002523,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,11
190,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents,5357
191,2021,E02002524,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,4989
192,2021,E02002524,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,6
193,2021,E02002524,2021 super output areas - middle layer,152,Migrant from within the UK: Address one year ago was in the UK,354
194,2021,E02002524,2021 super output areas - middle layer,152,Migrant from outside the UK: Address one year ago was outside the UK,8
195,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents,7911
196,2021,E02002525,2021 super output areas - middle layer,152,Address one year ago is the same as the address of enumeration,7395
197,2021,E02002525,2021 super output areas - middle layer,152,Address one year ago is student term-time or boarding school address in the UK,7
