,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
0,2021,E02002828,2021 super output areas - middle layer,152,Total: All usual residents,8229
1,2021,E02002828,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",5184
2,2021,E02002828,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",28
3,2021,E02002828,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",14
4,2021,E02002828,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",4580
5,2021,E02002828,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",172
6,2021,E02002828,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",390
7,2021,E02002828,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",283
8,2021,E02002828,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",190
9,2021,E02002828,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",70
10,2021,E02002828,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",23
11,2021,E02002828,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,187
12,2021,E02002828,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,75
13,2021,E02002828,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,14
14,2021,E02002828,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,50
15,2021,E02002828,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,48
16,2021,E02002828,2021 super output areas - middle layer,152,White,2202
17,2021,E02002828,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",1841
18,2021,E02002828,2021 super output areas - middle layer,152,White: Irish,33
19,2021,E02002828,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,9
20,2021,E02002828,2021 super output areas - middle layer,152,White: Roma,0
21,2021,E02002828,2021 super output areas - middle layer,152,White: Other White,319
22,2021,E02002828,2021 super output areas - middle layer,152,Other ethnic group,373
23,2021,E02002828,2021 super output areas - middle layer,152,Other ethnic group: Arab,33
24,2021,E02002828,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,340
25,2021,E02002829,2021 super output areas - middle layer,152,Total: All usual residents,11773
26,2021,E02002829,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",2662
27,2021,E02002829,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",34
28,2021,E02002829,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",46
29,2021,E02002829,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",1970
30,2021,E02002829,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",208
31,2021,E02002829,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",404
32,2021,E02002829,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",1332
33,2021,E02002829,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",1047
34,2021,E02002829,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",122
35,2021,E02002829,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",163
36,2021,E02002829,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,590
37,2021,E02002829,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,124
38,2021,E02002829,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,98
39,2021,E02002829,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,261
40,2021,E02002829,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,107
