,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
0,2021,E02006422,2021 super output areas - middle layer,152,Total: All usual residents,6205
1,2021,E02006422,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",499
2,2021,E02006422,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",15
3,2021,E02006422,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",38
4,2021,E02006422,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",248
5,2021,E02006422,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",85
6,2021,E02006422,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",113
7,2021,E02006422,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",103
8,2021,E02006422,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",69
9,2021,E02006422,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",17
10,2021,E02006422,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",17
11,2021,E02006422,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,159
12,2021,E02006422,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,66
13,2021,E02006422,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,17
14,2021,E02006422,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,32
15,2021,E02006422,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,44
16,2021,E02006422,2021 super output areas - middle layer,152,White,5364
17,2021,E02006422,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",4932
18,2021,E02006422,2021 super output areas - middle layer,152,White: Irish,40
19,2021,E02006422,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,0
20,2021,E02006422,2021 super output areas - middle layer,152,White: Roma,0
21,2021,E02006422,2021 super output areas - middle layer,152,White: Other White,392
22,2021,E02006422,2021 super output areas - middle layer,152,Other ethnic group,80
23,2021,E02006422,2021 super output areas - middle layer,152,Other ethnic group: Arab,17
24,2021,E02006422,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,63
25,2021,E02006423,2021 super output areas - middle layer,152,Total: All usual residents,11208
26,2021,E02006423,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",1793
