,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETHNIC_288_NAME,OBS_VALUE
0,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian",0
1,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Mixed Black",1
2,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Nigerian",0
3,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Other Black, Black unspecified",0
4,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Other Mixed",1
5,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Polynesian/Micronesian/Melanesian",0
6,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Somali",0
7,2021,E02005066,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh or Caribbean background: Any other ethnic group",1
8,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,118
9,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: African unspecified,1
10,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: African Asian,0
11,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: African/Arab,0
12,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Anglo Indian,0
13,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Arab,0
14,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Asian (unspecified) and European,0
15,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Black and Asian,0
16,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Black and European,0
17,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Black and White (unspecified),3
18,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Black British,0
19,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Brazilian,0
20,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Caribbean,0
21,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Caribbean Asian,0
22,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Chinese,0
23,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Chinese and other Asian,0
24,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Chinese and White,0
25,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: English,0
26,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: English/Welsh/Scottish/Northern Irish/British,3
27,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: European and Black African,1
28,2021,E02005066,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: European and Black Caribbean,0
