,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_METH_6_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,440
1,2021,E02000141,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,126
2,2021,E02000142,2021 super output areas - middle layer,152,Total: All households,3452
3,2021,E02000142,2021 super output areas - middle layer,152,One-person household,897
4,2021,E02000142,2021 super output areas - middle layer,152,All household members have the same ethnic group,1845
5,2021,E02000142,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,90
6,2021,E02000142,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,504
7,2021,E02000142,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,116
8,2021,E02000144,2021 super output areas - middle layer,152,Total: All households,4312
9,2021,E02000144,2021 super output areas - middle layer,152,One-person household,1298
10,2021,E02000144,2021 super output areas - middle layer,152,All household members have the same ethnic group,2057
11,2021,E02000144,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,144
12,2021,E02000144,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,631
13,2021,E02000144,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,182
14,2021,E02000145,2021 super output areas - middle layer,152,Total: All households,3514
15,2021,E02000145,2021 super output areas - middle layer,152,One-person household,1041
16,2021,E02000145,2021 super output areas - middle layer,152,All household members have the same ethnic group,1925
17,2021,E02000145,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,143
18,2021,E02000145,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,277
19,2021,E02000145,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,128
20,2021,E02000146,2021 super output areas - middle layer,152,Total: All households,4040
21,2021,E02000146,2021 super output areas - middle layer,152,One-person household,1243
22,2021,E02000146,2021 super output areas - middle layer,152,All household members have the same ethnic group,2069
23,2021,E02000146,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,118
24,2021,E02000146,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,499
25,2021,E02000146,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,111
26,2021,E02000147,2021 super output areas - middle layer,152,Total: All households,3167
27,2021,E02000147,2021 super output areas - middle layer,152,One-person household,781
28,2021,E02000147,2021 super output areas - middle layer,152,All household members have the same ethnic group,1831
29,2021,E02000147,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,55
30,2021,E02000147,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,422
31,2021,E02000147,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,78
32,2021,E02000148,2021 super output areas - middle layer,152,Total: All households,2699
33,2021,E02000148,2021 super output areas - middle layer,152,One-person household,673
34,2021,E02000148,2021 super output areas - middle layer,152,All household members have the same ethnic group,1627
35,2021,E02000148,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,52
36,2021,E02000148,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,288
37,2021,E02000148,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,59
38,2021,E02000149,2021 super output areas - middle layer,152,Total: All households,3284
39,2021,E02000149,2021 super output areas - middle layer,152,One-person household,898
40,2021,E02000149,2021 super output areas - middle layer,152,All household members have the same ethnic group,1927
41,2021,E02000149,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,84
42,2021,E02000149,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,276
43,2021,E02000149,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,99
44,2021,E02000150,2021 super output areas - middle layer,152,Total: All households,3115
45,2021,E02000150,2021 super output areas - middle layer,152,One-person household,654
46,2021,E02000150,2021 super output areas - middle layer,152,All household members have the same ethnic group,1819
47,2021,E02000150,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,108
48,2021,E02000150,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,415
49,2021,E02000150,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,119
50,2021,E02000151,2021 super output areas - middle layer,152,Total: All households,2970
51,2021,E02000151,2021 super output areas - middle layer,152,One-person household,644
52,2021,E02000151,2021 super output areas - middle layer,152,All household members have the same ethnic group,1891
53,2021,E02000151,2021 super output areas - middle layer,152,Ethnic groups differ between generations but not within partnerships,30
54,2021,E02000151,2021 super output areas - middle layer,152,Ethnic groups differ within partnerships,348
55,2021,E02000151,2021 super output areas - middle layer,152,Any other combination of multiple ethnic identities,57
56,2021,E02000152,2021 super output areas - middle layer,152,Total: All households,3096
57,2021,E02000152,2021 super output areas - middle layer,152,One-person household,825
