,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E02001485,2021 super output areas - middle layer,152,Total: All usual residents,6902
1,2021,E02001485,2021 super output areas - middle layer,152,British only identity,4292
2,2021,E02001485,2021 super output areas - middle layer,152,English only identity,1023
3,2021,E02001485,2021 super output areas - middle layer,152,English and British only identity,1297
4,2021,E02001485,2021 super output areas - middle layer,152,Welsh only identity,23
5,2021,E02001485,2021 super output areas - middle layer,152,Welsh and British only identity,13
6,2021,E02001485,2021 super output areas - middle layer,152,Any other combination of only UK identities,49
7,2021,E02001485,2021 super output areas - middle layer,152,Scottish only identity,13
8,2021,E02001485,2021 super output areas - middle layer,152,Scottish and British only identity,8
9,2021,E02001485,2021 super output areas - middle layer,152,Northern Irish only identity,21
10,2021,E02001485,2021 super output areas - middle layer,152,Northern Irish and British only identity,0
11,2021,E02001485,2021 super output areas - middle layer,152,Cornish only identity,0
12,2021,E02001485,2021 super output areas - middle layer,152,Cornish and British only identity,0
13,2021,E02001485,2021 super output areas - middle layer,152,Any other combination of only UK identities ,7
14,2021,E02001485,2021 super output areas - middle layer,152,Irish only identity,34
15,2021,E02001485,2021 super output areas - middle layer,152,Irish and at least one UK identity,2
16,2021,E02001485,2021 super output areas - middle layer,152,Other identity only,132
17,2021,E02001485,2021 super output areas - middle layer,152,Other identity and at least one UK identity,37
18,2021,E02001485,2021 super output areas - middle layer,152,Non-UK identity only,166
19,2021,E02001485,2021 super output areas - middle layer,152,UK identity and non-UK identity,39
20,2021,E02001486,2021 super output areas - middle layer,152,Total: All usual residents,7944
21,2021,E02001486,2021 super output areas - middle layer,152,British only identity,4819
22,2021,E02001486,2021 super output areas - middle layer,152,English only identity,1293
23,2021,E02001486,2021 super output areas - middle layer,152,English and British only identity,1170
24,2021,E02001486,2021 super output areas - middle layer,152,Welsh only identity,41
25,2021,E02001486,2021 super output areas - middle layer,152,Welsh and British only identity,25
26,2021,E02001486,2021 super output areas - middle layer,152,Any other combination of only UK identities,84
27,2021,E02001486,2021 super output areas - middle layer,152,Scottish only identity,27
28,2021,E02001486,2021 super output areas - middle layer,152,Scottish and British only identity,16
29,2021,E02001486,2021 super output areas - middle layer,152,Northern Irish only identity,22
30,2021,E02001486,2021 super output areas - middle layer,152,Northern Irish and British only identity,6
31,2021,E02001486,2021 super output areas - middle layer,152,Cornish only identity,0
32,2021,E02001486,2021 super output areas - middle layer,152,Cornish and British only identity,0
33,2021,E02001486,2021 super output areas - middle layer,152,Any other combination of only UK identities ,13
34,2021,E02001486,2021 super output areas - middle layer,152,Irish only identity,78
35,2021,E02001486,2021 super output areas - middle layer,152,Irish and at least one UK identity,18
36,2021,E02001486,2021 super output areas - middle layer,152,Other identity only,311
37,2021,E02001486,2021 super output areas - middle layer,152,Other identity and at least one UK identity,105
38,2021,E02001486,2021 super output areas - middle layer,152,Non-UK identity only,389
39,2021,E02001486,2021 super output areas - middle layer,152,UK identity and non-UK identity,123
40,2021,E02001487,2021 super output areas - middle layer,152,Total: All usual residents,9378
41,2021,E02001487,2021 super output areas - middle layer,152,British only identity,5918
